Autor	Género	Total de Artículos
CASTILLO, DANTE	Hombre	1
MANZI ARANEDA, JAVIERA	Mujer	1
VIDELA LARA, MARISOL	Mujer	1
HAMBURGER FERNANDEZ, ALVARO ANDRES	Hombre	1
KAUFMAN, ALEJANDRO	Hombre	1
ARAVENA ABUGHOSH, CLAUDIA	Mujer	1
VETO, SILVANA	Mujer	1
CUADRA, ALVARO	Hombre	1
RIVAS CASTRO, GABRIEL	Hombre	1
SILVA, CONSUELO	Mujer	1
JARA AMIGO, XIMENA ELIZABETH	Mujer	1
SEPULVEDA-CONTRERAS, MANUEL	Hombre	1
POBLETE VARGAS, JAVIERA	Mujer	1
ORDENES DELGADO, MATHIAS	Hombre	2
SAAVEDRA ZAPATA, JOSE	Hombre	1
RICHARD, NELLY	Mujer	1
GALARCE, GRACIELA	Mujer	2
ROJAS FLORES, JORGE	Hombre	1
RIESCO, MANUEL	Hombre	1
URRA, MARCELO	Hombre	1
PALOMERA, ADRIANA	Mujer	1
MILLONES ESPINOSA, MARIO	Hombre	1
VALENCIA, ALEGRE	-	1
CASTILLO, ALEJANDRA	Mujer	1
SANTA CRUZ, JOSÉ	Hombre	2
CUADRA, ÁLVARO	Hombre	1
GARRI, MARIELA	Mujer	1
BÁEZ URBINA, FRANCISCO	Hombre	2
SCHMEISSER, BORIS COFRÉ	Hombre	1
PÉREZ HARISTOY, RICARDO	Hombre	1
PALOMERA VALENZUELA, ADRIANA	Mujer	1
ELGUETA RUIZ, ÁLVARO	Hombre	1
TORRES ROMERO, SANDRA	Mujer	1
VIDAL ARAYA, LEONARDO	Hombre	1
ROJAS FLORES, JORGE	Hombre	1
PREECE, SEBASTIÁN	Hombre	1
DURÁN, CARLOS	Hombre	1
SCHUMACHER RATTI, FEDERICO	Hombre	1
CARVAJAL, DIEGO	Hombre	1
ABUGHOSH, CLAUDIA ARAVENA	Mujer	1
LLANCAQUEO, JOSÉ LUIS CABRERA	Hombre	1
ARAYA, LEONARDO VIDAL	Hombre	1
ROMERO, SANDRA TORRES	Mujer	1
QUINTEROS FLORES, CHRISTIAN	Hombre	1
PEÑAFIEL, JUAN JORGE FAUNDES	Hombre	1
IRIGOYEN ERAZO, LEANDRO	Hombre	1
MOLINA DOMINGO, GASTON	Hombre	1
MADARIAGA, CARLOS	Hombre	1
BECERRA, EMILIO	Hombre	1
GONZALEZ, PAMELA	Mujer	1
LUENGO, MITZI DUBOY	Mujer	1
GARRI, MARIELA	-	1
RATTI, FEDERICO SCHUMACHER	Hombre	1
ROJAS FLORES, JORGE	Hombre	1
CID, AUGUSTO OBANDO	Hombre	1
LLANCAQUEO, JOSE L. CABRERA	Hombre	1
PENAFIEL, JUAN JORGE FAUNDES	Hombre	1
