Autor	Género	Total de Artículos
SEPULVEDA LARRAGUIBEL, YERKO	-	1
VENEGAS-MUGGLI, JUAN	Hombre	11
PENAILILLO, FRANCISCO	Hombre	1
TORO-TAMAYO, CARLOS	Hombre	4
ESPINOZA-OLIVA, ROBERTO	Hombre	2
LEMUS-ROMANI, JOSE	Hombre	1
ROJAS-POBLETE, MACARENA	Mujer	6
VEGA ANDRADE, MARIA JOSE	Mujer	1
CISTERNAS, SILVANA	Mujer	1
DEL PRETE, ANNACHIARA	Mujer	5
CORDERO MORALES, FRANCISCO JAVIER	Hombre	1
TORO CORNEJO, JUAN CARLOS	Hombre	1
RUBIO, JOSE MIGUEL	Hombre	14
ROCCO, BERNARDO	Hombre	3
ROJAS, CRISTOFHER	Mujer	2
RIQUELME, SILVIA	Mujer	1
CABRERA, FRANCISCO J.	Hombre	2
ORTUZAR FLORES, HARRY	Hombre	1
MARIMAN, JUAN J.	Hombre	2
PIERINGER, CHRISTIAN	Hombre	2
ORUZAR, HARRY	Hombre	1
CONCHA-CISTERNAS, YENY	-	18
FABIOLA CONCHA-CISTERNAS, YENY	-	1
ORTUZAR F, HARRY	Hombre	4
HENRIQUEZ, KATHERINE	Mujer	1
MARTINEZ-JIMENEZ, BORIS L.	Hombre	2
VARGAS, SOLEDAD	Mujer	1
MIGUEL RUBIO, JOSE	Hombre	1
MORALES, CLAUDIO	Hombre	1
HALAL ORFALI, CAROL	Mujer	3
BURGOS, PABLO	Hombre	2
CONTRERAS-BARRIENTOS, JUAN FELIPE	Hombre	1
LUISA ARANCIBIA, MARIA	Mujer	1
RUBIO, JOSE	Hombre	2
TORRES, JAIRO	Hombre	4
PAPI, S.	-	1
TAPIA, JUAN	Hombre	9
SALGADO BUSTILLOS, FLAVIO	Hombre	2
SANCHEZ C, EWIN	-	1
DURAN ACEVEDO, PAULO ANDRES	Hombre	7
DIAZ-VIDAL, GABRIELA A.	Mujer	2
ROCCO NUNEZ, BERNARDO PATRICIO	Hombre	1
SALGADO-BUSTILLO, FLAVIO AUGUSTO	Hombre	1
ALFONSO BARRERA, GUSTAVO	Hombre	1
BARRERA, FRANCO	Hombre	2
TORRES-VALLEJOS, JAVIER	Hombre	8
FUENTEALBA, DIEGO	Hombre	5
VALDIVIA ZAMORANO, ISMAEL	Hombre	1
ARANEDA RIVEROS, SEBASTIAN MAURICIO	Hombre	1
PAPIC, LJ.	Hombre	1
CORDERO MORALES, FRANCISCO	Hombre	1
ROJAS MARTIN, JOSE	Hombre	2
SEQUEIDA, A.	Hombre	1
ESTRADA-CUADROS, MILKO	Hombre	2
BENAVIDES, PAOLA A.	Mujer	1
PALMA, M.	Hombre	2
GIACHETTI, GIOVANNI	Hombre	8
POBLETE, ALVARO	Hombre	1
LIMONGI, ROBERTO	Hombre	2
PALMA, MIGUEL	Hombre	2
SALAS, JUAN	Hombre	1
ALVARADO, P.	Hombre	1
PALMA-ESQUIVEL, MIGUEL ANGEL	Hombre	1
SANCHEZ, PABLO	Hombre	1
MORALES, ANDRES	Hombre	1
QUISPE-FUENTES, FABIOLA ISSIS	Mujer	1
MIRANDA-GARCIA, MARIA LORETO	Mujer	1
CANCINO-CANCINO, JORGE ORLANDO	Hombre	2
MILLAN-NAVEAS, GINNO	-	4
MEDEL-MEZA, VIVIAN ELIETTE	Mujer	1
MUNOZ-IBACACHE, SEBASTIAN ALEJANDRO	Hombre	1
NERVI, HUGO	Hombre	1
MUNOZ-GAJARDO, KARLA A.	Mujer	1
