Autor	Género	Total de Artículos
BITRAN, M	Mujer	1
NERVI, F	Hombre	1
DELAHOZ, E	Hombre	2
PIZARRO, F	Hombre	1
VELARDE, V	Mujer	1
RUZ, FELIPE ACUNA	Hombre	10
ASCORRA, PAULA	Mujer	18
CARRASCO, CLAUDIA	Mujer	5
MORALES, MACARENA	Mujer	17
CARCAMO, BENJAMIN	Hombre	5
CORDOVA, OLIVIA	Mujer	8
BALERIOLA, ENRIQUE	Hombre	8
ALFARO-TAPIA, A.	Hombre	3
BARRIA, AGUSTIN	Hombre	1
CACERES, PABLO	Hombre	20
RAMOS, GABRIEL	Hombre	1
SALGADO-REBOLLEDO, PATRICIO	Hombre	7
VEAS, RHONDA	Mujer	2
GONZALEZ-LOPEZ, FERNANDA	Mujer	7
ALCALDE-RICO, MANUEL	Hombre	15
STRABUCCHI, MARIA MONTT	Mujer	1
ORTIZ, SYLVIA	Mujer	1
ASTEFANESEI, D.	Hombre	31
LEMUS-ROMANI, JOSE	Hombre	19
CACERES, CAMILO	Hombre	1
HARRIS, P.	Hombre	1
VARGAS HERRERA, FRANCISCO	Hombre	5
GARRIDO-MIRANDA, JOSE	Hombre	10
VEGA, PATRICK	Hombre	3
GODOY, MARCOS	Hombre	7
MALLEA, MARIO	Hombre	2
FLEWETT, SAMUEL	Hombre	10
TAPIA-VENEGAS, ESTELA	Mujer	18
PEREZ, N.	Mujer	1
JAVIER VIDELA-JIMENEZ, PATRICIO	Hombre	1
MAGGIOLO, JORGE	Hombre	2
BARICHIVICH, J.	Hombre	21
PLAZA-PASTEN, GUIDO	Hombre	43
CORTES, MARCELA	Mujer	1
SERRANO DEL POZO, IGNACIO	Hombre	2
BETTONI, CECILIA	Mujer	5
GODOY, FERNANDO J.	Hombre	5
VARELA, EDMUNDO	Hombre	1
QUIROGA, MARTA	Mujer	10
TUFINO, CAROLINA	Mujer	1
ASTORGA BELTRAN, MAXIMILLANO	-	1
VICENCIO, EMILIANO	Hombre	4
URQUIAGA REUS, INES	Mujer	1
CATEPILLAN T, TOMAS	Hombre	1
SUAREZ, SEBASTIAN	Hombre	5
CARMONA, EMERSON	Hombre	2
MUNOZ, RODRIGO	Hombre	1
CARRASCO, SAMUEL	Hombre	15
GONZALEZ-YANEZ, BETSALBE	-	1
GALVEZ, E.	-	4
ALVARADO, L.	Hombre	4
KACZYNSKI, VLADIMIR	Hombre	1
MENDEZ ARIAS, ANDREA	Mujer	1
ORTEGA, VALENTINA	Mujer	2
GAXIOLA-ALCANTAR, AURORA	Mujer	1
NUNEZ-LILLO, GERARDO	Hombre	11
POBLETE, EXEQUIEL GONZALEZ	-	2
BARRAZA, MAKARENA GARRIDO	-	1
GOIZUETA, MANUEL	Hombre	7
PADILLA, SEBASTIAN	Hombre	1
LEON, MARCELA F.	Mujer	1
LEON, GENLY	-	21
WONG, GENEZARETH	-	1
ROJAS, VERONICA	Mujer	6
HAN, H.	Hombre	3
GONZALEZ RAMIREZ, ROSA GUADALUPE G.	Mujer	13
ALLIMANT, RONALD DURAN	Hombre	4
KIMMINS, SCOTT	Hombre	4
QUESILLE-VILLALOBOS, ANA	Mujer	3
CORNIDE-REYES, HECTOR	Hombre	3
GAJARDO, MATIAS	Hombre	1
BURCHETT, J.	-	1
ARANCIBIA, DUXAN	Hombre	1
ACHIARDI, OSCAR	Hombre	10
VALENCIA, MATIAS	Hombre	20
ISABEL REYES-ESPEJO, MARIA	Mujer	2
ROJA, PAULA	Mujer	1
BELEN CONTRERAS, MARIA	Mujer	1
DAVID GREEN, BRYAN	Hombre	4
VILLALOBOS, CRISTOBAL	Hombre	1
ARAYA, IGNACIO	Hombre	29
RIEDEMANN, JAVIER A.	Hombre	17
PASTENE, MARION	Mujer	2
TAPIA, ALEJANDRA	Mujer	1
SAAVEDRA, DANIEL	Hombre	1
ADAROS, MELISA	Mujer	1
IBARRA, ALICE	Mujer	1
SAAVEDRA, GISELL	-	1
PASCUAL, RODRIGO	Hombre	24
MASIP MACIA, YUNESKY	Hombre	33
QUINTEROS-MAYNE, R.	Hombre	2
MORALES-TAPIA, PABLO	Hombre	1
SALAZAR, ROLANDO	Hombre	3
PIZARRO, FRANCISCO J.	Hombre	1
ROBERT, JOSEFA	Mujer	1
MACAYA, CONSTANZA C.	Mujer	2
QUINTEROS VENEGAS, JOSE MANUEL	Hombre	1
FIGUEROA, STEFANNY	-	3
OSORIO, ALICIA	Mujer	1
SANDOVAL, CAROLINA	Mujer	1
JOHNSON, FRANKLIN	Hombre	40
CARDALLIAGUET, LUIS	Hombre	1
HUMANES, VICTOR	Hombre	1
AVELLO-FONTALBA, VERONICA	Mujer	2
VALENZUELA-ORMENO, MIRYAM PAOLA	Mujer	3
VELOSO, EUGENIO E.	Hombre	1
SOTO-COVASICH, J.	Mujer	4
VIDAL, ALEJANDRA	Mujer	2
PARRA, ANGEL	Hombre	1
MUNOZ, ROBERTO	Hombre	9
TEJOS-SALGADO, NICOLAS ANDRES	Hombre	74
GILLIBERT, FLORENCE	Mujer	5
PETERS, EDUARDO	Hombre	4
PARRA CORTES, ROCIO	-	1
GONZALEZ-ESPARZA, ALEXANDRA	Mujer	1
CARVAJAL, FRANCISCA	Mujer	1
MOREIRA-MUNOZ, ANDRES	Hombre	56
OLIVARES-ARANCIBIA, JORGE	Hombre	15
SANCHEZ-MARTINEZ, JAVIER	Hombre	9
TAPIA CARRASCO, PABLO	Hombre	1
MIRALLES VERGARA, MICHELLE	Mujer	1
DONOSO FUENTES, ALBERTO IGNACIO	Hombre	1
CABRERA ALBORNOZ, CAMILO IGNACIO	Hombre	1
HERNANDEZ-SASO, ALEJANDRA DEL PILAR	Mujer	3
BERRAL DE LA ROSA, FRANCISCO JOSE	Hombre	3
PARRA-SALDIAS, MARIBEL	Mujer	4
CARMEN PAEZ, JACQUELINE	Mujer	1
VILLAR, MATIAS	Hombre	1
FERNANDEZ, EDUARDO	Hombre	9
ALMUNA, ROCIO	Mujer	2
VARAS, G.	Hombre	12
VELASQUEZ MUNOZ, MARIA LORETO	Mujer	1
PETERMANN-ROCHA, FANNY	Mujer	1
DOMINIQUE MANGHI, H.	-	1
FABIOLA OTAROLA, C.	-	1
GERARDO GODOY, E.	-	1
ISABEL ARANDA, G.	-	1
ALVES DA COSTA, LUCIMARA	-	1
LOPEZ, MATIAS	Hombre	3
MAUREIRA, OSCAR	Hombre	1
CASTRO, SOLEDAD	Mujer	1
PALME, JENIFER	Mujer	1
ROMAN, JAVIER	Hombre	1
CACERES MUNOZ, JUAN PEDRO	Hombre	1
MORALES, BYRON	Hombre	2
MORALES-LANGE, B.	-	4
CORTES, J.	-	1
RAMIREZ-CEPEDA, E.	-	1
MERCADO, L.	-	1
GONZALEZ-STEGMAIER, ROXANA	Mujer	10
MERCADO-VIANCO, LUIS ALBERTO	Hombre	125
GUZMAN, E.	-	2
MOREIRA-MUTIOZ, ANDRES	Hombre	1
OSORIO-SALGADO, FELIPE ALBERTO	Hombre	2
SPENCER, H.	-	2
CORDOVA, V. D. V.	-	3
CARRASCO, P.	-	3
ALVAREZ, I.	-	3
DIAZ-RIQUELME, PABLO IVAN	Hombre	1
ZELADA, PATRICIO	Hombre	2
ANDLER, RODRIGO	Hombre	1
DIAZ, GABRIEL	Hombre	1
CRUZ, MIGUEL	Hombre	6
ADASME, NICOLAS	Hombre	2
SANCHEZ, NAZARETH	-	3
HUERTA, MAURICIO	Hombre	10
ARISMENDI-MACUER, MARLENE	Mujer	2
CERDA-MORALES, GAMALIEL	-	21
ARIAS KRAUSE, JUAN IGNACIO	Hombre	2
ALBERTO MORAIS, JOST	Hombre	1
YANEZ-URBINA, CRISTOPHER	Hombre	9
MORENO DONA, ALBERTO	Hombre	9
KRISTOPHER SMITH, DOUGLAS	Hombre	1
GONZALEZ-ARANCIBIA, CAMILA	Mujer	7
URRUTIA-PINONES, JOCELYN	Mujer	1
RAMIREZ, FERNANDA	Mujer	1
FUENTEALBA, CLAUDIA	Mujer	40
JORDAN GONZALEZ, LAURA	Mujer	3
CHUECAS SALDIAS, IGNACIO	Hombre	2
COFRE, HERNAN	Hombre	20
VILLARROEL, RODOLFO	Hombre	53
ARDILES, FRANCO	Hombre	2
LOBO, BRAULIO	Hombre	2
DEL PRETE, ANNACHIARA	Mujer	3
LUIZA COUTO-ZIEZKOWSKI, ANA	Mujer	1
CUSBA, JOSE	Hombre	3
ALISTE, SAMYRA	Hombre	1
CRUZ LEON, CAROLINA	Mujer	1
MENENDEZ-PROUPIN, EDUARDO	Hombre	1
OVGUN, ALI	-	58
HETZ, JENNIFER A.	Mujer	1
GUARNASCHELLI, ARMANDO	Hombre	8
LATORRE, YESENIA	Mujer	6
POQUE GONZALEZ, AXEL BASTIAN	Hombre	3
VALIN FENANDEZ, MEYLI	-	2
FLORES, M. A.	Hombre	3
VALENZUELA, MARIO	Hombre	1
VELASTEGUI, EDGAR	Hombre	4
HOFER, J.	Hombre	26
FILOMENO, ALDO	Hombre	7
PEREZ, F.	Mujer	2
CAMPUZANO, CUAUHTEMOC	-	2
BONNEFOY VALDES, NICOLAS	Hombre	1
CORDOVA-LEPE, FERNANDO	Hombre	1
BRAVO-OVALLE, VIVIANA MARIELA	Mujer	1
VENEGAS-GONZALEZ, ALEJANDRO	Hombre	5
WIETERS, EVIE	Mujer	1
MORENO, S.	-	1
RUBIO, JOSE MIGUEL	Hombre	18
FIGUEROA-PALET, ISMAEL JOSE	Hombre	7
AGUILAR-CAVALLO, LUIS FELIPE	Hombre	48
VOLANTE, PAULO	Hombre	1
ZAKARYAN, DIANA	Mujer	13
RIGUAL, YANDI	-	1
PENA-SANDOVAL, CESAR	Hombre	2
GONZALEZ, ILEANA	Mujer	2
ARDILES, VALESKA	Mujer	1
VENEGAS, OSVALDO	Hombre	1
SOLAR-GONZALEZ, ANTONIETA ALEJANDRA	Mujer	1
NUNEZ-PARRA, ALEXIA	Mujer	1
MELGAREJO, BRAULIO	Hombre	1
BOURGEOIS, MICHELLE	Mujer	1
SENTIS, FELIPE	Hombre	1
VILLALOBOS, CRISTIAN	Hombre	2
DIAZ B, FELIPE	Hombre	1
JAMET, ERICK	Hombre	5
VALENCIA, KATHERINE	Mujer	8
SOTO, MATIAS SALINAS	Hombre	1
GUTIERREZ, MAICHOLL	-	3
SALAZAR, CAROLINA	Mujer	4
CLAROS, MARTHA	Mujer	5
CORDOVA, ANDRES	Hombre	34
SANTIBANEZ-LEHUEDE, LUCIANA JOSEFA	Mujer	6
SCOTT, FELIPE	Hombre	5
BLANCO, ESTELA	Mujer	1
ZUNIGA-LOYOLA, CESAR	Hombre	3
VALENZUELA-HENRIQUEZ, FRANCISCO	Hombre	8
SILVA, P.	-	1
ARAVENA CASTILLO, FELIPE	Hombre	4
CABELLO, PATRICIO	Hombre	4
JIMENEZ VARGAS, FELIPE	Hombre	1
RIVERA, ADRIAN	Hombre	1
SUAREZ, DOMINGO	Hombre	1
ARANCIBIA-IBARRA, CLAUDIO	Hombre	1
VALERA, LUCA	Hombre	1
CID OYANEDEL, PIA FRANCISCA	Mujer	1
FORERO, JUAN C.	Hombre	6
VILLALOBOS, ALVARO S.	Hombre	1
LAMBERT ORTIZ, CESAR	Hombre	3
ESPINOZA-VASQUEZ, GONZALO	Hombre	5
FLORES, ORIANA	Mujer	3
SOTO-MALDONADO, CARMEN	Mujer	17
URIBE-ARANCIBIA, SERGIO ANDRES	Hombre	1
GUZMAN, FELIPE	Hombre	14
OLIVARES-QUERO, DANIEL EDUARDO	Hombre	1
URRA, ENRIQUE	Hombre	10
NAVARRETE, SERGIO A.	Hombre	1
SALVO AGOGLIA, IRENE	Mujer	1
JIMENEZ, MAITE	Mujer	7
ALVAREZ-ORTEGA, CAROLINA	Mujer	1
PAVEZ MENA, JAVIERA	Mujer	1
HERRERA SOTO, YESIKA	-	1
MOLINA JOHANNES, JAVIER	Hombre	2
BARAHONA, MALBA	-	9
PENALOZA, PATRICIA	Mujer	23
LEVICAN, ARTURO	Hombre	13
MORENO-SIMUNOVIC, YERKO	-	1
ASTUDILLO, CAROLINA	Mujer	1
ALFARO-BITTNER, K.	Mujer	5
GAVICHO UARROTA, VIRGILIO	Hombre	19
TRUJILLO, VICTOR	Hombre	1
TAPIA, JORGE	Hombre	6
RODRIGUEZ, FERNANDA	Mujer	1
OERDER, VERA	Mujer	5
ASPEE, FABIAN	Hombre	1
HENRIQUEZ-BELMAR, FRANCISCA	Mujer	1
ASPEE, JUAN	Hombre	3
NUNEZ, PAOLA	Mujer	6
MILLAN-MILLAN, PABLO MANUEL	Hombre	7
CAMPO, ANTONIO	Hombre	1
GALLARDO, RODOLFOA A.	Hombre	1
AGUIRRE-CESPEDES, CAROLINA	Mujer	1
CISTERNA, JONATHAN	Hombre	4
MARIN, JUAN F.	Hombre	5
PAEZ-SILVA, MILENA	Mujer	1
