Autor	Género	Total de Artículos
ALEGRIA-MORAN, RAUL A.	Hombre	6
POBLETE-VALDERRAMA, FELIPE	Hombre	34
LASSERRE-LASO, NICOLE	Mujer	34
VALENZUELA PEREZ, DIEGO IGNACIO	Hombre	28
ISLA, ADOLFO	Hombre	6
IBACACHE, XIMENA	Mujer	1
SERRANO DEL POZO, IGNACIO	Hombre	8
URZUA ALUL, LUIS ALBERTO	Hombre	1
LAGOS-SUAREZ, NELSON ALEJANDRO	Hombre	74
MARIN, CESAR	Hombre	18
CUADRA-MARTINEZ, DAVID	Hombre	1
CASTRO-CARRASCO, PABLO	Hombre	1
FUENTEALBA, ROBERTO	Hombre	2
CHACANA-OJEDA, MARCELO	Hombre	2
VIDAL-SEQUEL, NICOLAS	Hombre	1
PUMEYRAU SOLAR, MARCELA	Mujer	1
CALDERON-JOFRE, RODRIGO	Hombre	2
FLORES, ROMINA	Mujer	1
PINO CASTILLO, PATRICIO ANDRES	Hombre	4
ORMENO HOFER, CLAUDIA	Mujer	1
ZUNIGA HERRERA, MARCELO	Hombre	1
LEPEZ, MACARENA	Mujer	1
SEPULVEDA, NATALIA	Mujer	1
MARDONES, RODOLFO E.	Hombre	3
MELLADO, CARLOS	Hombre	7
QUITRAL, VILMA	Mujer	12
VALDES, JUANITA	Mujer	1
UMANA, VALESKA	Mujer	1
GALLARDO, NICOL	Mujer	1
JOSE ALCAINO, MARIA	Mujer	1
COBO-RENDON, RUBIA	-	3
SAAVEDRA PEREZ, BORIS OSVALDO	Hombre	1
MARTINEZ, MARIA A.	Mujer	1
MATUS-CASTILLO, CARLOS	Hombre	2
VASQUEZ-GOMEZ, JAIME A.	Hombre	1
YANEZ, ALEXIS	Hombre	1
ARAYA, JUAN	Hombre	1
VILLANUEVA, JOSE	Hombre	2
PORTILLA-VASQUEZ, ISABEL	Mujer	1
SANCHEZ-MARTINEZ, JAVIER	Hombre	10
MOLINA VASQUEZ, VICTOR	Hombre	1
CORDOVA-LEON, KAREN	Mujer	1
CARVALLO-SEMLER, PAMELA ALEJANDRA	Mujer	1
DIAZ NIEVA, JOSE	Hombre	1
PETERMANN-ROCHA, FANNY	Mujer	1
MANCILLA GONZALEZ, PABLO	Hombre	1
CISTERNAS-JAMET, JONATHAN	Hombre	1
PEREZ-LUCO, CRISTIAN	Hombre	1
BRITO, CIRO JOSE	Hombre	2
RUIZ, ANDREA	Mujer	1
SILVA G, ALEX	Hombre	3
MORALES M, PAMELA	Mujer	4
RAMOS G, JUAN JOSE	Hombre	1
BUSTOS, EDUARDO	Hombre	1
IBIETA-TRONCOSO, ANDREA IGNACIA	Mujer	1
AEDO S, JAIME	Hombre	1
RIVERA-LOZANO, ROMINA	Mujer	4
HENRIQUEZ FLORES, R.	-	1
PRADANOS SALOMON, N.	-	1
CORTES VILLALOBOS, S.	-	1
HINOJOSA, A.	Mujer	1
GALAN TORRES, GABRIELA	Mujer	1
MORALES-NAVARRO, SAMUEL	Hombre	3
URRA ALBORNOZ, CAMILO	Hombre	52
ESPINOZA M, PATRICIA	Mujer	1
ARREDONDO G, DENNISS	-	1
PALACIOS C, KATHERINE	Mujer	1
RIVERA, MACARENA	Mujer	1
CANCINO CANCINO, VICTOR EDUARDO	Hombre	8
MELLADO YANEZ, CARLOS	Hombre	1
NOACK SEGOVIA, JESSICA	Mujer	4
INZUNZA NOACK, JAVIERA	Mujer	1
VELAZQUEZ, JULIO	Hombre	1
SANCHEZ, CAROLINA	Mujer	1
COCCIA, CRISTINA	Mujer	8
JESUS REYES-GARCIA, LUIS	Hombre	1
CUEVAS CATALAN, PAMELA FERNANDA	Mujer	1
NORAMBUENA, HERALDO, V	-	8
VASQUEZ, ABEL E.	Hombre	3
WEINBORN, ROMY M.	Mujer	2
BRUNA, BRAULIO J.	Hombre	2
SEPULVEDA, GERARDO A.	Hombre	1
SALAH, PABLO	Hombre	1
VIDAL SEGUEL, NICOLAS ENRIQUE	Hombre	1
POBLETE-ARO, CARLOS	Hombre	2
RIVAS-MANCILLA, C.	-	1
AUGSBURGER, A.	Hombre	2
CASTRO-SANCHEZ, MANUEL	Hombre	2
CARO M, PAMELA	Mujer	6
FABREGA, RICARDO	Hombre	1
JOFRE, MARIA JOSE	Mujer	1
ROJAS, NAYADETH	-	1
ROMERO, NATALIA	Mujer	1
SAEZ-NAVARRETE, C.	Hombre	2
FLORES-CARRASCO, MARCOS IVAN	Hombre	17
DIAZ, D.	Hombre	1
CONTRERAS, M. A.	Mujer	2
CASTILLO-BORREDA, AMPARO	Mujer	1
MARIA SANHUEZA, ANA	Mujer	1
URRUTIA, NICOLE	Mujer	1
