Autor	Género	Total de Artículos
GONZALEZ-BANDA, ESTEBAN ANDRES	Hombre	1
RAMIREZ-TAGLE, RODRIGO	Hombre	1
AGUIRRE, ANITA	Mujer	1
LOPEZ ARIAS, KATHERINE	Mujer	1
VERA MILLALEN, FERNANDO	Hombre	1
RIVEROS, JUAN P.	Hombre	1
ROMÁN MORALES, ALBERTO	Hombre	1
PÉREZ, MARCELA LORENA ANDRADE	Mujer	1
MORALES, ALBERTO ROMÁN	Hombre	1
VERA-MILLALÉN, FERNANDO	Hombre	1
ARIAS, KATHERINE LÓPEZ	Mujer	1
LOBOS, GLORIA FERNÁNDEZ	Mujer	1
LIZAMA, LUIS	Hombre	1
DELGADO-GARCÍA, DIEMEN	-	4
ALVARADO-SOTO, LEONOR	Mujer	1
RAMIREZ-TAGLE, RODRIGO	Hombre	1
RAMIREZ-TAGLE, RODRIGO	Hombre	1
ALVARADO-SOTO, LEONOR	Mujer	1
ROA, ALFREDO JACOB PALACIOS	Hombre	1
PALACIOS ROA, ALFREDO JACOB	-	1
AHUMADA, ABEL CORTEZ	-	1
CORTEZ AHUMADA, ABEL	-	1
DELGADO-GARCIA, DIEMEN	-	1
