Autor	Género	Total de Artículos
TADICH, N	Hombre	15
ARDILES, L	Hombre	33
NAVARRO, J	Hombre	100
POBLETE, V	Hombre	18
DELGADO, EJ	Hombre	1
FLORES, C	Hombre	5
SANCHEZ, R	Hombre	1
GUZMAN, S	Hombre	1
GALLO, C	Mujer	60
GONZALEZ, J	Hombre	1
MUNOZ VILUGRON, KARINA ANDREA	Mujer	2
MARSHALL BARBERAN, PABLO	Hombre	34
CERONI, CONSTANZA	Mujer	1
SAAVEDRA SANTIESTEBAN, CRISTHIAN	-	2
BARRIA, AGUSTIN	Hombre	1
VALDIVIA-LAHSEN, NELSON ALEJANDRO	Hombre	72
EDUARDO MENSCHEL, A.	-	1
CATHALINA, ARISMENDI	-	1
OJEDA, LUIS	Hombre	1
CARRILLO-HIGUERAS, FRANZ	Hombre	2
MARCHANT, VANESSA	Mujer	5
FERNANDEZ, DANIEL	Hombre	3
GUERRA, MONTSERRAT	Mujer	28
SOTO-DAVILA, MANUEL	Hombre	1
REYES, ALEJANDRO M.	Hombre	1
CARPIO, MANUEL	Hombre	4
ALVARADO-GILIS, CHRISTIAN A.	Hombre	11
YATABE, K.	-	1
BARRIENTOS, CLAUDIO	Hombre	1
JESSEN, GERDHARD L.	-	13
BRAVO-LINARES, C.	Hombre	28
SALINAS-CURINAO, A.	-	1
CONCHA-MEYER, ANIBAL	Hombre	6
NAHUELHUAL, LAURA	Mujer	66
VALLEJOS, TOMAS	Hombre	4
AGUILERA, FELIPE	Hombre	1
QUINTANA, DANIELA	Mujer	1
NAVARRO MORALES, MARCELO	Hombre	4
PARRA, CARLOS E.	Hombre	10
TORO-TAMAYO, CARLOS	Hombre	8
LARRONDO, C.	Hombre	4
AH-HEN, K. S.	-	40
PARRA PARDO, ALEJANDRA	Mujer	1
ROJAS, A.	Hombre	1
DELPIANO, CRISTIAN A.	Hombre	2
CABRERA FIGUEROA, SALVADOR ENRIQUE	Hombre	21
LAGOS, FERNANDO	Hombre	1
ISLA, ADOLFO	Hombre	15
PINOCHET, DANTE	Hombre	1
GODOY, MARCOS	Hombre	1
VERGARA-JARA, MAXIMILIANO J.	Hombre	3
DE REQUENA FARRE, JUAN ANTONIO GONZALEZ	Hombre	20
JUSTO, IGOR F.	Hombre	2
PEREZ, N.	Mujer	1
BARICHIVICH, J.	Hombre	25
ORTIZ, D.	Hombre	1
TOLEDO-CONTRERAS, PAMELA	Mujer	3
MORALES-SOTO, MAURICIO	Hombre	1
MATURANA-MIRANDA, FRANCISCO	Hombre	16
ARRIAGADA, CESAR	Hombre	3
CAPPELLI, CLAUDIO	Hombre	11
NAVARRETE, MARIELA	Mujer	7
SANHUEZA-VEGA, LUIS ALEJANDRO	Hombre	3
CHANDIA, CRISTIAN	Hombre	1
BARBOSA, OLGA	Mujer	29
EMSENHUBER, A.	Hombre	1
DE-LOS-RIOS-ESCALANTE, PATRICIO	Hombre	1
MARIN, CESAR	Hombre	9
NAVARRO, GRISEL	-	1
MUELLER, HEINE	Hombre	2
FURNIEL, DIEGO PENNECKAMP	Hombre	1
KOCH, TOMAS	Hombre	1
MORALES, G. A.	Hombre	2
STEINBERG, XIMENA	Mujer	1
JARA, C.	Mujer	7
ARISMENDI, IVAN	Hombre	12
ALONSO, MAXIMO F.	Hombre	11
MARAMBIO, JOHANNA	Mujer	1
PENA, FERNANDA	Mujer	1
LAGOS MORALES, X.	-	1
SCHEID, R.	-	1
BARRIGA, ANA	-	3
AMADOR, LUIS	Hombre	7
BASCOUR-SANDOVAL, CLAUDIO	Hombre	1
ROBITZCH, VANESSA	Mujer	12
LAVADOS-ROMO, PAMELA	Mujer	2
TIZNADO-MATZNER, GONZALO	Hombre	12
BUCAREY-ARRIAGADA, SANDRA	Mujer	9
BLANCO, GUSTAVO	Hombre	34
SCHALL, ELENA	Mujer	1
FILUN, DIEGO	Hombre	1
BUCHAN, SUSANNAH J.	Mujer	1
GODOY-KUTCHARTT, DIEGO E.	Hombre	1
BENRA, F.	Hombre	1
OCARANZA, PAULA	Mujer	1
BELTRAN, IGNACIO E.	Hombre	6
MUNOZ-PEREZ, JOSE LUIS P.	Hombre	2
HENRIQUEZ, ANDRES	Hombre	1
MUNOZ-RUBKE, FELIPE	Hombre	8
ALVAREZ-ESPINOZA, ALEJANDRO	Hombre	4
PATRICIA, CAPELO	-	1
HURTADO, NATALI	Mujer	7
MESIAS-SALAZAR, ANGELA	Mujer	2
MUNOZ-FARINA, OCIEL	Hombre	38
CAMPOS, PATRICIO	Hombre	1
PARDO, LUIS M.	Hombre	22
REBOLLEDO, M.	Mujer	1
OJEDA, MARGARITA	Mujer	1
MARDONES, RODOLFO E.	Hombre	15
VANEGAS, JAIRO	Hombre	1
ROJAS, CLAUDIO	Hombre	3
AGUILAR, CLAUDIO	Hombre	1
NIELSEN, SVEN N.	Hombre	23
CAMPOS, ELENA	Mujer	1
MICAEL, JOANA	Mujer	7
MIRANDA-JANA, CHRISTIAN	Hombre	3
ILLANES, ALFREDO	Hombre	9
FECCI PEREZ, ESTER	Mujer	1
BOISIER OLAVE, GUY	Hombre	2
OTERO, JAIME	Hombre	1
TAPIA, ALEJANDRA	Mujer	2
GUZMAN-MARIN, PEDRO	Hombre	1
GONZALEZ-TEUBER, VICENTE	Hombre	1
SOTO-ALVARADO, SYLVIA	Mujer	5
LESSA, ENRIQUE P.	Hombre	1
BECERRA-RODAS, CONSTANZA	Mujer	2
OSORIO, SEBASTIAN	Hombre	5
HURTADO-TORRES, SEBASTIAN	Hombre	1
DURAN, CARLOS	Hombre	1
AGUSTIN SIEBALD, JUAN	Hombre	2
LUKAS NEUMANN, FABIAN	Hombre	1
MIRANDA, JOSE AUGUSTO RIBAS	Hombre	2
AGUILA-TORRES, PATRICIA	Mujer	8
MARTINEZ-PEREZ, RAFAEL	Hombre	18
ALFARO, KAREN	Mujer	1
GARCIA, GONZALO	Hombre	1
FUHRHOP, C.	-	1
MINOWA, MASAHIRO	Hombre	8
VARGAS-CHACOFF, LUIS HUMBERTO	Hombre	155
GILES, EMILY C.	Mujer	6
QUESADA-CALDERON, SUANY	-	7
MARTINEZ, MARIA A.	Mujer	121
GONZALEZ-RAMIREZ, ANDREA	Mujer	3
SAEZ, ARTURO	Hombre	1
SANCHEZ-ALFARO, PABLO A.	Hombre	10
VIDAL, ALEJANDRA	Mujer	4
LANGER, ALVARO, I	Hombre	22
PIQUER, JOSE	Hombre	14
ALBERDI, MIREN	Mujer	3
MAZN, CERMERIO	-	1
MARTINEZ, JAVIER	Hombre	11
JARAMILLO, J.	-	1
