Autor	Género	Total de Artículos
SLACHEVSKY, A	Mujer	1
GONZALEZ, J	Hombre	2
VALLEJOS BALER, RAUL	Hombre	1
IRRIBARRA DEL VALLE, VICTOR	Hombre	1
MILAN GIOVANETTI, CAROLA	Mujer	2
HERZOG, RUBEN	Hombre	9
SALGADO-REBOLLEDO, PATRICIO	Hombre	6
TORRES, ROMINA	Mujer	5
AUGUSTO, HERTON	-	1
CANESSA, ENRIQUE	Hombre	43
MESTROVIC, DESANKA	Mujer	1
SENAREGA, HUMBERTO	Hombre	1
NAVARRETE GARCIA, GORKA	Hombre	1
IDROVO-AGUIRREL, BYRON J.	Hombre	3
DURAN, ALEJANDRO	Hombre	1
SAMETBAND, INES	Mujer	1
CAMPOS-GOMEZ, JOSE LUIS	Hombre	60
HERNANDEZ-QUEZADA, RODRIGO ALEJANDRO	Hombre	30
SERRANO DEL POZO, IGNACIO	Hombre	6
MOCZKO, EWA	-	5
BOTELHO, EVALDO	-	1
REUS, LORENZO	Hombre	19
CUADRA-STIPETICH, JORGE RODRIGO	Hombre	21
LEON, TOMAS	Hombre	1
MONTECINOS-PEARCE, ALEJANDRO	Hombre	7
BUKSDORF KRUMENAKER, DANIELA	Mujer	1
PEDERSEN, MICHAEL	Hombre	2
FRANCICA, CYNTHIA	Mujer	4
PARRO-GRECO, FRANCISCO JAVIER	Hombre	23
FATORETO, LEANDRO	Hombre	1
TIMMERMANN, TANIA	Mujer	13
URRUTIA, CRISTOBAL	Mujer	2
DE ROSAS ANDREU, JAIME	Hombre	1
PABON-PEREIRA, CLAUDIA	Mujer	7
VARGAS, CAMILA	Mujer	1
RUBIO, CARLOS A.	Hombre	3
PARRADO-RIQUELME, CRISTOBAL ANDRES	-	2
CASALS, MARCELO	Hombre	12
ARBILDUA-SEPULVEDA, JOSE JAIME	Hombre	3
JOSELINE, UBIRATAN	-	1
EBERHARD, JUAN	Hombre	4
LAVIN-FELDMAN, JAIME	Hombre	20
RICOTE-MARTINEZ, NATALIA	Mujer	2
CHADWICK, CRISTIAN	Hombre	6
GOMEZ, JOSE L.	Hombre	9
GALLEGUILLOS-CAAMANO, MAURICIO HUMBERTO	Hombre	16
VILLAVICENCIO, GERMAN	Hombre	1
FRANCISCO, ANTONIO	Hombre	1
BARGSTED ARAVENA, MARIANA	Mujer	12
MASCARENO, ALDO	Hombre	27
LE FOULON MORAN, CARMEN	Mujer	2
COTTIN, G.	Mujer	13
MARTINEZ PERNIA, DAVID	Hombre	23
AQUEVEQUE, CLAUDIO	Hombre	16
SCHERMAN, ANDRES	Hombre	6
MUNOZ, GONZALO	Hombre	10
ECHENIQUE SOSA, JAVIER	Hombre	1
PINCHEIRA BROWN, PABLO	Hombre	2
PEREIRA, JORDI	Hombre	33
FABREGA, JORGE	Hombre	3
GUTIERREZ GARCIA-HUIDOBRO, JULIO I.	Hombre	1
URRUTIA NENO, CAROLINA	Mujer	1
