Autor	Género	Total de Artículos
OYARZUN, E	Hombre	5
VUKUSICH, A	Hombre	13
ARAYA, R	Hombre	2
FIGUEROA, F	Hombre	55
VALENZUELA, MT	Mujer	53
CARRION, F	Hombre	33
LOLAS, J	Hombre	1
FLORENZANO, R	Hombre	12
PORTE, L	Mujer	2
MARDONES, F	Hombre	3
GARFIAS, CAROLINA P.	Mujer	5
FORNES, ROMINA	Mujer	1
CABRERA, A. L.	Hombre	1
BETTOLI, PIERO	Hombre	1
SILVA-LABRA, FRANCISCO ANDRES	Hombre	3
KRAUS FRIEDMANN, BENJAMIN	Hombre	1
KRAMER, TOMAS	Hombre	2
MINZER, SIMONA	Mujer	1
ALDUNATE, FELIPE	Hombre	1
SEPULVEDA K, GONZALO	Hombre	1
RIBAS, PIERRE	Hombre	1
ATRIA, PABLO J.	Hombre	34
PARDO DIAZ, CAROLINA	Mujer	5
VILLEGAS, C.	-	1
TRONCOSO, MAITE	Mujer	1
VALENZUELA, IGNACIO	Hombre	3
UGARTE, CAROLINA	Mujer	1
HODGE DUPRE, EDUARDO ANDRES	Hombre	2
SANCHEZ-ALDANA, ELIANA	Mujer	1
CHOCONTA-PIRAQUIVE, ALEXANDRA	Mujer	1
RETAMAL, IGNACIO N.	Hombre	13
ZYLBERBERG, ALEJANDRO	Hombre	1
RABIE, C. MORENO	-	1
RUSQUE, M., I	-	1
AMIR, RABAH	-	3
MASS-LINDENBAUM, M. A.	-	4
RODRIGUEZ, E.	Hombre	1
SANDOVAL GARCES, M.	Mujer	1
CARRASCO, LORETO	Mujer	1
MANDUJANO, FELIPE	Hombre	1
SAEZ, IVAN D.	Hombre	1
WESTMACOTT, ANNE	Mujer	1
HILL, CHARLOTTE	Mujer	1
GONZALEZ, AGUSTIN	Hombre	1
SEDANO, ROCIO	Mujer	1
FIGUEROA, FRANCISCO	Hombre	2
MARCOS, HENRIQUES	-	1
BOSCH-KREIS, MARIA JOSE	Mujer	7
RENNER, ALEX	Hombre	1
CONTRERAS MELENDEZ, L.	Hombre	3
TAPIA VALLADARES, C.	Hombre	3
GIMENEZ SALINAS, JOSE ANTONIO	Hombre	2
VALENCIA, OSCAR	Hombre	20
GONZALEZ RAMIREZ, ROSA GUADALUPE G.	Mujer	40
MONTINI, FRANCISCA	Mujer	1
CASTILLO-GALAN, SEBASTIAN	Hombre	3
MANALICH, JAIME	Hombre	2
LINAZASOR, ITZIAR	Mujer	1
EPSTEIN-NUMHAUSER, RAFAEL DAVID	Hombre	3
SANCHEZ-MENESES, MARIANELA	Mujer	6
IRARRAZAVAL, CARLOS E.	Hombre	1
ENDEIZA, MARIA	Mujer	1
AZUA-BUSTOS, ARMANDO	Hombre	1
SALAZAR SARRAT, ISIDORA	Mujer	1
MORALES, CAMILA	Mujer	1
PEPCZYNSKA, MARZENA	Mujer	9
ZENAIDA SUAREZ, M.	-	1
CID, P.	-	1
PEREZ-MONTILLA, MARIA ALEJANDRA	Mujer	1
MEDINA-PADILLA, MIGUEL EDUARDO	Hombre	1
YANKOVIC, NATALIA	Mujer	7
RIVERA, SEBASTIAN	Hombre	18
GARCIA-MARIN, ALVARO	Hombre	3
SANDOVAL, CAROLINA	Mujer	1
GUBELIN, WALTER	Hombre	3
URRUTIA MANRIQUEZ, L.	Hombre	1
RUBEL COHEN, S.	Hombre	1
DIAZ, S.	Hombre	1
KUJBIDA, FONSECA	-	1
PETERS, EDUARDO	Hombre	11
FEIJOO, BEATRIZ	Mujer	8
AKENTJEW, TAMARA L.	Mujer	7
DESCALZI-MUNOZ, ORAZIO DANTE	Hombre	53
LARA, CRISTIAN	Hombre	1
ALVAREZ-VALENZUELA, KARIN PAMELA	Mujer	5
LAIRET, LOPEZ	-	1
VILLANUEVA, STEVEN, JR.	Hombre	1
SOTO, VALERIA	Mujer	2
CARRILLO LOPEZ, RUBEN	Hombre	1
DONOSO, MANUEL B.	Hombre	1
ACUNA, STEPHANIE	Mujer	3
HASBUN, CATALINA	Mujer	2
COSTA, VANDERLEI	-	1
FERREIRA, GONZALO	Hombre	1
MARSIGLIA, HUGO	Hombre	1
SANCHEZ-CALDERON, LUIS	Hombre	1
PETERCHEV, ANGEL, V	Hombre	1
ACUNA, HECTOR	Hombre	2
MALDONADO, IGNACIO	Hombre	3
CUBAS RAMACIOTTI, RICARDO	Hombre	1
BITAR, SEBASTIAN	Hombre	1
DELPIANO, JOSE	Hombre	23
NOUJEIM, ZIAD E. F.	Hombre	1
MASS LINDENBAUM, M.	-	1
NIEN, JYH K.	-	10
GUAJARDO, ULISES	Hombre	3
SIERRA HERRERO, ALFREDO	Hombre	14
BERNET PAEZ, MANUEL	Hombre	5
VELARDE, FRANCESCA	Mujer	3
PARRA, ELISEO	Hombre	7
GUERRERO FERNANDEZ, RICARDO	Hombre	1
FAJARDO PENA, SANTIAGO	Hombre	1
URREJOLA, DENISSE	-	3
LOPEZ, VALENTINA	Mujer	2
SAGUA, FRANCISCA	Mujer	1
SERMAN, YAIR	Hombre	1
FUENTEALBA, RODRIGO A.	Hombre	5
QUIJADA, FRANCISCA	Mujer	1
BYRES, NICHOLAS	Hombre	1
DAL ZOVO, CHIARA	Mujer	1
TERRAZAA, CLAUDIA	Mujer	1
ENRIONE, JAVIER	Hombre	47
ACEVEDO, JUAN PABLO	Hombre	19
ANGELOPOULOS, IOANNIS	Hombre	6
SAN MARTIN PENAILILLO, PAMELA	Mujer	11
GONZALEZ, FERNANDO	Hombre	2
TAPIA, ANDRES	Hombre	3
