Autor	Género	Total de Artículos
ITURRIAGA, R	Hombre	5
FLORES, C	Hombre	1
OLIVA, M	Hombre	66
GONZALEZ, J	Hombre	44
VALDIVIA-LAHSEN, NELSON ALEJANDRO	Hombre	2
FUENTES PADILAL, PAULINA	Mujer	1
FERRER-VALDIVIA, NICOLAS	Hombre	4
ZAPATA-CARMONA, HECTOR	Hombre	5
MENDIONDO, ALEXANDRE	Hombre	1
RABELO, MICHAEL	Hombre	1
GOMEZ-SILVA, BENITO SEGUNDO	Hombre	34
ROJAS MORALES, J. M.	-	1
ARAN, T.	-	1
MAMMADOVA, GUNAY Z.	-	1
ROSSEVAL, SCOMPARIN	-	1
GOMEZ, GONZALO I.	Hombre	1
ARAYA VALENCIA, RUBEN	Hombre	1
BOUCHER, HUGUES	Hombre	1
GARCIA DEL MORAL-ZABALA, MARIA PILAR	Mujer	18
ORTEGA-TORRES, ELVA ELIANA	Mujer	1
ARAN, PABLO	Hombre	2
MAYA, JORGE E.	Hombre	1
BRACAMONTE-WOLF, CASANDRA	Mujer	1
HERRERA, DANIEL	Hombre	1
ARAYA, JORGE E.	Hombre	31
RODRIGUEZ, JONNATHAN	-	20
CORREA-BERNARDES, MARCELO	Hombre	1
ANTONIO RAMIREZ, MARCO	Hombre	1
CASTILLO-GALAN, SEBASTIAN	Hombre	1
RAMIREZ-GALLARDO, MARCO ANTONIO	Hombre	17
DAVIES, RICHARD	Hombre	1
LIRA, MATIAS	Hombre	2
ARANCIBIA, DUXAN	Hombre	9
CRUZ-HUANUCO, YOCELIN MARISEL	-	4
GARCIA, JONATHAN	Hombre	1
ROJAS, CLAUDIO	Hombre	2
RAMIREZ, HUGO	Hombre	1
GALVEZ, ANITA S.	Mujer	2
CAMUS, MANUEL	Hombre	3
ROJAS PARRA, EDUARDO	Hombre	1
PEREZ, KEVIN	Hombre	10
CHAVEZ-CONTRERAS, FELIPE	Hombre	1
GALLARDO, DIEGO, I	Hombre	8
MARZO, AITOR	Hombre	57
SOTO, GONZALO	Hombre	3
HENRIQUEZ, MAURO	Hombre	11
PARRADO-RIQUELME, CRISTOBAL ANDRES	-	5
MALLCO, A.	-	10
SAAVEDRA, RICARDO	Hombre	1
MONTENEGRO, DIANA	Mujer	8
JUDITH CRUZ, M.	-	1
HERNANDEZ, PIA	Mujer	34
MORENO, JOSE LUIS	Hombre	8
GUZMAN, VETHENCOURT	-	1
TOMICIC, VINKO	Hombre	1
HUARACHI-OLIVERA, RONALD	Hombre	4
ACOSTA, ROXANA	Mujer	1
ANAIS, J.	Hombre	3
MORALES-ACOSTA, GINA	Mujer	7
CORTES, M.	-	1
LUIS-DE COS, G.	Mujer	3
CUBILLOS, CAROLINA F.	Mujer	3
SEVERINO, ESTEBAN	Hombre	1
RAMIREZ-ALEGRIA, SEBASTIAN RAMIREZ	Hombre	13
ROMAN SILVA, DOMINGO	Hombre	1
JAUREGUI, MARJORIE	Mujer	2
CEREZAL, PEDRO	Hombre	34
LAVADO, A.	Mujer	2
FABIO, BATISTA	Hombre	1
MORENO, LUIS A.	Hombre	6
MENDEZ, PATRICIO A.	Hombre	1
CORTES-ALBAYAY, CARLOS	Hombre	2
VALDES SAAVEDRA, JORGE	Hombre	4
MEDINA TRIPODI, EDUARDO ENRIQUE	Hombre	1
VEGA, JOSE DELGADO	Hombre	1
TORRES, VIVIANA I.	Mujer	2
SIMIRGIOTIS, MARIO J.	Hombre	39
AYALA, L.	-	1
COOPER, OLIVER	Hombre	1
CREEVEY, ORLAGH	Mujer	1
DIAZ ALMEIDA, DANIEL	Hombre	3
ESPINOZA, DARIO	Hombre	1
PORTILLO, CARLOS	Hombre	27
CORTES, SONIA	Mujer	5
CLAROS, MARTHA	Mujer	10
RAMIREZ, YENDERY	-	5
HERRERA, A.	-	1
DOCMAC, FELIPE	Hombre	11
LOVERA, J.	-	1
DUPONT, JUNIOR	-	1
HERREROS, OSVALDO O.	Hombre	3
DIAZ, PATRICIO A.	Hombre	1
VILLALOBOS, ALVARO S.	Hombre	1
PEÑA-RAMIREZ, KARLA	Mujer	24
BEATON, R. L.	Mujer	1
FERNANDEZ-DIAZ-CARRALERO, ANGEL GABRIEL	Hombre	41
REMIGIO, GAIBOR	-	1
VALENZUELA-AHUMADA, FERNANDO ALFREDO	Hombre	3
MAXWELL, LINDLEY	Hombre	5
CISTERNA, JONATHAN	Hombre	44
ABARCA, MARCELO	Hombre	3
GOYENECHE, DARDO	-	13
JIMENEZ, Y. P.	-	48
AHUMADA-CORTES, MARITZA ELIZABETH	Mujer	1
GUIZA, JUAN	Hombre	8
NARVAEZ, MAYERLINE	-	1
CORTEZ, CONSTANZA	Mujer	1
VARGAS, SIOMARA	-	1
ARANCIBIA-BRAVO, MARIA PIA	Mujer	4
LOPEZ, JEAN	Hombre	1
PIZARRO-CARMONA, VICTOR	Hombre	2
GOMEZ-SILVA, BENITO	Hombre	1
DE ZEEUW, P. T.	Hombre	1
ESCUDERO, M.	-	1
CHRISTIE, GRANT	Hombre	9
HUNDERTMARK, MARKUS	Hombre	1
ROBLEDO, DIEGO	Hombre	1
FIGUEROA, MONICA	Mujer	1
ESPINOSA, CAROLINA	Mujer	8
TELLO-ORTIZ, FRANCISCO ANTONIO	Hombre	48
LUCAY, FREDDY A.	Hombre	16
PINEDA, FABIOLA	Mujer	4
CAIMANQUE, TAMARA N.	Mujer	1
HERRERA, G.	Hombre	2
AGUILERA, VICTOR M.	Hombre	6
GONZALEZ-JAEN, MARIA TERESA	Mujer	1
VILLAGRAN, RODRIGO	Hombre	1
CHIAVASSA, ANDREA	Mujer	2
FERNANDEZ ACEVEDO, FRANCISCO	Hombre	1
MORA-CARRENO, MAURICIO	Hombre	2
BUCCHI, CRISTINA	Mujer	1
HERMOSILLO-NUNEZ, BRENDA BERENICE	Mujer	14
MUNOZ, CHRISTIAN	Hombre	9
REYES-ROCABADO, JIMMY ALADINO	Hombre	25
RIVERA, MAILING	-	2
LICUIME, ROMINA	Mujer	1
RUIZ-VELASQUEZ, MARYORI	-	4
NUNEZ, CRISTIAN	Hombre	2
ROMAN-REYES, ROSSANA PATRICIA	Mujer	11
TRUJILLO, A.	Hombre	1
LAY, MARGARITA K.	Mujer	11
KUZMICIC, JOVAN	Hombre	2
MUNOZ, FERNANDA	Mujer	2
