Autor	Género	Total de Artículos
OLEA, A	Hombre	13
VALENZUELA, P	Hombre	1
IVAN REYES-PARADA, MIGUEL	Hombre	1
VALENZUELA, A. M. L.	-	1
MENESES, PABLO	Hombre	1
EDUARDO FERNANDEZ, G.	Hombre	60
BASTIAS, ADRIANA	Mujer	4
PALAFOX MENEGAZZI, ALEJANDRA	Mujer	2
ARAYA-CASTILLO, LUIS	Hombre	3
BARRIENTOS, CLAUDIO	Hombre	10
GONZALEZ GONZALEZ, JAIME	Hombre	1
GONZALEZ GONZALEZ, JAIME ANDRES	Hombre	1
MORENO-GARCIA, ROBERTO ADRIAN	Hombre	15
QUINTANA, DANIELA	Mujer	3
ZUNIGA, CAROL	Mujer	1
LOZANO-LOZANO, JOSE A.	Hombre	13
MILLAN-TOLEDO, CRISTIAN	Hombre	2
VEGA, JOSE A.	Hombre	83
PENA GONZALEZ, JUAN PABLO	Hombre	1
HIDALGO-ROSA, YOAN	Hombre	2
NUNEZ-ULLOA, GASTON	Hombre	1
MEZA, A.	Hombre	4
ROJAS-POBLETE, MACARENA	Mujer	3
MUJICA JOHNSON, FELIPE NICOLAS	Hombre	9
FIERRO HERRERA, CAROLINA	Mujer	1
MORALES-MORA, LISBETTY	-	1
GOMEZ, GONZALO I.	Hombre	12
DELOOZ, BENOIT	Hombre	2
RAMIREZ-SANCHEZ, DAVID MAURICIO	Hombre	31
NORMA, ROSSANO	Hombre	1
BAEZ-BARRIONUEVO, JOSE CARLOS	Hombre	56
LINARES, JESUS GAZQUEZ	Hombre	1
CARLOS PENA, JUAN	Hombre	1
CARRENO, EDUARDO A.	Hombre	1
CARTE, LUIS	Hombre	1
BASCOUR-SANDOVAL, CLAUDIO	Hombre	16
FERNANDEZ-BARBERO, ANTONIO	Hombre	6
ALVAREZ-BUENO, CELIA	Mujer	1
SAEZ, CLAUDIA	Mujer	2
WEN, SCHILIN	-	1
BARRETO, GEORGE	Hombre	151
RUSSELL-GUZMAN, JAVIER	Hombre	11
REYES-PARADA, MIGUEL	Hombre	32
MEJIAS, CAMILA	Mujer	1
LAZO-AMADOR, RODRIGO	Hombre	2
LARA, DANITZA	-	1
ESCOBEDO, NOELIA	Mujer	9
AZUA-BUSTOS, ARMANDO	Hombre	28
FIGUEROA, STEFANNY	-	6
MARTINEZ-DIAZ, PABLO ALBERTO	Hombre	1
FREIRE, MARLA	Mujer	1
VARGAS-CHACOFF, LUIS HUMBERTO	Hombre	1
MARTINEZ, JAVIER	Hombre	1
COLLADO-MATEO, D.	Hombre	27
ROSAS-GODOY, JORGE	Hombre	1
VALLEJOS, GABRIEL A.	Hombre	1
CANSINO-MUNOZ-REPISO, JOSE MANUEL	Hombre	35
DIAZ, ROBERTO	Hombre	1
BRUNEAU CHAVEZ, JOSE GASTON	Hombre	1
ORELLANA FERNANDEZ, ROSA	Mujer	1
SOFIA, WILLIAMS	-	1
GUMIEL-URRUTIA, J. M.	-	1
PIZARRO-PINO, DANIELA	Mujer	1
LAGOS-HERNANDEZ, ROBERTO	Hombre	15
CATALDO, XIMENA	Mujer	1
CADENAS, HUGO	Hombre	2
COFRE, GLENDA	Mujer	1
CARRASCO ARAVENA, SERGIO FABIAN	Hombre	1
LARA, L.	Mujer	39
FIERRO, PABLO	Hombre	1
POYATOS-LEON, RAQUEL	Mujer	1
HERNANDEZ-VARELA, PABLO	Hombre	2
CANDANO PEREZ, MABEL	Mujer	2
CONTRERAS VASQUEZ, PABLO	Hombre	6
TRIGO KRAMCSAK, PABLO	Hombre	1
SCHOTT-VERDUGO, STEPHAN N.	Hombre	1
ZINNECKER, H.	Hombre	28
SARACOSTTI, MAHIA	-	2
GAMBETTA-TESSINI, KARLA	Mujer	3
MIRABAL, Y.	-	8
TRONCOSO CASTILLO, CHRISTIAN DAVID	Hombre	1
PLAZA, NICOLAS	Hombre	13
FUENTEALBA, RODRIGO A.	Hombre	1
LAPORTE, DANIEL	Hombre	6
CAMPOS, VALERIA	Mujer	6
SIMIRGIOTIS, MARIO J.	Hombre	1
ASSAEL, CECILIA	Mujer	1
LOPEZ-LEGARREA, PATRICIA	Mujer	11
SUAZO-GALDAMES, IVAN C.	Hombre	20
CARTER, LUIS	Hombre	10
SANDOVAL-YANZE, CLAUDIA	Mujer	1
GOMEZ-CANO, TATIANA MARIA	Mujer	25
TAPIA-MONSALVES, CAROLA	Mujer	6
NUNEZ-PARRA, ALEXIA	Mujer	1
URRA ALBORNOZ, CAMILO	Hombre	2
ARRUE, LILY	Mujer	5
PEREZ NINO, WALTER FERNANDO	Hombre	1
SEPULVEDA MORENO, LUISA C.	Mujer	1
MORENO GARCIA, ROBERTO	Hombre	1
SALAZAR, CELIA	Mujer	7
REY-GOZALO, GUILLERMO	Hombre	33
PEREZ-ROJAS, FRANCISCO JAVIER	Hombre	11
