Autor	Género	Total de Artículos
NUNEZ-VIVANCO, G.	Hombre	1
NUNEZ-VIVANCO, GABRIEL	Hombre	3
GONZALEZ-CHANG, MAURICIO	Hombre	6
CONEI, DANIEL	Hombre	19
URRA, ENRIQUE	Hombre	3
ROLDAN-MOLINA, A.	Hombre	9
RAMIREZ-RODRIGUEZ, ONEY OSCAR	-	7
PEREZ, TOMAS	Hombre	1
ZABALA TORRRES, BEATRIZ	Mujer	1
FEDERICI, FERNAN	-	1
MONTECINOS, GINO	Hombre	6
ULLOA-INOSTROZA, ELIZABETH M.	Mujer	4
BARRENA RUIZ, JOSE	Hombre	2
RIVAS, JOSE	Hombre	2
DUSSAILLANT, A.	Hombre	6
IBARRA-GONZALEZ, SEBASTIAN IGNACIO	Hombre	1
JANA-PRADO, FABIAN	Hombre	6
SILVA-MATUS, PAUL	Hombre	1
ZAMORANO-ELGUETA, CARLOS	Hombre	11
DE ARMAS-RICARD, MERLY	-	4
URRUTIA-JALABERT, ROCIO BEATRIZ	Mujer	6
RIOS-ALARCON, ANDREA IVANA	Mujer	1
VEGA, M.	Hombre	4
BASUALTO-ALARCON, CARLA EDITH	Mujer	10
IBARRA, SEBASTIAN	Hombre	1
ULLOA-INOSTROZA, M.	-	1
IBARRA, SEBASTIÁN	Hombre	1
ULLOA-INOSTROZA, E. M.	-	1
MARTIN, JULIA SAN	Mujer	1
VALENZUELA, RODRIGO A.	Hombre	6
OLIVAR-TOST, GERARD	Hombre	19
VALENCIA-CALVO, JOHNNY	Hombre	8
CONEI, DANIEL	Hombre	1
BOZAN, MARIA FRANCISCA	Mujer	1
VILLALON, ALDO	Hombre	1
MATTAR, CRISTIAN	Hombre	15
MARTINIC, SERGIO	Hombre	1
ZUNIGA, FELIPE	Hombre	4
QUEZADA, PAULO	Hombre	5
OLIVAR TOST, GERARD	Hombre	2
MOLETTO-LOBOS, ITALO	Hombre	1
PAREDES-VILLARROEL, XIMENA	Mujer	2
AGUILAR SANDOVAL, FELIPE	Hombre	1
GONZALEZ-FLORES, M.	-	1
TAYLOR-ZAVALA, RICHARD	Hombre	1
SANHUEZA, HAROLD	Hombre	2
QUINÁN-CÁRDENAS, FRANCISCO	Hombre	1
PÉREZ-VIDAL, RODRIGO	Hombre	1
MAYORGA-LOBOS, CRISTINA	Mujer	1
CALVO, JOHNNY VALENCIA	Hombre	1
CEA, PASTOR	Hombre	1
IRARRAZAVAL, INIGO	-	1
CARRASCO URRUTIA, PATRICIA	Mujer	1
NOORLAG, JANNEKE	Mujer	3
CEA, PASTOR	Hombre	1
QUINTANILLA, M.	-	1
ARRIAGADA DIAZ, CHRISTIAN ANDRES	Hombre	1
VALENCIA, DANIEL CONEI	Hombre	1
IBARRA GONZÁLEZ, SEBASTIÁN	Hombre	1
KEYMER, JUAN E.	Hombre	5
SPIRITO, FLORENCIA	Mujer	7
ALFARO, FELIPE	Hombre	7
DUSAILLANT, ALEJANDRO	Hombre	1
CONCHA-MÉNDEZ, CAMILA	-	1
GUGLIEMI, IVÁN	-	1
CARRASCO, PATRICIA	Mujer	2
PICHUANTE, EMA	-	1
VALENCIA, DANIEL CONEI	-	1
VALENZUELA B, RODRIGO	Hombre	1
ALONSO-DE-LINAJE, NICOLAS G.	Hombre	1
KEYMER, JUAN	-	1
ROLDAN, ALEJANDRO	-	1
NUNEZ-VIVANCO, GABRIEL	-	1
OLIVAR-TOST, GERARD	-	1
SAN MARTÍN, JULIA	Mujer	4
VEGA-VASQUEZ, TAMARA	-	1
OLIVAR-TOST, GERARD	-	1
GONZALEZ-FLORES, MARIELA	-	1
VILLALOBOS DINTRANS, CRISTOBAL	-	1
CABELLO-ESPANON, FELIPE	Hombre	1
JULLIAN, AMANTU	-	1
ROLDAND, ALEJANDRO	-	1
SOTO, DANIEL P.	Hombre	23
ROLDAN-MOLINA, ALEJANDRO	Hombre	2
NORAMBUENA, CRISTIAN VALDES	Hombre	1
CORDOVA, CAROLIN	Mujer	2
MILLAR, LORENA	-	1
MARTINIC, SERGIO	Hombre	2
REVECO, SANTIAGO URRUTIA	Hombre	1
VALDÉS NORAMBUENA, CRISTIÁN	-	1
