Autor	Género	Total de Artículos
PACHECO, ARYEL	-	2
OLMOS, SEBASTIAN	Hombre	1
LARRAIN, H.	Hombre	2
SAID BARAHONA, JORGE	Hombre	1
VIVEROS CAVIEDES, FELIPE	Hombre	1
ELIZALDE HEVIA, ANTONIO	Hombre	8
ELIZALDE H, ANTONIO	Hombre	1
DÍAZ, VÍCTOR ADRIÁN	Hombre	1
NAVARRETE SAAVEDRA, RODRIGO	Hombre	1
PINCHEIRA TORRES, IVAN	Hombre	2
ELIZALDE, ANTONIO	Hombre	2
ARANCIBIA, MARÍA ESTER	Mujer	3
RIQUELME RIVERA, JORGE	Hombre	2
RAZETO M, LUIS	Hombre	2
ELIZALDE, RODRIGO	Hombre	1
GONZÁLEZ GUTIÉRREZ, MARIO	Hombre	1
TIJOUX, MARÍA EMILIA	Mujer	1
FUENTES M, FELIPE	Hombre	1
FELIPE FUENTES, M.	-	1
ASTUDILLO BECERRA, LUIS FERNANDO	Hombre	1
SÁNCHEZ, VICENTE	Hombre	1
OLMOS, SEBASTIÁN	Hombre	1
BURGOS-PEREDO, OSCAR	Hombre	1
HEVIA, ANTONIO ELIZALDE	Hombre	1
LETZKUS-PALAVECINO, MANUEL	Hombre	1
ZÚÑIGA, MARÍA PAZ AEDO	Mujer	1
BASTIAS, CARLA	-	1
ORELLANA, MARCOS	-	1
SAEZ, KAREN	-	1
PEZOA HUERTA, RENATO	Hombre	1
PARADA-ULLOA, MARCOS	Hombre	1
