Autor	Género	Total de Artículos
AMIGO, H	Hombre	2
SANCHEZ, R	Hombre	1
LARRAIN, C	Hombre	1
MORALES-PARADA, FERNANDO	Hombre	1
HOLLANDER-SANHUEZA, REINIER	Hombre	1
VARELA-CASTRO, CAMILA	Mujer	1
CABRERA-PARDO, JAIME ROBERTO	Hombre	19
ARANGUIZ, PABLO	Hombre	1
LARREA-WACHTENDORFF, DOMINIQUE	-	3
TABILO-MUNIZAGA, GIPSY	-	57
AGUAYO, CLAUDIO	Hombre	6
RIOS, CARLOS	Hombre	1
VALLADARES, MOISES	Hombre	12
KING-DOMINGUEZ, ANDREA	Mujer	7
PARRA, YESENIA	Mujer	1
GONZALEZ PEREIRA, RUBEN	Hombre	1
SALGADO JIMENEZ, CLAUDIO	Hombre	1
ORDENES, LEONARD BELMAR	Hombre	2
PENA GONZALEZ, JUAN PABLO	Hombre	1
BEIRAO DA VEIGA, L.	Hombre	1
ELSO, MHARTYN	-	1
PEREZ, N.	Mujer	1
VERGARA-GONZALEZ, FRANCISCO P.	Hombre	1
GONZALEZ-RIOS, PATRICIO E.	Hombre	1
MONTERO-NAHUELCURA, CLAUDIO A.	Hombre	13
MUNOZ MENDOZA, CARMEN LUZ	Mujer	1
BARADIT ALLENDES, ERIK	Hombre	2
VIDAL-CASTRO, CHRISTIAN	Hombre	16
RUBIO-MANZANO, CLEMENTE	Hombre	33
TORRES-VERGARA, PABLO	Hombre	2
MUNOZ NAVARRO, SERGIO R.	Hombre	1
CASTRO-CARRASCO, PABLO	Hombre	1
QUINTRILEO LLANCAO, ELIZABETH JACQUELINE	Mujer	1
PINO MUNOZ, MONICA	Mujer	4
JAVIER MATURANA, D.	-	1
LAUTARO BRIONES, S.	-	1
LINARES-BERMUDEZ, NELSON	Hombre	2
SOTO-PARDO, VALERIA A.	Mujer	1
GUZMAN-MEZA, MARCO F.	Hombre	5
PINTO, CRISTIAN	Hombre	1
RAU, MACARENA	Mujer	1
DELGADO-NEIRA, PAMELA	Mujer	1
BASTIAS-MONTES, JOSE M.	Hombre	43
PETZOLD-MALDONADO, GUILLERMO	Hombre	1
RIQUELME, ANYELO	-	1
CRUCES, CRISTINA	Mujer	1
SEGOVIA, AMANDA	Mujer	1
DELGADO-SANDOVAL, GUSTAVO	Hombre	2
CARMONA-PASTEN, FABIOLA	Mujer	2
NAVARRETE, CESAR R.	Hombre	2
RIEDEMANN, JAVIER A.	Hombre	16
ANAYA, V.	Mujer	23
LARA, CARLOS	Hombre	4
ROSAS-MALDONADO, MARITZA	Mujer	1
GALLARDO, DIEGO, I	Hombre	8
LERMANDA-SENOCEAIN, TOMAS	Hombre	3
CERDA BRINTRUP, GONZALO	Hombre	10
BENEDETTI, FRANCO	Hombre	16
JARA, CAROLINA	Mujer	1
PINO, RUBEN	Hombre	1
PEREZ, MARTIN	Hombre	1
DURAN, C.	-	1
VALLEJOS, C.	Hombre	1
DIAZ-MARTINEZH, XIMENA	Mujer	1
LARA, FELIPE	Hombre	1
DE LA FUENTE VILLANUEVA, DIEGO	Hombre	1
CISTERNA-OSORIO, PEDRO	Hombre	11
LAZCANO-CASTRO, VERONICA	Mujer	1
SILVA-VASQUEZ, GISELA	Mujer	1
LLANOS-BAEZA, MAURICIO	Hombre	1
FUENTES-ORTEGA, IGNACIO	Hombre	1
TRIVEDI, PANKAJ	Hombre	1
SANCHEZ SOTO, IVAN	Hombre	1
TRUJILLO-MAYOL, IGOR	Hombre	6
SILVA, FABIANA L.	Mujer	3
