Autor	Género	Total de Artículos
CORTES-ARRIAGADA, DIEGO	Hombre	2
SALDARRIAGA-CORDOBA, M.	-	1
LOPEZ, ALEJANDRO	Hombre	1
PATINO-GARCIA, DANIEL	Hombre	3
ORELLANA, RENAN	Mujer	12
PEREZ-ARREDONDO, CAROLINA	Mujer	1
FUENZALIDA, M. J.	Mujer	1
FAGERSTROM, CRISTHEL	-	2
ASTORGA, C.	Mujer	1
ISLER-SOTO, CARLOS AUGUSTO LUIS	Hombre	12
CORREA, SEBASTIAN A.	Hombre	3
REYES, CAMILO	Hombre	3
WRIGHTON-ARANEDA, KERRY	Mujer	2
FUENTES-ALBURQUENQUE, SEBASTIAN	Hombre	3
SANCHEZ-BAYON, ANTONIO	Hombre	13
NAVARRETE, CAMILA	Mujer	1
LARA, CARLOS	Hombre	18
ASTROZA, KATHERINE	Mujer	1
PENAILILLO, DAMARY	-	1
CASALS, MARCELO	Hombre	2
ARAYA-QUINTANILLA, FELIPE	Hombre	1
EDUARDO MARTINEZ, DAVID	Hombre	1
FEHRENBERG GAETE, MARIA JOSE	Mujer	2
PARRA-SALDIAS, MARIBEL	Mujer	1
CONTRERAS, YURI	Hombre	1
ESTRADA-APABLAZA, LISBELL DIANNE	-	18
LOIS, CARLA	Mujer	2
ARRIAGADA-SOLIMANO, MARCIA	Mujer	1
PINUNURI, RAUL	Hombre	6
AGUILAR, JULIO	Hombre	3
IBARRA-CIFUENTES, PATRICIO	Hombre	25
PAVEZ, LEONARDO	Hombre	17
BERNAL, YANARA A.	-	4
BECERRA, ALVARO	Hombre	1
NEILA-PIVET, MELISA	Mujer	1
FLORES FERRO, ELIZABETH	Mujer	14
RODRIGUEZ, BARBARA X.	Mujer	3
MADARIAGA, ERIKA	Mujer	17
RUBIO, JOSE MIGUEL	Hombre	12
GAETE, JOSE	Hombre	12
SOTO-SANCHEZ, JOHANA	Mujer	1
ORTIZ CANSECO, MARTA	Mujer	1
DUQUESNOY, MICHEL	Hombre	4
ARRUE, LILY	Mujer	1
