Autor	Género	Total de Artículos
BASTIAS, G	Hombre	21
MOSSO, L	Mujer	39
ANDRESEN, M	Hombre	68
POGGI, H	Mujer	49
MARQUET, PA	Hombre	120
ALCAYAGA, J	Hombre	1
ITURRIAGA, R	Hombre	81
BITRAN, M	Mujer	30
RECABARREN, M	Mujer	1
NERVI, F	Hombre	45
SIMONETTI, JA	Hombre	1
MENA, EC	Hombre	1
HOYL, T	Mujer	5
OYARZUN, E	Hombre	13
ACEVEDO, M	Mujer	76
ODDO, D	Hombre	29
VONBAER, D	Hombre	1
ROZZI, R	Hombre	1
REPETTO, P	Mujer	52
SLACHEVSKY, A	Mujer	1
LIMA, M	Hombre	64
OLIVARES, M	Hombre	2
TAGLE, R	Hombre	31
FLORES, C	Hombre	5
VALENZUELA, MT	Mujer	1
BORIC, M	Hombre	32
ARRATIA, G	Hombre	1
SANCHEZ, R	Hombre	10
CARRION, F	Hombre	1
KRAMER, V	Mujer	10
PORTE, L	Mujer	5
PANTOJA, T	Hombre	63
VALENZUELA, R	Hombre	7
GOMEZ, R	Hombre	44
MARDONES, F	Hombre	46
VELARDE, V	Mujer	4
VASQUEZ, JR	Mujer	1
RIQUELME, MS	-	1
BARJA, S	-	58
GONZALEZ, J	Hombre	45
RODRIGUEZ, JC	Hombre	1
GODOY, J	Hombre	37
BERNARDÍN, ANDRÉS	Hombre	1
IDIAQUEZ, J	Hombre	2
VALENZUELA, P	Hombre	1
VALDES, S	-	1
DIAZ, P	Mujer	2
SOTOO, S	-	1
ESCOBAR-AGUIRRE, SEBASTIAN	Hombre	8
HORMAZABAL, FERNANDO A.	Hombre	1
PEREZ-GALARCE, FRANCISCO	Hombre	9
KELLER, KARINA	Mujer	6
PROSSER, GABRIEL	Hombre	5
MARSHALL BARBERAN, PABLO	Hombre	10
PALMA, PATRICIA	Mujer	1
GONI, JULIAN	Hombre	17
BERNASCONI, ANDRES	Hombre	23
ASCORRA, PAULA	Mujer	1
DUMMER SCHEEL, SYLVIA	Mujer	2
DAVIES, MICHAEL J.	Hombre	1
CALIXTO, ANDREA	Mujer	2
LOPEZ-CEPEDA, JOSE F.	Hombre	1
CORTES-ARRIAGADA, DIEGO	Hombre	17
GARFIAS, CAROLINA P.	Mujer	5
GARCIA, HERNAN J.	-	1
PHINGSTHORN, MARTIN	Hombre	1
GARCIA, HERNAN G.	-	1
VALERO-GARCES, B. L.	Hombre	7
FRUGONE, M.	Hombre	6
MORELLON, M.	Hombre	2
WILLIUS, ANDREAS HEIN	Hombre	1
HIDALGO, MARISA TORRES	Mujer	1
ZUNIGA, PABLO ARROYO	Hombre	1
VENEGAS, MARGARITA QUEZADA	Mujer	1
ABARCA, EDUARDO VALENZUELA	Hombre	1
GUTIERREZ, ERNESTO SAN MARTIN	Hombre	1
SAGLIETTI, SANTIAGO	Hombre	6
ORTIZ, CAMILA	Mujer	3
ROSAS, FERNANDO E.	Hombre	8
CARPIO, MANUEL	Hombre	42
GALLEGOS, J.	Hombre	1
GONZALEZ-CASTRO, MARCOS	Hombre	1
MELLA-RAIPAN, JAIME ALBERTO	Hombre	7
SALAS-SANCHEZ, CRISTIAN OSVALDO	Hombre	76
ARAYA-CASTILLO, LUIS	Hombre	1
SEIFERT, B.	Hombre	22
WALLENTOWITZ, S.	Hombre	23
CABRERA, A. L.	Hombre	34
TAPIA-TAPIA, RODRIGO ANDRES	Hombre	1
BORRAS-CHAVEZ, RENATO	Hombre	9
PEREZ-MARQUEZ, SEBASTIAN	Hombre	1
SANTIS, CESAR	Hombre	2
VALENCIA-GALINDO, M. D.	-	1
MAC-CLURE-HORTAL, OSCAR	Hombre	1
AYALA REYES, M. CONSTANZA	-	1
DI CAPUA, M. H.	-	1
GONZALEZ, CRISTOPHER	Hombre	1
AGUAYO, CLAUDIO	Hombre	1
IBANEZ, CHRISTIAN M.	Hombre	44
WALDISPERG, MELANY	Mujer	1
TORRES, FELIPE I.	Hombre	1
MERINO, TOMAS	Hombre	31
BETTOLI, PIERO	Hombre	1
CANIUQUEO HUIRCAPAN, SERGIO	Hombre	2
SCHULZ, CARSTEN	Hombre	1
LOPEZ, CAMILO	Hombre	6
ROSENDE, DEBORAH	Mujer	1
SILVA-LABRA, FRANCISCO ANDRES	Hombre	18
BURDICK, CATHERINE	Mujer	4
ORMENO, ROCIO	-	1
PATINO-GARCIA, DANIEL	Hombre	9
ROCHA-PEREZ, NADIA	Mujer	1
ORELLANA, RENAN	Mujer	8
NAHUELHUAL, LAURA	Mujer	1
PEREZ-SILVA, RODRIGO	Hombre	1
ALARCON, GRACIELA S.	Mujer	1
FUENZALIDA, TOMAS, I	Hombre	1
MENA, CRISTIAN, I	Hombre	1
HERNANDEZ, RICARDO J.	Hombre	5
SEBASTIAN BALMACEDA, CHRISTIAN	Hombre	2
TREVINO, ERNESTRO	-	2
VALLADARES, MOISES	Hombre	2
VERDUGO, VICTOR	Hombre	2
VERSCHAE, JOSE	Hombre	24
ISBEJ, LORENA	Mujer	9
SALDIAS-PENAFIEL, FERNANDO JOSE	Hombre	71
CORTINEZ, LUIS	Hombre	73
RUBILAR, FRANCISCO	Hombre	3
HERNANDEZ, CRISTIAN E.	Hombre	1
AYLWIN FERNANDEZ, MARTIN	Hombre	1
GIOVAGNOLI-VICUNA, CLAUDIA	Mujer	7
ZAVALA ACHURRA, MARI ELISA	Mujer	1
ALDUNATE, FELIPE	Hombre	5
SEPULVEDA K, GONZALO	Hombre	4
CERDA-PLANAS, CATALINA	Mujer	3
ESPINOZA, SOFIA	Mujer	2
VASSOLO, ROBERTO S.	Hombre	15
BORGOISIO BARROS, CRISTIAN	Hombre	1
NAVARRO, JUAN S.	Hombre	1
GONZALEZ-LOPEZ, FERNANDA	Mujer	6
BENAVIDES, JULIO	Hombre	1
GUERRA AGUILAR, ENRIQUE	Hombre	1
OKSENBERG, S.	Hombre	1
STRABUCCHI, MARIA MONTT	Mujer	15
LEMUS-ROMANI, JOSE	Hombre	11
ALLENDE, P.	Hombre	1
HARRIS, P.	Hombre	71
HIDALGO-ROSA, YOAN	Hombre	17
ROJAS, A.	Hombre	2
FELLENBERG, M. A.	Mujer	16
GARRIDO-MIRANDA, JOSE	Hombre	1
RODRIGUEZ MENDEZ, JAIME	Hombre	1
HIDALGO-FRANCO, CHRISTIAN ANDRES	Hombre	1
CERDA, H.	Hombre	1
DAROCH, DIETRICH	Hombre	1
MUNOZ-HERNANDEZ, LORETO ANDREA	Mujer	14
DELGADO, NACARID	-	1
LOPEZ, BEATRIZ	Mujer	1
ALCAMAN-ARIAS, MARIA ESTRELLA	Mujer	6
RODRIGUEZ, ANDRES	Hombre	3
DE LA CERDA PAOLINELLI, CECILIA	Mujer	1
PUSCHEL, HANS	Hombre	1
CRUZ-SOCA, MEILYN	-	5
MEDINA, DANIEL A.	Hombre	9
JIMENEZ, NATALIA E.	Mujer	1
ANZIANI-OSTUNI, GIOVANNA	Mujer	1
DURAN, ERNESTO	Hombre	3
SITARAM, RANGANATHA	-	34
AGREDANO, R.	Hombre	3
CATALAN, P.	Hombre	2
MIGNOT, E.	Hombre	5
SOTELO, P. H.	Hombre	2
MEZA, A.	Hombre	1
POBLETE, PABLO	Hombre	15
CONTRERAS, MARCELA	Mujer	1
MIRANDA-FUENTES, CLAUDIA	Mujer	4
PABLO MONTEGU, JOSE	Hombre	1
PERTUZE, JULIO A.	Hombre	33
DIAZ-DOMINGUEZ, DIEGO	Hombre	2
BALL, ERIC	Hombre	1
SEBASTIAN, V.	Mujer	1
SCHULTZ, B.	-	1
FUENZALIDA, M. J.	Mujer	1
ARMISEN, R.	Hombre	2
GONZALEZ, CLAUDIA	Mujer	5
VEGA VEGA, PAULA	Mujer	28
GONZALEZ RODRIGUEZ, RINA	Mujer	4
HERNANDEZ-QUEZADA, RODRIGO ALEJANDRO	Hombre	1
SEVILLA, MARIA-PAOLA	Mujer	6
LAY-MARTINEZ, SIUGMIN PAZ	-	18
ALVAREZ, BELEN	-	5
BRAVO-VALENZUELA, PAULINA	Mujer	42
ASENCIO-BARRIA, CATALINA	Mujer	1
SANDOVAL, LUIS	Hombre	1
RETAMAL, IGNACIO N.	Hombre	19
MUNOZ-MEDEL, MATIAS	Hombre	15
FERNANDEZ, MARIA F.	Mujer	1
FERNANDEZ, DANIEL SCHWEITZER	Hombre	1
ZYLBERBERG, ALEJANDRO	Hombre	1
