Autor	Género	Total de Artículos
WESTMACOTT, ANNE	Mujer	3
GODOY ECHIBURU, GERARDO	Hombre	1
ALVAREZ CRUZ, MARTIN	Hombre	1
VELOSO, SYLVIA	Mujer	1
MALUENDA, LORENA	Mujer	1
WESTMACOTT, ANNE	Mujer	1
FERRER, ANTONIETA HIDALGO	Mujer	1
ANTHONY DISSINGTON, PAUL	Hombre	1
ECHEVERRIA-ARRIAGADA, CARLOS IGNACIO	Hombre	5
ECHEVERRIA ARRIAGADA, CARLOS I.	Hombre	1
KIDDLE, THOM	Hombre	1
DISSINGTON, PAUL ANTHONY	Hombre	1
WESTMACOTT, ANNE	Mujer	1
ARRIAGADA, CARLOS I.ECHEVERRÍA	Hombre	1
DE LA BARRA, ERIKA	Mujer	1
ECHEVERRIA, CARLOS I.	Hombre	1
GONZALEZ-FERNANDEZ, CESAR A.	Hombre	1
