Autor	Género	Total de Artículos
SALINAS, JR	Mujer	1
VALENZUELA, MT	Mujer	1
MÉNDEZ, ANDREA	Mujer	1
IGLESIAS, C.	Hombre	1
MUNOZ-HERNANDEZ, LORETO ANDREA	Mujer	13
CHNAIDERMAN, J.	Hombre	1
BALL, ERIC	Hombre	2
MORAGA, JORGE	Hombre	11
IZQUIERDO-GOMEZ, ROCIO	-	15
DELOOZ, BENOIT	Hombre	3
SAEZ-MADAIN, PAULO	Hombre	1
CONCHA, PAZ	-	1
CALDERON-JOFRE, RODRIGO	Hombre	1
MUNOZ-FARINA, OCIEL	Hombre	1
ABELEIDA DIAZ, CAROLINA	Mujer	1
MANZANO CHAVEZ, LILIANA	Mujer	1
CARRENO, PIA	-	1
ARANCIBIA, DUXAN	Hombre	1
GONZALEZ, FELIPE	Hombre	11
SILVA, ANDRES	Hombre	6
DUARTE, M.	Hombre	8
ARAYA, JUAN	Hombre	1
PALACIOSI, ESTEBAN	Hombre	1
GEOMEZ NUNEZ, NICOLAS	Hombre	1
ROJAS TORREJON, PILAR	Mujer	1
BENITEZ ZAMUDIO, MARIA FRANCISCA	Mujer	1
ARELLANO, ALVARO SANCHEZ	Hombre	1
VEGA, ANDRES	Hombre	1
SILVA JIMENEZ, DIEGO	Hombre	3
VALENZUELA MAYORGA, JUAN ALEXIS	Hombre	1
TORRES ROJAS, EMILIO	Hombre	2
BARRIA ROJAS, SOLANGE	Mujer	2
CONTRERAS VASQUEZ, PABLO	Hombre	4
MESA, K.	Mujer	1
SIMIRGIOTIS, MARIO J.	Hombre	1
ARAVENA GAETE, MARGARITA	Mujer	1
SANCHEZ-GOMEZ, PILAR	Mujer	1
VEISANI, YOUSEF	Hombre	1
OTERO, GABRIEL	Hombre	4
ZUNIGA-LOYOLA, CESAR	Hombre	4
DITTUS, RUBEN	Hombre	7
CARDENAS-NEIRA, CAMILA	Mujer	1
SALDIA, MARIANELA	Mujer	1
MANRIQUEZ ARANCIBIA, JOSELYN	Mujer	1
CONEO, SILVIO	Hombre	1
MORENO BOBADILLA, A.	Mujer	1
SALDIAS-PEREZ, MARIANELA	Mujer	14
MACHADO, SERGIO	Hombre	27
CRUZ-NARANJO, FRANCISCO JAVIER	Hombre	36
LABRA, PATRICIO	Hombre	1
BAEZA, NELLY	Mujer	1
FUENZALIDA BASCUNAN, SERGIO	Hombre	1
CALQUIN DONOSO, CLAUDIA ALEJANDRA	Mujer	4
VERONICA MAGANA, IRENE	Mujer	1
RUIZ KUNSTMANN, MACARENA	Mujer	1
LOLAS-STEPKE, FERNANDO	Hombre	53
MALAMUD HERRERA, SAMUEL	Hombre	1
ALFARO-CUELLO, MAYTE	Mujer	3
BARCIA LEHMANN, RODRIGO	Hombre	2
MORENO BOBADILLA, ANGELA	Mujer	1
LOHRMANN, MARTIN E. SOMMER	Hombre	2
