Autor	Género	Total de Artículos
ORYAN, M	Hombre	109
MOSSO, L	Mujer	2
ANDRESEN, M	Hombre	1
MARQUET, PA	Hombre	18
ALCAYAGA, J	Hombre	30
AMIGO, H	Hombre	67
SIMONETTI, JA	Hombre	96
BURDILES, P	Hombre	12
GOTTELAND, M	Hombre	84
BASUALTO, C	Hombre	21
CASTILLO, S	Mujer	1
BULL, R	Hombre	14
ACEVEDO, M	Mujer	4
LARENAS, J	Hombre	9
CORTES, C	Hombre	21
BECERRA, J	Hombre	1
CATTAN, PE	Hombre	50
WOLFF, M	Hombre	41
ALVAREZLUEJE, A	Hombre	1
RICHTER, P	Hombre	77
FREDES, F	Hombre	25
URZUA, A	Hombre	1
ROZZI, R	Hombre	15
BEREGOVICH, J	-	1
MANZUR, J	Hombre	31
FIGUEROA, G	Hombre	28
ZULANTAY, I	Mujer	36
CARRASCO, F	Hombre	49
ACEVEDO, E	Hombre	34
POBLETE, V	Hombre	4
LAVADOS, P	Hombre	89
SLACHEVSKY, A	Mujer	128
JADRESIC, E	Hombre	6
ARAYA, R	Hombre	1
SALINAS, JR	Mujer	1
OLIVARES, M	Hombre	89
MERCADO, R	Hombre	17
LANAS, F	Hombre	3
MORATA, D	Hombre	120
FLORES, C	Hombre	6
VALENZUELA, MT	Mujer	27
BERRIOS, S	Mujer	1
BURROWS, R	Mujer	136
REBOLLEDO, S	Mujer	15
SANCHEZ, R	Hombre	36
WOHLLK, N	Hombre	27
CARRION, F	Hombre	1
LUPPI, M	Hombre	4
PALOMO, I	Hombre	1
LOLAS, J	Hombre	1
FLORENZANO, R	Hombre	8
GALANTI, N	-	63
HERNANDEZ, I	Hombre	9
PORTE, L	Mujer	4
BLUMEL, JE	-	4
CHANA, P	Hombre	1
BARRERA, A	Hombre	1
ALVARADO, L	Hombre	5
TREJO, C	-	1
PIZARRO, F	Hombre	98
JADRESIC, A	-	1
MARDONES, F	Hombre	7
VELARDE, V	Mujer	1
ROSSELOT, E	Hombre	3
RUZ, M	Hombre	48
GONZALEZ, J	Hombre	2
DIAZ, C	-	4
DABANCENS, A.	Hombre	5
DELRIO, FV	Hombre	10
APT, W	Hombre	43
LILLO, M	Hombre	1
MEDINA, E	Hombre	1
GOMBEROFF, M	Hombre	1
MÉNDEZ, ANDREA	Mujer	8
KULJIS, R	Hombre	5
MATAMALA, M	Hombre	26
ESCOBAR-AGUIRRE, SEBASTIAN	Hombre	3
ALEGRIA-MORAN, RAUL A.	Hombre	20
HERNANDEZ, ROBERTO	Hombre	2
PROSSER, GABRIEL	Hombre	3
PALMA, PATRICIA	Mujer	9
OLATE-MOYA, FELIPE	Hombre	10
QUINTRO, ABRAHAM	Hombre	3
OPAZO, GENESIS	Mujer	5
JAQUE, ALONSO	Hombre	1
VALDEBENITO, FABIOLA	Mujer	1
ROJAS, VANIA	Mujer	2
SERICHE, GABRIEL	Hombre	9
ARMANDO PESSOA-MAHANA, HERNAN	-	1
ESTEBAN GUERRA-DIAZ, NICOLAS	Hombre	1
GOMEZ SAN CARLOS, NATALIA	Mujer	1
NICOLETTI ROJAS, DANIELA	Mujer	1
YANEZ CIFUENTES, TERESA	Mujer	1
RUZ, FELIPE ACUNA	Hombre	1
CONTRERAS LEIVA, PAULINA	Mujer	1
LOPEZ-CEPEDA, JOSE F.	Hombre	1
MUNOZ-ROBLES, MARCOS	Hombre	1
CASTILLO-FELICES, ROSARIO DEL PILAR	Hombre	1
SOTO, K.	-	1
HERMOSILLA, VALERIA	Mujer	2
MENESES, PABLO	Hombre	2
EDUARDO FERNANDEZ, G.	Hombre	98
BARRIA, AGUSTIN	Hombre	17
CACERES, PABLO	Hombre	12
