Autor	Género	Total de Artículos
ROJAS-JARA, CLAUDIO	Hombre	32
MORIS, SILVANA	Mujer	28
CUBILLOS-CELIS, PRISCILLA	Mujer	1
POBLETE-OLIVERA, CAMILA	Mujer	1
ZAVALLA-NANCO, NATALIA	Mujer	1
MINO-BAES, BARBARA	Mujer	1
ALEJANDRA PINO, CARINA	Mujer	1
CURI, R.	-	1
MARTIN-FRIORINO, VICTOR	Hombre	1
VEGA, JOSE A.	Hombre	1
VEGA-ARCE, MARIBEL	Mujer	14
AGREDANO, R.	Hombre	5
GARRIDO, RUBEN	Hombre	6
BRAVO-VALENZUELA, PAULINA	Mujer	1
PADUA, DIEGO G.	Hombre	11
FRANCISCO LETELIER-TRONCOSO, LUIS	Hombre	1
CECILIA TAPIA-BARRIA, VERONICA	Mujer	1
COSSI-BOLANOS, MARCO	Hombre	1
BUSTOS, DANIEL	Hombre	20
SANTELICES-MOYA, ROMULO	Hombre	48
MEDINA-URBINA, ALEJANDRO	Hombre	1
VANHULST, JULIEN	Hombre	22
SILVA-FLORES, PATRICIA	Mujer	13
CASTILLO, KAREN	Mujer	4
PEREZ-ZAPATA, DANIEL	Hombre	3
CASTRO-CARRASCO, PABLO	Hombre	19
PINE MORAN, MARCELO	Hombre	1
RODRIGUEZ, CLAUDIO	Hombre	2
GUERRERO TRONCOSO, HERNAN ESTEBAN	-	1
EVELYN PINTO-DAZA, DOMINIQUE	-	1
DANIELA TMNCOSO-FERNANDEZ, KARLA	Mujer	1
TRONCOSO-FERNÁNDEZ, KARLA DANIELA	Mujer	1
ARAYA, JORGE E.	Hombre	1
RODRIGUEZ, CRISTINA	Mujer	9
QUIROZ, M.	Hombre	1
LUCERO-MONDACA, BORIS ANDRES	Hombre	38
FUENTES, FRANCISCO F.	Hombre	5
OLIVARI, CECILIA	Mujer	13
PINTO, V. A.	Hombre	2
GOMEZ-CAMPO, ROSSANA	Mujer	1
CABRERA-ARIZA, ANTONIO M.	Hombre	37
ESPINOZA-MEZA, SERGIO E.	Hombre	1
TAPIA, ALEJANDRA	Mujer	6
ANTONIO ZAMUNER, ROBERTO	Hombre	1
FRANCOS, M.	Hombre	5
ROJAS-CASTRO, HECTOR	Hombre	1
CEBALLOS VASQUEZ, PAULA	Mujer	14
GONZALEZ, GLORIA	Mujer	8
SUAZO, SEBASTIAN	Hombre	1
BRAVO-GAETE, MOISES FELIPE	Hombre	21
OLIVEIRA, R.	Hombre	1
VASQUEZ-GOMEZ, JAIME A.	Hombre	75
RAIANE, NUNES	-	1
VIDAL, OLIVERO	-	1
MORENO-SWITT, ANDREA, I	Mujer	1
CABALIN, ANDRES	Hombre	1
HIRABARA, SANDRO MASSAO	Hombre	1
MORALES MENDOZA, KARLA ROSALIA	Mujer	1
LOPEZ TORRES, LORENA P.	Mujer	1
RODRIGUEZ GALLARDO, MARCELO	Hombre	1
MEDINA GONZALEZ, PAUL	Hombre	14
ESCOBAR INOSTROZA, JAVIERA	Mujer	2
DEL PINO, MIGUEL	Hombre	9
IVANECKY, PETER	Hombre	3
CORONADOL, ROBERTO	Hombre	1
GARRIDO ROJAS, LUSMENIA	-	24
PETERMANN-ROCHA, FANNY	Mujer	1
BARAHONA, PATRICIA	Mujer	24
HERNANDEZ-ORTIZ, SILVANA	Mujer	2
ANDLER, RODRIGO	Hombre	30
ZAMUNER, ANTONIO ROBERTO	Hombre	29
HUERTA, MAURICIO	Hombre	1
AGUILERA-NONQUEPAN, PAULA ALEJANDRA	Mujer	2
ARAVENA, VALERIA	Mujer	1
MIRABAL, Y.	-	1
VILLARROEL, RODOLFO	Hombre	2
