Autor	Género	Total de Artículos
ATENCIO, LN	-	1
ARANCIBIA, JGD	Hombre	1
NIEMEYER, H	Hombre	2
GONZALEZ, J	Hombre	2
CORDOVA, OLIVIA	Mujer	2
PINO-OLIVARES, OSCAR	Hombre	2
VALDIVIA-LAHSEN, NELSON ALEJANDRO	Hombre	8
ARAYA-CASTILLO, LUIS	Hombre	1
SCHREIBER, LENNART	Hombre	1
ARIAS, RENE M.	Hombre	4
SERRANO-MALEBRAN, JORGE	Hombre	8
MENESES, ROSA, I	Mujer	18
CERPA, LUIS	Hombre	2
LEIVA, CLAUDIO	Hombre	16
MORALES-LOYOLA, GERMAN	Hombre	1
ALFARO-PEREZ, JORGE	Hombre	62
CANCINO-FLORES, LINDA	Mujer	1
PAINEN-ARAVENA, GISELLE	Mujer	7
MORALES, NAITI A.	-	11
DELPIANO, CRISTIAN A.	Hombre	1
VEGA-ARCE, MARIBEL	Mujer	1
VALDES, MARISELA	Mujer	8
SUAREZ, RUDY	Hombre	7
GODOY, MARCOS	Hombre	7
CONTRERAS, MARCELA	Mujer	2
CONTRERAS, PAULA	Mujer	6
PENA-GOMEZ, FRANCISCO	Hombre	1
PEREZ, N.	Mujer	8
GONZALEZ, CLAUDIO P.	Hombre	1
PEREIRA, LUIS	Hombre	3
CORTES, MARCELA	Mujer	1
OSSANDON, TOMAS	Hombre	1
POBLETE CHAVEZ, RODRIGO	Hombre	1
CORTES PIZARRO, ERNESTO CORTES	Hombre	2
LUNA GALIANO, YOLANDA	Mujer	1
MORAGA, JORGE	Hombre	3
ATENAS, BORIS	Hombre	10
VANHULST, JULIEN	Hombre	1
ARON, FELIPE	Hombre	1
MIGUEL, VANESSA	Mujer	1
MARIN, CESAR	Hombre	1
CASTRO-SEVERYN, JUAN	Hombre	15
PARDO-ESTE, CORAL	Mujer	5
MUNOZ NAVARRO, SERGIO R.	Hombre	2
CASTRO-CARRASCO, PABLO	Hombre	1
GASCHINO, FELICE	Hombre	1
SANTIBANEZ, NICOLAS	Hombre	1
HAEGER, PAOLA A.	Mujer	19
ABURTO, JAIME	Hombre	1
ORTEGA-TORRES, ELVA ELIANA	Mujer	10
GORNY, MATTHIAS	Hombre	1
GUSMAO, JOAO B.	-	14
RODRIGUEZ, JONNATHAN	-	5
CALDERON-JOFRE, RODRIGO	Hombre	7
LEON, GENLY	-	81
ROJAS PANTOJA, ROBERTO	Hombre	4
ARANCIBIA, DUXAN	Hombre	2
OLIVARI, CECILIA	Mujer	2
BEHRENS, CLAUDIA C.	Mujer	5
LARA, CARLOS	Hombre	5
GUTIERREZ, F.	-	1
NUNEZ, DAMIAN	Hombre	1
BRICENO, WILLIAMS	-	1
PEREZ, KEVIN	Hombre	6
VELAZQUEZ, LUISBERIS	-	45
PINTO-GUTIERREZ, CRISTIAN	Hombre	2
ASTUDILLO, O.	Hombre	4
DEWITTE, B.	Hombre	52
RUTLLANT, J. A.	Hombre	1
GOUBANOVA, K.	Mujer	1
CARRASCO, DIEGO	Hombre	1
GUAJARDO, PAULA	Mujer	1
CARRASCO, SERGIO A.	Hombre	19
SANDOVAL, CAROLINA	Mujer	1
ABARCA-MUNOZ, ALEJANDRO	Hombre	23
GAILEGUILLOS, PEDRO	Hombre	1
VALLONE, ANDRES	Hombre	11
VELOSO, EUGENIO E.	Hombre	9
GODOY, BENIGNO E.	Hombre	2
PARRA, ANGEL	Hombre	3
CRUZ, R.	Mujer	1
TORO, NORMAN	Hombre	61
CANOVAS, MANUEL	Hombre	43
KEITH NORAMBUENA, BRIAN FELIPE	Hombre	1
MONTOFRE BACIGALUPO, ITALO LUIS	Hombre	1
GALVEZ ESTAY, MARIA ESPERANZA	Mujer	1
RODRIGUEZ, MARCELO	Hombre	3
CHOUDHURY, DEEPANKAR	-	1
BARGSTED ARAVENA, MARIANA	Mujer	3
GUERRERO, ALICIA, I	Mujer	1
VELASQUEZ, L.	Hombre	1
BENAVENTE, O.	Hombre	12
MELO, E.	Mujer	11
RODRIGUEZ, MARCELA P.	Mujer	1
GALENO IBACETA, CLAUDIO	Hombre	8
GARRIDO ROJAS, LUSMENIA	-	10
BELTRAN, MARCELO	Hombre	30
LEIVA, NICOLAS	Hombre	1
RAMIREZ, R.	Hombre	1
GOMEZ-MOLINA, SERGIO	Hombre	1
ACEVEDO-CORREA, YESENIA	Mujer	1
VALENCIA-ARIAS, ALEJANDRO	Hombre	1
GRANDA, ADRIANA	Mujer	1
GONZALEZ-STEGMAIER, ROXANA	Mujer	14
RAMIREZ-ALEGRIA, SEBASTIAN RAMIREZ	Hombre	3
MONTT, INDIRA	Mujer	4
PIMENTEL G., GONZALO	Hombre	10
PEREIRA, JORDI	Hombre	5
HASHEMINASAB, HAMIDREZA	-	1
NUNEZ, VALENTINA	Mujer	1
PEREZ PELAEZ, NORMA RAQUEL	Mujer	1
CLEVELAND SLIMMING, MARGARETH ROSE	Mujer	1
CORTES PIZARRO, NIRIS	-	1
PABLO BOZO, JUAN	Hombre	1
SEPULVEDA, FELIPE	Hombre	1
AMADOR, CASTILLA	-	1
RUZ-ZAGAL, RODRIGO DANIEL	Hombre	4
PEDREROS, ALBERTO	Hombre	1
PALOMINO, JUAN	Hombre	1
ANDERSON, D. R.	Hombre	2
MIRANDA ELDAN, NELLIE	Mujer	1
CASTRO ORMENO, ROSANNA	Mujer	1
HERNANDEZ-SARAVIA, LUCAS PATRICIO	Hombre	2
PINTO, KATHERINE	Mujer	3
LOPEZ, JAVIER	Hombre	1
BARRA, MARCELO	Hombre	1
GONZALEZ-MAUREL, OSVALDO	Hombre	8
RODRIGUEZ, INES	Mujer	4
VARGAS, MARINA	Mujer	1
VARELA, ANDREA I.	Mujer	12
RIQUELME-PEREZ, NICOLAS	Hombre	2
MUSRRI, CATALINA A.	Mujer	2
STOTT, WOLFGANG B.	Hombre	1
PONCE-CORREA, FELIPE	Hombre	1
WINKLER-MANNS, FEDERICO EMILIO	Hombre	25
VILLAR, JAVIERA	Mujer	1
ROJAS, ARMANDO	Hombre	1
VENEGAS, OSVALDO	Hombre	1
GONZALEZ-DIAZ, D.	Hombre	5
TAPIA BARRAZA, ADRIANA	Mujer	3
ORELLANA TAPIA, ELENA	Mujer	1
HUERTA BRIONES, CARLOS	Hombre	1
ESPINOZA, DARIO	Hombre	12
PORTILLO, CARLOS	Hombre	1
YAGER, KARINA	Mujer	1
ISELA MENESES, ROSA	Mujer	1
SANCHEZ PINTO, MYRIAM	Mujer	1
HEREDIA ROJAS, BORIS	Hombre	10
RAMIREZ, YENDERY	-	2
HERMOSO, MARLA, I	-	1
VIERA CASTILLO, DANIEL OMAR	Hombre	1
TAUS, R.	-	1
KEITH NORAMBUENA, BRIAN	Hombre	28
ITURRA, VICTOR	Hombre	12
VALENZUELA-REYES, DANIELA PAZ	Mujer	6
