Autor	Género	Total de Artículos
VALDEBENITO, FABIOLA	Mujer	4
FRUGONE, M.	Hombre	4
CARRAZANA-ESCALONA, RAMON	Hombre	4
ARMANDO SAA-MUNOZ, NICOLAS	Hombre	1
OYARZUN, FERNANDA	Mujer	1
BASCUR, MIGUEL	Hombre	12
TORRES, FELIPE I.	Hombre	3
SILVA-LABRA, FRANCISCO ANDRES	Hombre	2
POBLETE-VALDERRAMA, FELIPE	Hombre	31
LASSERRE-LASO, NICOLE	Mujer	1
RUBILAR, FRANCISCO	Hombre	1
HERNANDEZ, CRISTIAN E.	Hombre	2
MEDINA GONZALEZ, GUILLERMO	Hombre	2
LOPEZ-ITURRIAGA, FELIX	Hombre	11
FONSECA-GRANDON, GONZALO	Hombre	1
GONZALEZ SEPULVEDA, ELIZABETH	Mujer	2
MORENO MENDOZA, RIGOBERTO	Hombre	2
DE MORAES, CARLOS GUSTAVO	Hombre	1
JEREZ-SALINAS, ALEJANDRA A.	Mujer	1
MARTINEZ-ARANEDA, CLAUDIA	Mujer	14
PARRA, VICTOR	Hombre	2
MUNOZ-VALDEBENITO, FRANCISCO	Hombre	1
OYARZO-VERA, CLAUDIO	Hombre	21
MOCZKO, EWA	-	8
ARTEBANI, MICHELA	Mujer	1
MARIA, LEAO	-	1
MUNOZ-PEREZ, JOSE LUIS P.	Hombre	2
SALDANO, DARLING	-	1
RODRIGUEZ, CRISTINA	Mujer	12
LEON-CASTRO, ERNESTO	Hombre	59
ACHIARDI, OSCAR	Hombre	1
NAVARRETE, CAMILA	Mujer	1
LARA, CARLOS	Hombre	13
MARZABAL, AINOA	-	1
RIVERA, SEBASTIAN	Hombre	4
LIZANA, RICARDO	Hombre	27
GARCES, H.	Hombre	38
HINOJOSA-RIVEROS, HANS	Hombre	1
MARTINEZ, MARIA A.	Mujer	1
MATUS-CASTILLO, CARLOS	Hombre	50
VASQUEZ-GOMEZ, JAIME A.	Hombre	1
HENRIQUEZ, PEDRO	Hombre	1
SISO PAVON, ZENAHIR	-	1
SEGUEL, VICTORIA	Mujer	1
VIDAL, PIA M.	Mujer	10
RAMIREZ, MANUEL	Hombre	1
GUTIERREZ GONZALEZ, MANUEL	Hombre	1
ROSAS-GODOY, JORGE	Hombre	1
GARRIDO MENDEZ, ALEX	Hombre	2
MORALES PAREDES, HERNAN	Hombre	4
ORTIZ NAVARRETE, MABEL	Mujer	6
ANGELICA FUICA, MARIA	Mujer	1
SAEZ SAEZ, LORENA	Mujer	1
SOLAR, ABRAHAM	Hombre	4
OSORES, VICTOR	Hombre	1
PETERMANN-ROCHA, FANNY	Mujer	1
SOTO SIERRA, VALESKA	Mujer	1
CORREA PEREZ, ROXANNA	Mujer	5
VASCONCELOS, JOANA	Mujer	17
MUNOZ, MIRNA	Mujer	10
PARRA-VALENCIA, ESTEBAN	Hombre	10
VERA-JIMENEZ, HAYDEE	Mujer	1
ORMAZABAL-VALLADARES, VALESKA ALEJANDRA	Mujer	1
LLANOS-CONTRERAS, ORLANDO	Hombre	27
URRUTIA, CAROLINA	Mujer	4
SEPULVEDA, FELIPE	Hombre	14
MEDINA, P.	Hombre	1
DIAZ, CRISTOPHER	Hombre	9
ANDRADE-VILLAGRAN, PAOLA V.	Mujer	7
MARTIN, SERGUEI ALEJANDRO	Hombre	1
PRIETO, YASMANY	-	2
REYES, FELIPE	Hombre	1
HINOJOSA, LUIS FELIPE	Hombre	4
GONZALEZ-TEUBER, MARCIA	Mujer	11
CASTRO CACERES, RICARDO ANDRES	Hombre	2
JARAMILLO AZEMA, CRISTIAN ALONSO	Hombre	1
MACHINO, SEIJI	Hombre	1
GORSKI, K.	Hombre	45
SALGADO, PABLO	Hombre	5
YANIZ-ALVAREZ-DE-EULATE, CONCEPCION	Mujer	1
SAIZ, GUSTAVO	Hombre	12
LOPEZ, DANIELA N.	Mujer	1
ROSTEM, KARWAN	-	1
DITTUS, RUBEN	Hombre	3
FAUNDEZ, VICTOR	Hombre	8
ZAMORA, TEXIA	-	1
ALVAREZ, RICARDO	Hombre	1
JARA, MAURICIO	Hombre	5
AHUMADA-RUDOLPH, RAMON	Hombre	2
