Autor	Género	Total de Artículos
LUDERS, C	Hombre	14
DE CAMARGO LIMA, RODOLFO	Hombre	1
UGARTE, LISETTE FUENTES	Mujer	1
MONDACA, CAROLINA	Mujer	1
ORTIZ, CAMILA	Mujer	2
OUIROZ, JORGE	Hombre	1
VASQUEZ, KRISLY	-	1
CARRASCO, SEBASTIAN	Hombre	2
FONSECA, BOTTINO	-	1
MUJICA JOHNSON, FELIPE NICOLAS	Hombre	19
RAMIREZ-CARRASCO, FRANCISCO	Hombre	3
SANHUEZA-VEGA, LUIS ALEJANDRO	Hombre	13
DE-LOS-RIOS-ESCALANTE, PATRICIO	Hombre	252
SILVA-FLORES, PATRICIA	Mujer	1
QUILAQUEO RAPIMAN, DANIEL	Hombre	1
NAVARRO, GRISEL	-	7
JARA, C.	Mujer	1
CONCHA FRITZ, AIDA	Mujer	1
NICOLAS SCHIAPPACASSE, L.	-	3
TURRA CHICO, HECTOR	Hombre	1
QUIROGA, SAMUEL	Hombre	2
FIGUEROA-MUNOZ, GUILLERMO	Hombre	17
VEGA-AGUAYO, ROLANDO	Hombre	29
CARLOS PENA, JUAN	Hombre	1
BARRETO, WILMER J.	Hombre	4
ARRUDA, RODRIGUES	-	1
ROZAS VASQUEZ, DANIEL ALEJANDRO	Hombre	1
LINDSKOUG, HENRIK B.	Hombre	5
TURRA, HECTOR	Hombre	7
CARRASCO, VALERIA	Mujer	1
GONZALEZ, CIRO	Hombre	1
YANEZ, SOLEDAD	Mujer	1
WRIGHTON-ARANEDA, KERRY	Mujer	1
ROJAS, CLAUDIO	Hombre	3
ERICK CARRERA, JUAN	Hombre	1
MERINO, OSVALDO	Hombre	4
HERNANDEZ, JAVIER	Hombre	7
ANGUITA CORDOVA, KARINA DANIELA	Mujer	1
GONZALEZ DIAZ, GILDA DEL CARMEN	Mujer	1
VILLAGRA PARRA, EDUARDO NICOKIS	Hombre	1
NAVARRETE HIDALGO, CLAUDIA BEATRIZ	Mujer	1
SANHUEZA INZUNZA, TAMARA ANDREA	Mujer	1
BERHO CASTILLO, MARCELO	Hombre	1
BURON RODRIGUEZ, LUCERO PAZ	-	1
