Autor	Género	Total de Artículos
RUBIO GONZALEZ, JUAN	Hombre	1
RUBIO GONZALEZ, JUAN JOSE	Hombre	1
PAPE LARRE, HERNAN	-	2
URIBE, RAFAEL	Hombre	1
CUADRA-MARTINEZ, DAVID	Hombre	25
PEREZ-ZAPATA, DANIEL	Hombre	1
VELIZ-VERGARA, DOUGLAS	Hombre	1
GUZMAN-AVALOS, JAVIERA	Mujer	1
RAMOS-THOMPSON, GABRIEL	Hombre	1
SANTANDER, MARIO	Hombre	13
VERA-CALZARETTA, ALDO	Hombre	10
CORNIDE-REYES, HECTOR	Hombre	19
GONZALEZ, FELIPE	Hombre	1
IZQUIERDO, T.	Mujer	36
ORTIGOZA-URDANETA, MARIO	Hombre	6
BOLZONELLA, M.	Mujer	1
GALLARDO, DIEGO, I	Hombre	66
HONORES, ALEXIS	Hombre	1
CHULAK, PRISCILA	Mujer	1
ARAYA, GISELLE	Mujer	2
GOMEZ, PAULA	Mujer	1
VALENZUELA-BARRIOS, CARLOS	Hombre	1
PORCILE, PATRICIO	Hombre	1
PARRA-SALDIAS, MARIBEL	Mujer	3
OLIVARES, FLAVIO	Hombre	1
CARVAJAL-COELLO, KARINA	Mujer	1
PORCILE, VINCENZO	Hombre	8
AGUAYO, FERNANDA	Mujer	7
POBLETE-CANTELLANO, MARIANO	Hombre	6
CAIRO-CAIRO, PEDRO	Hombre	6
JOSE LERIA-DULCIC, FRANCISCO	Hombre	1
ALEJANDRO SALGADO-ROA, JORGE	Hombre	4
GARAY PEREZ, TOMAS EDUARDO	Hombre	1
BONNAIL, E.	Mujer	33
DOEPKING, CARLOS	Hombre	9
NAZER, AMIN	Hombre	15
RIVERA, OSCAR	Hombre	3
ARAYA, BARBARA	Mujer	1
GONZALEZ-BURBOA, ALEXIS	Hombre	1
BARBIERI, M.	Hombre	30
HIDALGO AVILA, RODRIGO S.	Hombre	1
CAMPILLAY BRIONES, SERVANDO	Hombre	2
MANRIQUEZ RODRIGUEZ, JOSE	Hombre	1
BEATON, R. L.	Mujer	1
GONZALEZ-CORTES, GREGORIO	Hombre	1
FUENTES-MOLINA, PAULINA	Mujer	7
CAMPILLAY, SERVANDO	Hombre	1
BELTRAN CALFURRAPA, RAMON	Hombre	12
ARROYO PEREZ, ERIKA	Mujer	1
ASTUDILLO PIZARRO, FRANCISCO	Hombre	1
ALFARO, ANDRES	Hombre	5
ALVAREZ, PABLO	Hombre	2
SALGADO ROA, JORGE ALEJANDRO	Hombre	5
LERIA DULCIC, FRANCISCO JOSE	Hombre	7
MACCANN-ALFARO, NANCY	Mujer	3
CASTILLO ROJAS, WILSON	Hombre	21
ALFARO AVALOS, ANDRES	Hombre	1
LA NGLOIS, M.	Mujer	1
MESA, DINO	Hombre	22
MOREL-ESCOBAR, MAURICIO JAVIER	Hombre	20
CASTRO, JOHN W.	Hombre	37
JAQUE, NELDA	Mujer	1
PUERTAS-MOLERO, PILAR	Mujer	2
JONES, D.	Hombre	4
DI PAOLA, A.	-	1
CORTES CABRERA, MARIO A.	Hombre	1
ONA MACIAS, ANA LUCIA	Mujer	1
HAINES, CHRISTOPHER P.	Hombre	15
GUERRERO, SIMON	Hombre	1
FERNANDEZ-CAO, JOSE CANDIDO	Hombre	11
ZUNIGA, BORIS	Hombre	1
ZAZZALI, B.	-	2
TURRINI, DIEGO	Hombre	13
IRIARTE, YURI	Hombre	3
ELAL-OLIVER, DAVID	Hombre	1
OLIVARES-PACHECO, JUAN F.	Hombre	12
AXEL CONTRERAS, AMADIEL	-	1
TOLEDO, I.	-	1
