Autor	Género	Total de Artículos
DELGADO, I	Mujer	7
CORTES, C	Hombre	4
REPETTO, P	Mujer	2
LAVADOS, P	Hombre	190
SLACHEVSKY, A	Mujer	62
CARRION, F	Hombre	14
FLORENZANO, R	Hombre	24
PORTE, L	Mujer	35
CHANA, P	Hombre	2
GOMEZ, R	Hombre	1
IDIAQUEZ, J	Hombre	2
ASPILLAGA, M	Mujer	1
DUMMER SCHEEL, SYLVIA	Mujer	1
RUBILAR, JUAN C.	Hombre	1
DIAZ, DIEGO A.	Hombre	2
MARIA JIMENEZ, ANA	Mujer	1
RADA, ISABEL	Mujer	9
SILVA-LABRA, FRANCISCO ANDRES	Hombre	9
TRUFFELLO PALAU, ALICIA	Mujer	1
CORTINEZ, LUIS	Hombre	1
AYLWIN FERNANDEZ, MARTIN	Hombre	1
SOUSA, LINHARES	-	1
ALCALDE-RICO, MANUEL	Hombre	3
BUSTAMANTE, ALBERTO	Hombre	3
ESPINOZA, JAIME	Hombre	2
SAAVEDRA, JAMIL	Hombre	1
ASTORGA-PINTO, SOFIA	Mujer	2
CHICHARRO, ADA, V	-	1
ARMISEN, R.	Hombre	17
AROSTICA, IVAN	Hombre	1
ENTEICHE, NICOLAS	Hombre	2
VILLALON, FRANCISCA	Mujer	1
MAYOL, MIMY	Mujer	2
NAVIA, VICTOR	Hombre	14
RIVEROS, RENE	Hombre	3
PEREZ, LIZBET	-	2
CORTES, MARCELA	Mujer	1
SWITT, MARGARITA	Mujer	1
FERRADA, XIMENA	Mujer	11
UNDURRAGA-FOURCADE, EDUARDO ANDRES	Hombre	1
HELIO, CUNHA	-	1
CARRASCO, LORETO	Mujer	1
RIBEIRO E, GRAZIELLE	-	1
LEMAITRE, DOMINIQUE	-	3
HIDALGO, CARLOS	Hombre	3
FIGUEROA, FRANCISCO	Hombre	39
SALAZAR, CHRISTIAN	Hombre	4
BRIONES, XIMENA	Mujer	3
ANDRADE, GONZALO	Hombre	1
AMOROS-ESPINOZA, JOSE ERNESTO	Hombre	56
