Autor	Género	Total de Artículos
RECABARREN, M	Mujer	19
DEBRUIJN, J	Hombre	20
ALDERETE, J	Hombre	52
VONBAER, D	Hombre	43
BECERRA, J	Hombre	125
OLIVARES, M	Hombre	1
VALENZUELA, S	Mujer	45
FLORES, C	Hombre	2
SANCHEZ, R	Hombre	1
GAJARDO, J	Hombre	1
OSTRIA, M	Hombre	1
OLIVA, M	Hombre	21
GONZALEZ, J	Hombre	22
BUSTOS, P	Mujer	18
VALENZUELA, P	Hombre	1
PAREDES-OSSES, ESTEBAN	Hombre	2
OLATE-MOYA, FELIPE	Hombre	3
OPAZO, GENESIS	Mujer	2
CRUZ-MARABOLI, PABLO	Hombre	2
CABRERA-PARDO, JAIME ROBERTO	Hombre	6
CASTILLO-FELICES, ROSARIO DEL PILAR	Hombre	50
MEDINA, FRANCISCO	Hombre	1
PALACIO, DANIEL	Hombre	33
SAAVEDRA, RENATO A.	Hombre	1
POZA, CRISTIAN A.	Hombre	1
ELGUETA, ANAYSA	-	4
ALVARADO, M., I	-	1
VALDIVIA-LAHSEN, NELSON ALEJANDRO	Hombre	8
EDUARDO MENSCHEL, A.	-	1
GARFIAS, CAROLINA P.	Mujer	1
ORTIZ, CAMILA	Mujer	3
FUENTES-SOLIS, RODRIGO	Hombre	2
GUEVARA, MIGUEL	Hombre	18
GUTIERREZ-CASTRO, FRANCISCO A.	Hombre	1
MAURIN, MICHELLE	Mujer	2
LABROUSSE, CLAIRE	Mujer	2
AYLWIN, CARLOS E.	Hombre	1
MADARIAGA, JAIME	Hombre	2
RIVAS, CORALIA I.	Mujer	27
CARRASCO, SEBASTIAN	Hombre	1
SALGADO-REBOLLEDO, PATRICIO	Hombre	6
INNOCENTI, F.	Hombre	2
MENA-VASQUEZ, JUAN	Hombre	1
UTRERAS-ALARCON, A.	-	1
ECHAURREN, A.	Hombre	1
PARADA-CONTZEN, MARCELA V.	Mujer	1
JESSEN, GERDHARD L.	-	7
SHARIFI-RAD, JAVAD	Hombre	1
SILVA-HIGUERA, MACARENA	Mujer	1
GUZMAN-SANDOVAL, JONATHAN A.	Hombre	10
AGUAYO, CLAUDIO	Hombre	56
IBANEZ, CHRISTIAN M.	Hombre	2
RODRIGUEZ, DANIELA C.	Mujer	1
LEGUA, JESSICA	Mujer	1
SILVA-LABRA, FRANCISCO ANDRES	Hombre	1
ALARCON, MARCELO	Hombre	2
NAHUELHUAL, LAURA	Mujer	1
LUENGO, CAROL	Mujer	3
VILLOUTA, GABRIELA	Mujer	1
AGUILERA, FELIPE	Hombre	18
RUIZ-TAGLE, NATHALY	Mujer	17
ALARCON, GRACIELA S.	Mujer	1
VENTURA ROJAS, JOSE MANUEL	Hombre	1
POBLETE-VALDERRAMA, FELIPE	Hombre	1
LIPSKI, MIRKO	Hombre	1
HERNANDEZ, CRISTIAN E.	Hombre	76
MELLO ROMAN, JULIO CESAR	Hombre	1
TORO-TAMAYO, CARLOS	Hombre	10
URETA, FERNANDO	Hombre	2
GUEVARA-ALVEZ, PAMELA BEATRIZ	Mujer	81
PRADENA-MIQUEL, MAURICIO	Hombre	1
BORKOWSKY-OPAZO, ANDRES	Hombre	1
MEDINA GONZALEZ, GUILLERMO	Hombre	1
ZAMBRANO, HARVEY A.	Hombre	10
ESPINOZA, CLAUDIA	Mujer	1
BARRIOS-GUZMAN, CARMEN	Mujer	1
GONZALEZ, CAROLINA E.	Mujer	3
MONNAHAN, COLE C.	Hombre	3
FIGUEROA, R.	Hombre	6
PERALTA-PRATO, JAVIERA	Mujer	1
VEGA, C.	Hombre	5
PENA GONZALEZ, JUAN PABLO	Hombre	3
NUNEZ-ACUNA, P.	Mujer	1
GONZALEZ, JOHN	Hombre	1
ROJAS, A.	Hombre	85
ARANCIBIA, R.	-	2
DURAN, RICARDO	Hombre	4
BEIRAO DA VEIGA, L.	Hombre	1
CONEJERA, DANIEL	Hombre	3
MEDINA, DIEGO	Hombre	1
CABRERA FIGUEROA, SALVADOR ENRIQUE	Hombre	2
VEGA, PATRICK	Hombre	3
DELGADO, NACARID	-	5
