Autor	Género	Total de Artículos
CATTAN, PE	Hombre	1
MÉNDEZ, ANDREA	Mujer	7
PAREDES-OSSES, ESTEBAN	Hombre	3
CARCAMO, BENJAMIN	Hombre	8
CACERES, PABLO	Hombre	1
LARRONDO, C.	Hombre	3
HUERTA OJEDA, ALVARO	Hombre	2
HIDALGO-FRANCO, CHRISTIAN ANDRES	Hombre	2
FIERRO HERRERA, CAROLINA	Mujer	1
TROYA GONZALEZ, FRANCISCA	Mujer	1
GUZMAN, MIGUEL	Hombre	6
REYES-LOPEZ, FELIPE	Hombre	17
FARHANG, MARYAM	Mujer	7
FERNANDEZ-HUERTA, LINCOYAN	-	3
ROSELLO PENALOZA, MIGUEL	Hombre	1
GONZALEZ, FELIPE	Hombre	1
SILVA, ANDRES	Hombre	1
GUTIERREZ-ESPINOZA, HECTOR	Hombre	25
ARAYA-QUINTANILLA, FELIPE	Hombre	37
OLIVARES-ARANCIBIA, JORGE	Hombre	31
CORDOVA-LEON, KAREN	Mujer	6
ROJAS-VARGAS, MARCELA	Mujer	1
RIVERA-LOPEZ, BARBARA	Mujer	1
OSORIO-SALGADO, FELIPE ALBERTO	Hombre	1
DE NEGRI, LUIS	Hombre	2
OLGUIN, LUIS	Hombre	1
FUENTEALBA JARA, CARMEN GLORIA	Mujer	1
CONTRERAS-RAMOS, CAROLINA	Mujer	1
JANA, VICTOR	Hombre	6
PAVEZ, LEONARDO	Hombre	22
ARTAZA-BARRIOS, OSVALDO	Hombre	1
ELGUETA, SEBASTIAN	Hombre	14
MIRANDA PEREZ, FABIOLA	Mujer	1
PUEBLA, MARIELA	Mujer	1
SANTAMARIA GARCIA, ANTONIO	Hombre	1
ZUNIGA-LOYOLA, CESAR	Hombre	10
CASTILLO OYARCE, CRISTOBAL	-	1
VALENZUELA JEREZ, RODRIGO	Hombre	1
ARANCIBIA-IBARRA, CLAUDIO	Hombre	10
WEINBORN, ROMY M.	Mujer	1
ABARZUA, JAVIERA, V	Mujer	1
VILOFF C, WILLIAMS	-	1
BAHAMONDES, JAVIERA, V	-	1
OLIVERA P, YERITZA	-	1
POBLETE-ARO, CARLOS	Hombre	10
MUNOZ-SAN MARTIN, C.	Mujer	6
DIAZ, D.	Hombre	1
GONZALEZ, GABRIEL	Hombre	1
COFRE, CHRISTIAN	Hombre	1
RETAMALES, JULIO	Hombre	3
ROJAS, JUAN	Hombre	2
DI PILLO, FRANCISCA	Mujer	9
NIETO, VANESA	Mujer	1
VIDAL, MABEL	Mujer	1
CARRASCO, RAUL	Hombre	14
MERINO, JOSE S.	Hombre	1
DEL POZO, TALIA	Mujer	2
VILLASANTE, ALEJANDRO	Hombre	6
BACIGALUPO-BACIGALUPO, ANTONELLA EUGENIA	Mujer	1
NANJARI, RODRIGO	Hombre	1
IBACACHE, PAULINA	Mujer	1
SALDIVAR, PATRICIO	Hombre	1
VERGARA-MORALES, JORGE	Hombre	5
FERRADA, CRISTIAN	Hombre	1
FERRADA-FUENTES, SANDRA	Mujer	1
ARIAS RUIZ, FRANCISCO	Hombre	2
LINARES-FLORES, CRISTIAN	Hombre	1
PAVEZ-BAEZA, FRANCISCO	Hombre	1
OLGUIN-HUERTA, CRISTIAN	Hombre	5
SOZA-RIED, CRISTIAN	Hombre	1
CONTRERAS-DUARTE, CAROLINA DE LOS ANGELES	Mujer	1
BRAVO, G.	Hombre	10
IRARRAZAVAL, LEONOR	Mujer	1
VALLADARES-VEGA, MACARENA ANDREA	Mujer	2
SEPULVEDA-LOYOLA, WALTER SEPULVEDA	Hombre	18
SAAVEDRA VALENZUELA, IGNACIO	Hombre	1
ASTORGA, FRANCISCA	Mujer	2
HORMAZABAL, PEDRO	Hombre	1
PINO, BERNARDO	Hombre	1
RAMIREZ-TAGLE, RODRIGO	Hombre	5
MIRANDA, MIGUEL	Hombre	2
ARMIJO, ALMA	Mujer	1
ITURRA-MENA, ANN MARY	Mujer	1
CASTILLO, BERNARDA	Mujer	1
GARCIA, ANGELINA	Mujer	1
CANON-JONES, HERNAN	Hombre	11
OLIVA-GUTIERREZ, CAROLINA ANDREA	Mujer	3
GONZALEZ, DANIELA P.	Mujer	1
SANCHEZ R, ALFONSO	Hombre	1
SANCHEZ RIQUELMEL, ALFONSO	Hombre	1
MANTELLERO, CAROLA A.	Mujer	2
VALENZUELA-VITERI, SEBASTIAN SIMON	Hombre	1
ARAYA QUINTANILLA, FELIPE	Hombre	1
GUTIERREZ ESPINOZA, HECTOR	Hombre	1
ARACENA, A.	Hombre	7
DIAZ-FUENTES, JORGE ESTEBAN	Hombre	1
GALDAMES-MALIQUEO, SERGIO	Hombre	1
FERNANDEZ-PARRA, LEONARDO DAVID	Hombre	2
ESTRADA-CUADROS, MILKO	Hombre	4
POBLETE, YANINA	Mujer	14
ROZAS VILLANUEVA, TANIA	Mujer	1
CELIS PENA, M.	-	1
FUENZALIDA, F.	Mujer	3
CASTILLO, CARLOS	Hombre	4
ARIAS S, HELGA	Mujer	1
HERNANDEZ, MIGUEL	Hombre	1
INOSTROZA, URSULA	Mujer	1
JOSE URZUA, MARIA	Mujer	1
ITURRIAGA, MARIA P.	Mujer	2
AYALA, RICARDO A.	Hombre	6
TRAVISANY, DANTE	Hombre	2
DETTLEFF, PHILLIP	Hombre	4
CHAHUAN CHAHUAN, JORGE	Hombre	1
ALTIMIRAS, FRANCISCO	Hombre	13
TEILLIER, FERNANDO	Hombre	1
BRAVO-MUNOZ, SORAYA ANDREA	Mujer	1
LEIGHTON-PUGA, FEDERICO	Hombre	1
BLANCO, OSVALDO	Hombre	1
TORRES-BUSTOS, VALESKA	Mujer	1
SANCHEZ, U.	-	1
OPAZO-DELGADO, MARIA CECILIA	Mujer	9
AGUIRRE AHUMADA, CARLOS	Hombre	3
MAUREIRA, CARLOS	Hombre	4
OLIVEIRA-CRUZ, LUCIANA	Mujer	1
BURGOS-GALLEGOS, HECTOR	Hombre	3
CARTES-ZURTIA, GIORDANA PAZ	Mujer	1
NEIRA MARTEL, HECTOR	Hombre	1
BOSCH-PASSALACQUA, MAXIMO	-	2
GUZMAN, M.	Hombre	2
VILCHES-ALVAREZ, MERCEDES ORIANA	Mujer	2
CANALES-AREVALO, DANIEL ALBERTO	Hombre	1
SANCHEZ RIQUELME, ALFONSO	Hombre	2
RIQUELME-NEIRA, ROBERTO	Hombre	4
CORNEJO, MARIA JOSE	Mujer	1
AREVALO, MARIA EUGENIA	Mujer	1
FUENTEALBA-JARA, CARMEN GLORIA	Mujer	2
TORRES, DANIEL E.	Hombre	1
MARDONES, RODRIGO	Hombre	1
ALTIMIR-COLAO, CAROLINA	Mujer	3
AREVALO-PIMIENTO, MARIA EUGENIA	Mujer	2
