Autor	Género	Total de Artículos
DEL CARMEN ALEJO-PLATA, MARIA	Mujer	2
OCARANZA, CLAUDIA	Mujer	1
WEINBERGER, KCHATRIANI	-	1
SANCHEZ GONZALEZ, ELIZABETH	Mujer	1
MEZA-DABANCENS, FRANCISCO JAVIER	Hombre	1
SANCHEZ-GONZALEZ, ELIZABETH	Mujer	1
TESTART, ALBA	Mujer	1
CARTAGENA-KLEIN, RONNY	Hombre	1
VELEZ-HERNANDEZ, L.	-	1
ARCOS-GARCIA, J. L.	-	1
DE LOS ANGELES CAMPANA, MARIA	Mujer	1
FREDES, VERONICA	Mujer	1
GUTIERREZ, LISETTE	Mujer	1
PLAZA, HUGO	Hombre	1
ROJAS VIDAL, NELLY	Mujer	1
DYER-HOPWOOD, BRIAN SPENCER	Hombre	2
GALLARDO, L. R.	-	2
NIETO, C. F.	-	2
LIZARRAGA, LORENA	Mujer	2
CANCINO-ARAYA, CECILIA	Mujer	1
RIOSECO PERRY, VIRGINIA	Mujer	1
BARRERA, EDITH	Mujer	1
MALIGEC, CHRISTOPHER F. S.	Hombre	1
JACOB, BARBARA	Mujer	1
MURILLO SANDOVAL, SANDRA L	Mujer	1
VALDÉS, CRISTIAN	Hombre	1
VARGAS M, PABLO	Hombre	3
LETELIER A, VÍCTOR	Hombre	1
ARAYA R, RODRIGO	Hombre	2
CÓRDOVA O, SEBASTIÁN	Hombre	1
CARRASCO BAHAMONDE, DANIEL ALONSO	Hombre	1
REGALADO-MÉNDEZ, ALEJANDRO	Hombre	1
DELGADO-VIDAL, FÁTIMA K	Mujer	1
MARTÍNEZ-LÓPEZ, ROBERTO E	Hombre	1
PERALTA-REYES, EVER	-	2
CAMPAÑA, MARÍA DE LOS ÁNGELES	Mujer	1
GUERRA VIO, CRISTÓBAL	Hombre	2
VIVANCO, ANDREA FUENZALIDA	Mujer	1
HERNÁNDEZ MORALES, CARLA	Mujer	1
GUERRA, CRISTÓBAL	Hombre	1
RODRÍGUEZ, KARLA	Mujer	1
MORALES, GRACE	Mujer	1
BETTA, RAFAELLA	-	1
GARCÍA-GUILLÉN, RUBÉN	Hombre	1
HERRERA-GALINDO, JORGE	Hombre	1
FARÍAS, KATERIN	-	1
LAMPAS, SABRINA	Mujer	1
GONZÁLEZ, BETZABÉ	-	1
ANISLADO-TOLENTINO, VICENTE	Hombre	1
CERVANTES-HERNÁNDEZ, PEDRO	Hombre	2
GALLARDO-BERUMEN, MARÍA ISABEL	Mujer	1
GONZÁLEZ VEGA, MARÍA PATRICIA	Mujer	1
IRIONDO C, PEDRO	Hombre	1
CÁCERES H, KAREN	Mujer	1
FAURE M, MÓNICA	Mujer	1
GÁSQUEZ V, MARINA	Mujer	1
MARENGO B, LORENA	Mujer	1
DÍAZ A, JACQUELINE MACARENA	Mujer	1
PINO V, JOSÉ LUIS	Hombre	4
DÍAZ H, CLAUDIO	Hombre	2
LÓPEZ E, MIGUEL ÁNGEL	Hombre	2
COFRE T, MARÍA ISABEL	Mujer	1
GONZÁLEZ R, CAROLL	-	1
REYES C, LILIANA	Mujer	1
LÓPEZ E, MIGUEL ANGEL	Hombre	1
MORENO V, ALICIA ANDREA	Mujer	1
FAÚNDEZ P, TERESITA DEL PILAR	Mujer	1
PINO V, JOSÉ LUÍS	Hombre	1
NORIEL V, MARISOL	Mujer	1
ENEI G, Mª LEONOR	-	1
SALAZAR C, RENÉ	Hombre	1
CRUZ, J. L.S.	-	1
LI, Q.	-	2
VILLANUEVA-BATALLANOS, MARILYN	-	1
VILLANUEVA-BATALLANOS, MARILYN	-	4
VILLANUEVA-BATALLANOS, MARILYN	-	1
