Autor	Género	Total de Artículos
VUKUSICH, A	Hombre	1
KULJIS, R	Hombre	2
PALMA, PATRICIA	Mujer	1
JOAQUIN BRUNNER, JOSE	Hombre	14
CACERES, RODRIGO	Hombre	2
ARAYA-CASTILLO, LUIS	Hombre	2
AHUMADA, MAGDALENA	Mujer	1
PEREZ-MARQUEZ, SEBASTIAN	Hombre	2
MAC-CLURE-HORTAL, OSCAR	Hombre	1
DUBE, SEBASTIEN	Hombre	1
ZAFFIRI SUZARTE, FRANCESCA	Mujer	1
PEREZ, ALEJANDRO	Hombre	4
CLAUDIA, FRANCISCO	Hombre	1
FERRAGUT, LOMBARDI	-	1
CONTRERAS TAIBO, LORENA	Mujer	9
MADARIAGA, ALDO	Hombre	8
BAUTISTA MENARES, DAVID	Hombre	1
FIGUEROA-GARCIA-HUIDOBRO, RODOLFO	Hombre	7
SEVILLA, MARIA-PAOLA	Mujer	3
ROCO-ANABALON, KARINA DANIELA	Mujer	2
RIVERA, MAGDALENA	Mujer	3
ARDILES, DAMARISSE	-	1
CORREA, SABRINA	Mujer	2
HORMAZABAL, VALENTINA	Mujer	1
MORENO, DANIELA	Mujer	1
SEPULVEDA, VICTORIA	Mujer	1
PEREZ, FABIOLA	Mujer	1
FAGERSTROM, CRISTHEL	-	3
TISSERA, PATRICIA	Mujer	1
GARCIA-MOLINA, ALBERTO	Hombre	14
CORTAZAR, ALEJANDRA	Mujer	2
FURLANETTO, EDELTI	-	1
RUPERTHUZ, MARIANO	Hombre	4
ISLER-SOTO, CARLOS AUGUSTO LUIS	Hombre	3
CACILDA, EDUARDO	Hombre	1
PALACIOS, ISMAEL	Hombre	1
ORIHUELA, PEDRO A.	Hombre	1
PEREZ-FLORIANO, LORENA R.	Mujer	9
HUMERES, MONICA	Mujer	5
ROSELLO PENALOZA, MIGUEL	Hombre	1
BRISBIN, D.	Hombre	9
KHAN, SAMMYH	-	1
VILLALOBOS, CRISTOBAL	Hombre	3
ISABEL TOLEDO-JOFRE, MARIA	Mujer	1
ANDREA SAEZ, CAROLINA	Mujer	1
BERTRANG, GESA H-M	Mujer	1
CARDEMIL, JOSE	Hombre	19
GANGAS, MARIANA	Mujer	1
HINER, HILLARY	Mujer	17
ETCHEGARAY-THIELEMANN, NICOLLE	Mujer	6
GALVEZ, RICHARD	Hombre	1
LANGER, ALVARO, I	Hombre	1
APOSTOLOVSKI, YORDANKA	-	1
PHADKE, KEDAR	-	1
REUTER, CASSIE A.	Mujer	1
OSSANDON, JOSE	Hombre	4
ESPINOZA, OSCAR	Hombre	13
OLHABERRY, MARCIA	Mujer	1
BERHO CASTILLO, MARCELO	Hombre	1
ROBERTO, TRIANA	Mujer	1
MASCARENO, ALDO	Hombre	1
ROMERO, JUAN CRISTOBAL	Hombre	2
GUMUCIO, RAFAEL	Hombre	1
BISAMA, ALVARO	Hombre	4
SARADANGANI, KABIR P.	Hombre	1
GUZMAN M., HERNAN	-	1
ESTEBAN SAN MARTIN, ANDRES	Hombre	2
PREISS, YUDITH	-	3
MONTT, XIMENA TOCORNAL	Mujer	1
DE ARAUJO-GIL, LUCIANA	Mujer	7
HERRERA-OESTERHELD, MARIA FLORENCIA	Mujer	8
LISSAUER, JACK J.	Hombre	1
KALTWASSER HAMILTON, ANDRES	Hombre	1
MARTINEZ PERNIA, DAVID	Hombre	5
PETERMANN-ROCHA, FANNY	Mujer	107
MARKKULA, N.	Mujer	4
PENA, S.	Hombre	11
MAGNER, NICOLAS S.	Hombre	8
GAINZA, CAROLINA	Mujer	12
SCHERMAN, ANDRES	Hombre	19
MUNOZ, GONZALO	Hombre	12
RAMIREZ, R.	Hombre	1
GUAITA, LUCIA	Mujer	24
JOFRE-PFEIL, PAULA	Mujer	86
VALENZUELA-MOGUILLANSKY, CAMILA	Mujer	6
LOURENCO, COSTA	-	1
ROBOTHAM, MATIAS	Hombre	1
CAMPOS-HERRERA, GERMAN	Hombre	1
UMPIERREZ DE REGUERO, SEBASTIAN	Hombre	12
HERRMANN, M. G.	Mujer	1
PINO, BARBARA	Mujer	1
YANEZ-URBINA, CRISTOPHER	Hombre	10
TOLEDO JOFRE, MARIA ISABEL	Mujer	7
VERA BRAVO, JAVIER	Hombre	1
PEREZ HUENUPI, LUIS	Hombre	1
PEZOA, RAID	Hombre	1
VARAS, MAURICIO	Hombre	2
BOETTCHER, NICOLAS	Hombre	3
CHAUVIN, GAEL	Hombre	1
DOERR, O.	-	2
BONNEFOY VALDES, NICOLAS	Hombre	1
SOTO CARCAMO, JORGE	Hombre	2
CORDERO, RODRIGO	Hombre	26
ROJAS NAVARRO, SEBASTIAN	Hombre	4
OLIVARES, NICOLAS	Hombre	1
MARIA VIVANCO, LUZ	Mujer	1
FIGUEROA, ALEJANDRO	Hombre	6
SUAZO-GALDAMES, IVAN C.	Hombre	10
AGUILERA, CAROLINA	Mujer	9
MOLINA, FRANCISCO	Hombre	1
CANEO, MARIANELLA	Mujer	1
BARRERA-PEDEMONTE, FABIAN	Hombre	1
GUZMAN, HERNAN C.	-	1
OTERO, GABRIEL	Hombre	4
ATRIA CURI, JORGE ANDRES	Hombre	10
CILLERO BRUNOL, MIGUEL	Hombre	2
PEREZ LIRA, CONSTANZA	Mujer	1
GABLER, C.	Mujer	1
BRAVO-LECHUGA, CLAUDIO IGNACIO	Hombre	9
PESUTIC, C. SOLE	Hombre	1
HERRERA-ARELLANO, HUGO EDUARDO	Hombre	18
FINN, VICTORIA	Mujer	10
NARANJO, ELOISA	Mujer	1
YANG, BIN	-	7
BRAVO MATURANA, MAXIMILIANO	Hombre	1
SANDOVAL SOTO, DAMARIZ SHALOMM	Mujer	2
PEREZ, MIGUEL	Hombre	2
VALENZUELA GASCON, RICARDO	Hombre	1
VARGAS, LORENA	Mujer	2
BRAVO, GABRIELA	Mujer	1
MIKULAN, EZEQUIEL	Hombre	3
HENRIQUEZ-CH, RODRIGO A.	Hombre	1
RODRIGUEZ, FERNANDA	Mujer	1
CASASSU, SIMON	Hombre	2
BRUNNER-RIED, JOSE JOAQUIN	Hombre	27
URBINA, DANIELA C.	Mujer	2
EBLEN-ZAJJUR, ANTONIO	Hombre	8
MARDER, MICHAEL	Hombre	7
RAMIREZ-FLORES, JORGE ANDRES	Hombre	3
GAGIE, TRAVIS	Hombre	40
ROCHA, FANNY PETERMANN	Mujer	1
AMENABAR, JOSEFINA	Mujer	2
SALGADO, ALFONSO	Hombre	1
DEEG, H.	Hombre	2
GAYO CAL, MODESTO	Hombre	1
MENDEZ-LAYERA, MARIA LUISA	Mujer	16
VELEZ, J.	Hombre	2
CASTILLO FERNANDEZ, SIMON	Hombre	1
ROJAS-ARRIAGADA, ALVARO	Hombre	1
VARGAS, ANDRES	Hombre	4
ABARCA-BROWN, GABRIEL	Hombre	8
JIMENEZ, ALVARO	Hombre	11
DEL RIO-HERNANDEZ, MARIA FRANCISCA	Mujer	10
MARCHESSE, C.	-	1
MENA, M. J.	-	1
DUJOVNE-HELMAN, DIEGO ROBERTO	Hombre	27
DEL CASTILLO OYARZUN, MARIO	Hombre	1
MAGRINI, CLAUDIO	Hombre	5
CORVALAN-RODRIGUEZ, ALEJANDRO HERNAN	Hombre	13
ADE, PETER	Hombre	1
DIAZ, ANDRES J.	Hombre	17
SALAS, NATALIA	Mujer	5
STANCIU, OVIDIU	Hombre	4
FERREIRA, RAFAEL	Hombre	2
TREVINO, ERNESTO	Hombre	1
BEHRENDT, KARL	Hombre	1
ADAMS, JOHN	Hombre	1
MARDER, MICHAEL	Hombre	1
MORALES RIOS, SANDRA	Mujer	1
SEGOVIA RIQUELME, CAROLINA	Mujer	1
GUERRA, RODRIGO	Hombre	1
LUCERO, CLAUDIA M.	Mujer	3
FIGUEROA, MONICA	Mujer	2
MENESES-AREVALO, ALEJANDRA CECILIA	Mujer	1
CORSINI, G.	Hombre	14
QUINTANILLA-GONZALEZ, MARIA ELENA	Mujer	1
FREI, RAIMUNDO	Hombre	5
THIEME-JARA, CLAUDIO PATRICIO	Hombre	16
INZUNZA CANALES, MARIO DAVID	Hombre	1
SANTIBANEZ, CRISTIAN	Hombre	35
MARIN, B.	Mujer	27
BAUTISTA GALEANO, LEIDY CATERINE	Mujer	1
CHERNILO, DANIEL	Hombre	3
BUSTOS-JIMENEZ, JAVIER A.	Hombre	2
BILLI, MARCO	Hombre	1
PAULSEN GUTIERREZ, CATALINA	Mujer	1
LARENAS, FELIPE	Hombre	1
FUENTES, MARIANA	Mujer	1
VILLARROEL, GREGORY	Hombre	1
PRINCIPE, DAVID A.	Hombre	13
CUELLO RIVEROS, VARINIA	Mujer	1
CARO DIAZ, FELIPE	Hombre	1
LOVERA, DOMINGO	Hombre	8
TERRA POLANCO, MARIA CONSTANZA	Mujer	1
CORDOVA-MELLA, ROSA	Mujer	5
HENRIQUEZ, PABLO A.	Hombre	12
PINO-EMHART, ALBERTO	Hombre	1
CASTILLO, G.	-	1
FRICK, RAMIRO	Hombre	2
MOURGUES-CODERN, CATALINA	Mujer	1
HONIG, SEBASTIAN F.	Hombre	1
GRAU-DIEZ, ARTURO	Hombre	4
ANSALDO MARIN, SEBASTIAN	Hombre	1
RUBIO, ANDRE, V	Hombre	10
MONDACA-ROJAS, CARLOS ENRIQUE	Hombre	1
BOITANO GRUETTNER, ANGELA R.	Mujer	1
DEL VALLE ORELLANA, NICOLAS	Hombre	1
CROSBY, JAVIER	Hombre	1
MUZZO, SANTIAGO	Hombre	1
ROMERO-TOLEDO, HUGO	Hombre	3
ROJAS-LIBANO, DANIEL	Hombre	15
BERK, MICHAEL	Hombre	1
TORRES, CAMILO	Hombre	1
DRAGO, PAZ	-	1
HUMERES, ALEXIS	Hombre	2
HERNANDEZ A, JOSE P.	Hombre	1
KRAUSE, MARIANE	Mujer	1
CORNEJO, TOMAS	Hombre	11
VOJKOVIC, S.	Hombre	1
MUZIC, K.	Mujer	10
ASSEF-TREBILCOCK, ROBERTO JOSE JAVIER	Hombre	91
GARCIA-GONZALEZ, MACARENA	Mujer	9
FIGUEIREDO, ANA	Mujer	1
ADOLFI, FEDERICO	Hombre	1
PUGA, ISMAEL	Hombre	1
VARGAS, MANUEL	Hombre	5
WILLIS, MARGARET	Mujer	10
ADAMSON, G. DAVID	Mujer	1
ROSENBERG, ANDRES	Hombre	1
LOPEZ VARELA, SUSANA	Mujer	1
CONTRERAS-DUARTE, CAROLINA DE LOS ANGELES	Mujer	4
GONZALEZ-VALLEJOS, MARIA PAZ	Mujer	1
ROMO, FRANCISCA	Mujer	7
HITSCHFELD, MARIO	Hombre	1
PENA Y LILLO, MACARENA	Mujer	2
WAGEMANN, ELIZABETH	Mujer	4
ALBURQUENQUE, SERGIO	Hombre	1
IRARRAZAVAL, LEONOR	Mujer	3
VAN DER WIELEN, JULIE	Mujer	1
CASTRO, RUBEN	Hombre	26
PEZOA, MARIO	Hombre	1
HOLM-HADULLA, RAINER MATTHIAS	Hombre	1
VALLADARES-VEGA, MACARENA ANDREA	Mujer	1
GONZALEZ-BILLAULT, CHRISTIAN	Hombre	2
MORALES, MAURICIO	Hombre	25
SABROVSKY, EDUARDO	Hombre	11
VASQUEZ-PIZARRO, YERKO ALEJANDRO	-	2
ROJAS, PATRICIO	Hombre	1
ROJAS-INDA, S.	-	1
ZURLO, ALICE	Mujer	159
ROMERO CARRASCO, ALICIA	Mujer	1
CASTRO, CRISTIAN	Hombre	1
CHADE, ANABEL	Mujer	1
FIERRO, CAMILA	Mujer	2
GONZALEZ-CATALDO, F.	Hombre	28
TUCCI-MAIA, MARCELO	Hombre	1
SANTOS, MARCELO	Hombre	7
ZUNIGA-FAJURI, ALEJANDRA	Mujer	17
ORELLANA BILLIARD, JORGE ANDRES	Hombre	1
CASTILLO FERNANDEZ, SIMON	Hombre	3
NUNEZ, MAURICIO	Hombre	1
MOLINA-BERRIOS, ALFREDO ENRIQUE	Hombre	4
VALENZUELA BELTRAN, MACARENA	Mujer	1
VERA MANRIQUEZ, RODRIGO	Hombre	1
ARANDA CH, WALDO	Hombre	1
CARO S, JUAN CARLOS	Hombre	1
CARBILLET, M.	Hombre	1
MORALES, FRANCISCO	Hombre	2
ORMENO KARZULOVIC, JUAN	Hombre	1
GUTIERREZ-GALLARDO, GONZALO JAVIER	Hombre	1
ARIZTIA, TOMAS	Hombre	23
HAMAME, EVA	-	2
ERRAZURIZ TAGLE, JAVIERA	Mujer	1
FUENTES, J. L.	-	1
GARRIDO, RODRIGO	Hombre	1
CORADOC, MANFREDO	Hombre	1
PINA-STRANGER, ALVARO	Hombre	1
ASSAEL-BUDNIK, CECILIA	Mujer	1
GIL DE ZUNIGA, HOMERO	Hombre	94
RIVEROS, RODRIGO	Hombre	5
PEREZ CONTRERAS, ANIBAL	Hombre	1
OSORIO, RODRIGO	Hombre	8
NEVES, GISELLA	Mujer	1
SADARANGANI, KABIR P.	Hombre	48
ALBORNOZ, VALENTINA	Mujer	1
ANSOLEAGA-MORENO, MARIA ELISA	Mujer	10
PINO-SALDIAS, GABRIEL AURELIO	Hombre	4
SAAVEDRA-GARCIA, JOSE MIGUEL	Hombre	1
URTUBIA, RICARDO	Hombre	2
SOLANO COHEN, VANESSA	Mujer	1
MARCHANT, JORGE	Hombre	1
MACHUCA CONTRERAS, FELIPE ALIRO	Hombre	3
BEATRIZ REEVES, MA	-	1
REEVES, MA. BEATRIZ	Mujer	1
MALDONADO-ALARCON, SEBASTIAN ALEJANDRO	Hombre	1
RIQUELME-JARA, PABLO OCTAVIO	Hombre	2
BHOWMIK, T.	Mujer	3
BOSCH, PAUL	Hombre	10
ALVAREZ CABELLO, PABLO	Hombre	2
ROSALES JUBAL, EDUARDO	Hombre	2
CACERES, ENRIQUE	Hombre	1
CARRASCO, MIGUEL	Hombre	7
ORTIZ DE ZARATE, V.	-	1
SAN MARTIN, CONSTANZA	Mujer	9
HOWARD, SEBASTIAN	Hombre	1
VELIZ-ROJAS, KARINA DENISSE	Mujer	6
LEIVA F, VALENTINA M.	Mujer	1
MOLINA CAMACHO, FRANCISCO	Hombre	3
HUEPE, CLAUDIO	Hombre	1
PASCUAL, JAVIER	Hombre	1
BOITANO, ANGELA	Mujer	1
SOTO-VASQUEZ, MAURICIO	Hombre	1
ANGLES, ALBERT	Hombre	5
PAZZONA, MATTEO	Hombre	3
SOLE, SEBASTIAN	Hombre	8
CORTINA, ALVARO	Hombre	3
STANGHELLINI, PR GIOVANNI	-	1
DOERR-ZEGERS, OTTO FERNANDO	Hombre	11
VILLALON, JORGE	Hombre	2
ARAYA GUZMAN, CAMILA IGNACIA	Mujer	1
NAVARRO-BADINO, GONZALO	Hombre	4
ASTORGA, CRISTIAN R.	Hombre	2
BITTELMAN, SACHA	Mujer	1
VERA, MATIAS	Hombre	1
PEZOA, RAUL	Hombre	21
CASTILLO GALLARDO, PATRICIA	Mujer	2
ARAVENA ABUGHOSH, CLAUDIA	Mujer	1
MONTENEGRO BRALIC, VICENTE	Hombre	1
CALFUCURA-TAPIA, ENRIQUE ALFONSO	Hombre	7
LOPEZ-GONZALEZ, MAURICIO	Hombre	3
ARANGUIZ, JULIETA	Mujer	5
MORAGA MUNOZ, DANIEL	Hombre	4
ORTIZ DE ZARATE, VERONICA VALDIVIA	Mujer	12
GERSHANIK, OSCAR	Hombre	1
PINO A, BARBARA	Mujer	1
RIEGO, CRISTIAN	Hombre	1
CONTRERAS-UGARTE, JAVIER	Hombre	4
PINOCHET ABALOS, MARIA JESUS	Mujer	1
CASTRO-LEAL, ANDREA	Mujer	2
ARRIAGADA CACERES, MARIA BEATRIZ	Mujer	8
MENDIBURO-SEGUEL, ANDRES	Hombre	2
BAUGHMAN, J.	-	2
AVENHAUS, HENNING	Hombre	1
PENA-Y-LILLO, MACARENA	Mujer	15
