Autor	Género	Total de Artículos
BECERRA, J	Hombre	1
URZUA, A	Hombre	2
ACEVEDO, E	Hombre	1
LANAS, F	Hombre	272
SANCHEZ, R	Hombre	138
MIRANDA, E	Hombre	1
SEPULVEDA, NG	-	1
GONZALEZ, J	Hombre	1
VALDEBENITO, FABIOLA	Mujer	3
PAILLALI, PABLO	Hombre	3
GARRIDO, ANDRES	Hombre	1
SIRANDONI, DIEGO	Hombre	1
LOPEZ-FIGUEROA, FELIX	Hombre	1
SHARIFI-RAD, JAVAD	Hombre	1
LOPEZ-DIETZ, SANDRA	Mujer	1
RUBILAR, FRANCISCO	Hombre	2
NAVARRO MORALES, MARCELO	Hombre	1
TORO-TAMAYO, CARLOS	Hombre	6
ESPINOZA-OLIVA, ROBERTO	Hombre	5
BUSTAMANTE, MARIELA	Mujer	21
MARTINEZ, SERGIO	Hombre	1
VERGARA, CAMILA	Mujer	1
CARRERE, IGNACIO	Hombre	1
SILAMBARASAN, SIVAGNANAM	Hombre	16
RAMOS-MELLA, CHRISTOPHER A.	Hombre	1
JASCIELI, ANTONIO	Hombre	1
ARRIAGADA, CESAR	Hombre	53
MERCADO CERRONI, CLAUDIA	Mujer	1
CHO, WILLIAM C.	Hombre	1
BAGNATO, VANDERLEI SALVADOR	-	1
STARZYNSKI, GARCEZ	-	1
ANINIR, WASHINGTON	-	2
MENDEZ, LORETO	Mujer	3
COMPARIN, PAOLA	Mujer	8
SUAZO, MARIA J.	Mujer	3
MUNOZ NAVARRO, SERGIO R.	Hombre	143
FONSECA-SALAMANCA, FLERY	-	21
GARCIA, PATRICIO	Hombre	1
SOTO, JORGE A.	Hombre	11
LOGESWARI, PETER	Hombre	14
SUAZO, JONATHAN	Hombre	1
ORDIQUEO, MANUEL	Hombre	1
PALMA, KOTZIAN	-	1
ARROYO-VARGAS, PAOLA	Mujer	3
DEL FIERRO, ANDREA	Mujer	1
PEREZ, FRANCO	Hombre	1
VARGAS-GAETE, RODRIGO	Hombre	16
CARLOS GARCIA, JUAN	Hombre	3
UQUICHE, EDGAR L.	Hombre	25
TORO, MARIA T.	Mujer	1
DIAZ, JUAN	Hombre	1
OSSES, IRMA	Mujer	1
MONTEDONICO, MARCIA	Mujer	1
BASCOUR-SANDOVAL, CLAUDIO	Hombre	22
TERAUCAN, JULIO	Hombre	1
PINTO, CRISTIAN	Hombre	3
