Autor	Género	Total de Artículos
CRUZAT, JCB	-	1
RADA, ISABEL	Mujer	5
MACKAY, KAREN	Mujer	9
GONZALEZ, CRISTOPHER	Hombre	1
MENA, CRISTIAN, I	Hombre	5
NACHAR, RUBEN A.	Hombre	1
GONZALEZ-VALDERRAMA, ALFONSO A.	Hombre	1
ARAYA GOMEZ, RODRIGO	Hombre	1
ATRIA, PABLO J.	Hombre	1
HIDALGO-ROSA, YOAN	Hombre	6
MARIN, GONZALO J.	Hombre	20
MARIOTTI-CELIS, MARIA	Mujer	28
CANCINO LOPEZ, JORGE	Hombre	1
DUSSAILLANT-CHRISTIE, JACQUELINE	Mujer	1
LANDSKRON, GLAUBEN	-	4
MUNOZ, RODRIGO	Hombre	1
URZUA, MACARENA	Mujer	9
FERREIRA-WORTSMAN, CAMILA	Mujer	9
CASALS, MARCELO	Hombre	1
BUSTOS, EDSON	Hombre	11
MAGNER, NICOLAS S.	Hombre	8
MURRAY-MCCLURE, NIGEL PETER	Hombre	63
SANTIBANEZ-GOMEZ, DAVID P.	Hombre	2
ZBINDEN, HERMANN	Hombre	2
MOLINA, CLAUDIO	Hombre	2
CORDOVA, FELISA	Mujer	46
GUTIERREZ, FELIPE A.	Hombre	1
BARRIGA, PATRICIO	Hombre	3
VILLARROEL, VERONICA	Mujer	2
CASTRO, MARIO A.	Hombre	1
CABALLERO MUNOZ, ERIKA M.	Mujer	1
CASTILLO, NICOLAS	Hombre	1
AGUILAR, MARCELA	Mujer	1
COTTIN, MARIANNE	Mujer	5
VALVERDE AMPAI, WASHINGTON	-	1
RODRIGUEZ, FERNANDA	Mujer	1
CARRASCO PURULL, GONZALO	Hombre	1
JANNAS-VELA, SEBASTIAN	Hombre	15
MUJICA, FERNANDO	Hombre	1
ROJAS, GONZALO M.	Hombre	2
SANCHEZ, RODRIGO	Hombre	1
SALAS, NATALIA	Mujer	3
URZITA OPAZO, MACARENA	Mujer	9
GONZALEZ-BARTHOLIN, ROBERTO EDUARDO	Hombre	1
ESCANILLA, FELIPE A.	Hombre	1
JURY, ESTEBAN R.	Hombre	1
PAVEZ, ISABEL	Mujer	1
