Autor	Género	Total de Artículos
ARANGUIZ, PABLO	Hombre	2
VALLE, CARLOS	Hombre	2
GUTIERREZ-ESPINOZA, HECTOR	Hombre	6
ARAYA-QUINTANILLA, FELIPE	Hombre	9
GANA-HERVIAS, GONZALO	Hombre	1
CEBALLOS, G.	Hombre	3
FERNANDEZ DANCEANU, CONSTANZA	Mujer	1
MANUEL CERDA, JOSE	Hombre	1
OLGUIN-HUERTA, CRISTIAN	Hombre	2
IBARRA FIGUEROA, WILLIAMS	-	1
BUZETA UNDURRAGA, SEBASTIAN	Hombre	3
PABLO CONTRERAS, JUAN	Hombre	1
IBARRA, WILLIAMS	-	1
LEITAO ALVAREZ-SALAMANCA, FRANCISCA	Mujer	1
CALZADILLA NUNEZ, ARACELIS	Mujer	1
ROSALES-VERA, MARCO	Hombre	2
RIVERA RESTREPO, JOSE MAXIMILIANO	Hombre	1
ARAYA QUINTANILLA, FELIPE	Hombre	1
RIVERA RESTREPO, JOSE MAXIMILIANO	Hombre	1
RIVERA RESTREPO, JOSE MAXIMILIANO	Hombre	2
SCHONGUT-GROLLMUS, NICOLAS	Hombre	1
MARCHANT-JARA, FELIPE ANDRES	Hombre	1
CERDA-COSTABAL, JOSE MANUEL	Hombre	7
FUKUSHI MANDIOLA, KIYOSHI	Hombre	1
MARTINEZ-SOTO, DANIELA DENISSE	Mujer	1
DAGNINO-ROBLES, PAULA	Mujer	7
ESCOBAR-TABOADA, ROCIO CAMILA	-	1
BENAVIDES, MARYORIE	-	1
RUTHERFORD PARENTTI, ROMY GRACE	Mujer	1
ARMIJO-RODRIGUEZ, IVAN ALEJANDRO	Hombre	12
FUENTES-BIZAMA, CARLOS	Hombre	1
SCHONGUT GROLLMUS, NICOLAS	Hombre	1
JELDRES, ROLANDO	Hombre	1
MATSUMOTO-ROYO, KIOMI	-	1
BLANCO JIMENEZ, JOSE	Hombre	1
RODRIGUEZ, S.	Mujer	1
RIVERA-RESTREPO, JOSÉ	Hombre	1
MORALES CABELLO, CAMILA	Mujer	1
BLANCO JIMÉNEZ, JOSÉ	Hombre	1
GARCÍA ÁLVAREZ, CÉSAR	Hombre	1
RIVERA RESTREPO, JOSÉ MAXIMILIANO	Hombre	1
RIVERA-RESTREPO, JOSÉ MAXIMILIANO	Hombre	1
KARLE P, MACARENA	Mujer	2
DÍAZ, RAÚL A.BALDOMINO	Hombre	1
RIESCO TAGLE, LEONOR	Mujer	1
LARRAZA, DANIELA	Mujer	1
LONGO, ANTONELLA	Mujer	1
