Autor	Género	Total de Artículos
CASTILLO, S	Mujer	2
JARA, EB	Hombre	3
CORDOVA, OLIVIA	Mujer	1
BARRIA, AGUSTIN	Hombre	2
VIDAL, YENIFFER	-	1
CHIGUAY, CONSTANZA	Mujer	1
MAC-CLURE-HORTAL, OSCAR	Hombre	17
OYARZUN, FERNANDA	Mujer	1
NAHUELHUAL, LAURA	Mujer	6
HERNANDEZ, CRISTIAN E.	Hombre	1
URRUTIA, CYNTHIA	Mujer	1
TOLEDO-CONTRERAS, PAMELA	Mujer	6
FREIRE-DIAZ, MATIAS ANDRES	Hombre	1
SAEZ-LAFOURCADE, ROBERTO	Hombre	1
ALVAREZ, RICARDO	Hombre	1
HIDALGO, CARLOS	Hombre	6
LINFORD, PAMELA	Mujer	8
MARIA HUMANA, ANA	Mujer	3
QUEVEDO, ROBERTO A.	Hombre	51
RAUL, JAIME R.	Hombre	1
ROMAN-CASTILLO, ALVARO JAVIER	Hombre	2
MUNOZ-PEREZ, JOSE LUIS P.	Hombre	29
OCARNPOS, D.	-	1
CRESPO, JULIO E.	Hombre	35
OCAMPO, D.	-	1
VALLEJOS, C.	Hombre	2
GONZALEZ, BRUZUAL	-	1
MANUEL SALDIVAR, JUAN	Hombre	1
THER-RIOS, FRANCISCO	Hombre	26
CASTRO RIOS, EDUARDO	Hombre	1
MONTT, XIMENA TOCORNAL	Mujer	1
PARRA-SALDIAS, MARIBEL	Mujer	4
ANDRADE, LORENZO	Hombre	1
ROJAS PESCIO, HECTOR GONZALO	Hombre	2
OUTEIRO, LUIS	Hombre	7
ALVIZ-GAZITUA, PABLO	Hombre	6
TEJEDA GOMEZ, CRISTIAN ANDRES	Hombre	12
RIVERA, C.	Hombre	3
LOPEZ-ASTORGA, MIGUEL	Hombre	5
CASTRO, MAX TULIO	Hombre	1
LEON, OSCAR	Hombre	1
BARAHONA-SEGOVIA, RODRIGO MOISES	Hombre	42
PARK KEY, AMES	-	1
PINO-FAN, LUIS R.	Hombre	52
CARIMAN, PAULINA J.	Mujer	1
DIAZ, PATRICIO A.	Hombre	52
PUEBLA-WUTH, RICARDO S.	Hombre	1
HEINZ, PEDRO	Hombre	2
ALARCON, NANCY	Mujer	2
CELIS SCHNEIDER, RUBEN	Hombre	2
LOPEZ ANDRADE, CLARA IVONNE	Mujer	1
JIMENEZ, ALEJANDRO M.	Hombre	1
DELGADO, CECILIA	Mujer	1
AGUAS, CRISTIAN E.	Hombre	1
PAZ CONTRERAS-MUNOZ, MARIA	Mujer	1
CRAVERO, ANIA	Mujer	1
PAVIE NOVA, ALEX	Hombre	4
ABARZUA, JAVIERA, V	Mujer	1
HERNANDEZ, SEBASTIAN I.	Hombre	1
REYES IRIGOYEN, RENE	Hombre	2
BARRIA, PILAR	Mujer	5
CERDA-PENA, CAROL	Mujer	3
MONTECINOS-MONTECINOS, EGON	Hombre	13
ALVES-DE-SOUZA, CATHARINA	Mujer	3
SACRISTAN, IRENE	Mujer	1
GARCIA-HERMOSO, ANTONIO	Hombre	1
CONTRERAS, CATALINA	Mujer	2
PAREJA, CLAUDIO	Hombre	6
CORVALAN-RODRIGUEZ, ALEJANDRO HERNAN	Hombre	1
VALDES, CATALINA	Mujer	1
CISTERNA, DIEGO	Hombre	2
MARQUES JUNIOR, NELSON KAUTZNER	Hombre	1
VIERA, EDUARDO	Hombre	1
ROSAS VILLARROEL, MINERVA	Mujer	1
LEAL, PABLO P.	Hombre	3
VILLANUEVA-GALLARDO, SANDRA	Mujer	4
LARA SUBIABRE, BRENDA	Mujer	1
MOSQUERA, CLAUDIO H.	Hombre	1
RUDOLPH-LATORRE, ERICH	Hombre	1
GODOY, FELIX A.	Hombre	14
LOPEZ, DANIEL A.	Hombre	13
VILLASANA LOPEZ, PEDRO ENRIQUE	Hombre	17
MERINO JARA, CLAUDIO ESTEBAN	Hombre	2
OJEDA RODRIGUEZ, CRISTIAN RICARDO	Hombre	1
ESTAY SEPULVEDA, JUAN GUILLERMO	Hombre	8
DORNER PARIS, ANITA	Mujer	20
THEZA MANRIQUEZ, MARCEL	Hombre	2
SANDOVAL MANRIQUEZ, MARIO	Hombre	1
GAC JIMENEZ, DANIELLA	Mujer	1
LOPEZ, A.	-	1
FERRADA SULLIVAN, JORGE ALBERTO	Hombre	2
RAU, JAIME R.	Hombre	107
CAMUS-TORRES, CAROLINA	Mujer	34
NAHUELPAN MORENO, HECTOR JAVIER	Hombre	3
VIDAL, J.	Hombre	1
PINCHEIRA-ULBRICH, JIMMY	Hombre	1
FERRADA, CRISTIAN	Hombre	5
ALARCON-HENRIQUEZ, NANCY	Mujer	14
MARDONES RIVERA, GONZALO	Hombre	1
CANALES-AGUIRRE, CRISTIAN BRAULIO	Hombre	22
MOLINA-ROCO, MAURICIO	Hombre	3
ANDERSSON, KRISTER P.	Hombre	3
GAJARDO, C.	Hombre	1
LOTURCO, IRINEU	-	1
BARRIA, AURA M.	Mujer	2
RUAY GARCES, RODRIGO	Hombre	1
ENRIQUE PENA-TRONCOSO, SEBASTIAN	Hombre	1
MANSILLA-TORRES, SERGIO HERNAN	Hombre	2
CARTER BELTRAN, JUAN LUIS	Hombre	1
GEBAUER, P.	Mujer	32
RIVERA-ACUNA, GONZALO ALEJANDRO	Hombre	16
SALDIVAR ARELLANO, JUAN MANUEL	Hombre	2
SEPULVEDA CHAVEZ, MIGUEL ANGEL	Hombre	1
OPAZO VEGA, DAMARIS	Mujer	1
LOPEZ-COLIN, GABRIELA A. E.	Mujer	1
SADE, SORAYA	Mujer	11
ZUNIGA, ALFREDO H.	Hombre	16
ESPINOZA, T.	-	1
MESA, F. R.	-	1
VALENCIA, E.	-	1
QUEVEDO, R.	-	1
LEIVA, FELIX P.	Hombre	3
GARCES, CRISTOBAL	Hombre	6
CARE, MACARENA	Mujer	1
BREDA, ADRIANA	Mujer	4
SAAVEDRA-GALLO, GONZALO	Hombre	1
SEGUEL-GONZALEZ, FABIAN ESTEBAN	Hombre	2
VERGARA, KAREN	Mujer	2
ALARCON-HENRIQUEZ, NANCY	Mujer	1
VERA-GARNICA, JOSE	Hombre	1
LOPEZ, NORMAN	Hombre	2
BUGUENO-FUENTES, ZAMIR	Hombre	1
GUZMAN-RETAMAL, ISMENIA	-	1
DARNER PARIS, ANITA PATRICIA	Mujer	1
FERNANDEZ, RICARDO	Hombre	9
VILLARROEL HIPP, MARIA P.	Mujer	1
BUGUENO, ZAMIR	Hombre	1
GANGA CONTRERAS, FRANCISCO	Hombre	1
VIANCOS, PATRICIO	Hombre	4
OYARZUN BURGOS, CARLOS	Hombre	1
FERNANDEZ-SUBIABRE, PAMELA ANDREA	Mujer	22
PEREZ RODRIGUEZ, ROCIO	Mujer	1
VAZQUEZ-PRIETO, SEVERO	Hombre	3
WERNER CARCAMO, ERWIN	Hombre	1
MORALES-PAREDES, CARLOS	Hombre	4
VALENZUELA-IBARRA, CRISTIAN ANDRES	Hombre	3
TOBAR-BORQUEZ, CLAUDIO NICOLAS	Hombre	19
VARELA-SANTIBANEZ, CARLOS EDUARDO	Hombre	1
HORNICK, KATHERINE M.	Mujer	1
GOMEZ-UCHIDA, DANIEL	Hombre	1
ROJAS, RICHARD	Hombre	1
GARCIA-HUIDOBRO MUNITA, MARIA ROSARIO	Mujer	1
GALLARDO FUENTES, FRANCISCO	Hombre	1
HENRIQUEZ, TANIA	Mujer	1
VON, HARRY	Hombre	1
PEA, VICTOR	Hombre	1
LLANQUILEO, ELENA ADRIANA	Mujer	1
FERNANDEZ-PARRA, LEONARDO DAVID	Hombre	3
SEGUEL-ROJAS, ROMANET	-	1
LOPEZ, BORIS A.	Hombre	26
SEPULVEDA-LUQUE, CLAUDIA	Mujer	1
DEVIA, E.	-	1
HENRIQUEZ-TEJO, EDUARDO ANTONIO	Hombre	2
