Autor	Género	Total de Artículos
ACHKAR, MARCEL	Hombre	1
URRUTIA OSORIO, NATALIA	Mujer	3
HENRIQUEZ-SOLIS, NICOLE ALEXANDRA	Mujer	2
EZAN, PASCAL	Hombre	1
ABUDARA, VERONICA	Mujer	1
ÁLVAREZ HENRÍQUEZ, NICOLE	Mujer	2
FIELITZ G, PABLO	Hombre	1
ESCOBAL L, MARCELO	Hombre	1
FRONTINI L, MARÍA ALCIRA	Mujer	1
GARCÍA D, SOLEDAD	Mujer	1
CAMPO C, OSVALDO DO	Hombre	1
BERTONI, RETO	Hombre	1
WILLEBALD, HENRY	Hombre	1
POLAKOF, ANA CLARA	Mujer	1
CHASQUETTI, DANIEL	Hombre	1
YAFFÉ, JAIME	Hombre	1
CABANA, ÁLVARO	Hombre	1
LÓPEZ-REGA, GABRIELA	Mujer	1
SCHÖN, FELINE	Mujer	1
ZABALETA, BERNARDO	Hombre	1
CERVANTES CONSTANTINO, FRANCISCO	-	1
GARAT, SANTIAGO	-	1
NICOLAISEN-SOBESKY, ELIANA	-	1
PAZ, VALENTINA	-	1
GRADIN, VICTORIA B.	-	1
URRUTIA, NATALIA	-	1
DE GIORGI, ANA LAURA	Mujer	1
