Autor	Género	Total de Artículos
ITURRIAGA, R	Hombre	7
BECERRA, J	Hombre	1
ROZZI, R	Hombre	163
GODOY, J	Hombre	3
CERONI, CONSTANZA	Mujer	1
AROS, VERONICA	Mujer	1
RIOS, CARLOS	Hombre	12
SEPULVEDA K, GONZALO	Hombre	1
CALDERON, MARTHA S.	Mujer	14
VERGARA, PABLO M.	Hombre	1
DELARIVA, LAMPARELLI	-	1
ARRIAGADA-ACEVEDO, GABRIEL ALEJANDRO	Hombre	2
VIDAL, OSVALDO J.	Hombre	32
MARAMBIO, JOHANNA	Mujer	28
OCARANZA, PAULA	Mujer	5
BRANDAN-SIQUES, ENRIQUE HECTOR	Hombre	1
SIERPE, VICTOR	Hombre	11
SOTO-ROGEL, PAMELA	Mujer	7
FAUNDEZ, EDUARDO, I	Hombre	60
RAMIREZ VINA, MARIA KARLA	Mujer	1
CARDOSO, MOLOZZI	-	1
PARDO-PEREZ, JUDITH M.	Mujer	4
LANDAETA, SANCHEZ	-	1
DALMAZZO, VERENNA	-	1
PONCE, ALVARO	Hombre	1
JOANNA, CARMONA	-	1
PEREZ TRONCOSO, CAROLINA	Mujer	5
MALDONADO MARQUEZ, ALAN	Hombre	4
SEPULVEDA-JAUREGUI, ARMANDO	Hombre	23
NORTHINGTON, ROBERT M.	Hombre	1
VERMEER, H. J.	Mujer	1
ALVAREZ, J.	-	1
YUPANQUI CONCHA, ANDREA	Mujer	8
LAGOS, RICHARD	Hombre	7
TORO MANRIQUEZ, MONICA D. R.	Mujer	4
SCHUTTLER, ELKE	Mujer	18
CREGO, RAMIRO DANIEL	Hombre	7
ARELLANO, FRANCISCO JAVIER	Hombre	2
BENNUN, LEONARDO	Hombre	1
HUERTAS HERRERA, ALEJANDRO	Hombre	5
HERRERA, MARIA ELENA	-	2
RODRIGUEZ BARRIA, EDGAR	Hombre	1
SOLAR, ROBERTO	Hombre	1
RIVERA, MARIO A.	Hombre	11
SANTA CRUZ, ROBERTO	Hombre	6
BONACIC-CASTRO, CAROLINA ALEJANDRA	Mujer	1
TOLEDO-RIVERA, CAMILO ENRIQUE	Hombre	14
CELIS-BARROS, CRISTIAN	Hombre	1
OTERO, LIDIA	Mujer	1
RETAMAL-MATUS, HECTOR F.	Hombre	3
CONTADOR-MEJIAS, TAMARA ANDREA	Mujer	40
MARTINEZ-GOMEZ, MANUEL	Hombre	1
RAMIREZ, ROBERTO	Hombre	12
LUIS MIMICA, JOSE	Hombre	1
DIAZ, HUGO S.	Hombre	1
AGUILERA-BETTI, I.	Mujer	5
BAHAMONDE, PAULINA A.	Mujer	3
MAYORGA, MARCELO	Hombre	10
OYARZUN, S.	Hombre	5
ELGUETTA, HERMAN E.	Hombre	1
SEPULVEDA YANEZ, JULIETA HAYDEE	Mujer	17
GIBBONS, JORGE	Hombre	15
CVITANIC DIAZ, BORIS ALEJANDRO	Hombre	8
PINEDA, CRISTIAN	Hombre	1
CALISTO-ULLOA, N.	Mujer	19
RIVERO DE AGUILAR, JUAN	Hombre	5
BUMA, BRIAN	Hombre	1
GAETE, KATHERINE	Mujer	1
CERDA-LOYOLA, PATRICIO HUMBERTO	Hombre	1
SALMERON, MARIA L.	Mujer	1
ESPINOSA, CRISTIAN N.	Hombre	38
ALBERTI-VILLALOBOS, PEDRO	Hombre	4
MOLINA-ADASME, SEBASTIAN	Hombre	1
MANSILLA-ANDRADE, CLAUDIA ANDREA	Mujer	8
GUTIERREZ, JULIO R.	Hombre	1
TAPIA-ROJAS, CHERIL CECILIA	-	1
CABALLERO, PAULA	Mujer	1
MEDINA, YANET	-	3
SALDIVIA, FERNANDO	Hombre	1
STAMBUK, ANDRES	Hombre	1
MORALES, VERONICA	Mujer	1
RENDOLL, JAVIER	Hombre	19
LAZZARINO, SILVIA	Mujer	1
SALDIAS, CAMILA	Mujer	1
MACKENZIE, ROY	-	19
SALCEDO-CASTRO, JULIO	Hombre	1
RIOS-CONTESSE, SERGIO EDUARDO	Hombre	7
REBOLLEDO-LOPEZ, DANIELA VICTORIA	Mujer	6
QUINTANA P, PEDRO	Hombre	1
DIAZ M, MIRIAM	Mujer	1
SOTO O, BRENDA	Mujer	1
MUNOZ E, ESTEBAN	Hombre	1
JOSE SANDOVAL-MUNOZ, MARIA	Mujer	1
EDUARDO ELGUETA-SEPULVEDA, HERMAN	Hombre	1
SAN ROMAN-BONTES, MANUEL JULIO	Hombre	37
MARTINEZ-CRUZ, KARLA	Mujer	16
THALASSO, FREDERIC	Hombre	8
TORRES, JAVIERA	Mujer	1
BENITEZ-DE LA FUENTE, HUGO ALEJANDRO	Hombre	1
RADA, CAMILO	Hombre	3
LOHNDORF, REGINA T.	Mujer	1
JARA-ARANCIO, PAOLA ALEJANDRA	Mujer	4
DURON, QUITERIE	Mujer	1
CASASSA-ROGAZINSKI, GINO	Hombre	51
OYARZUN-CUEVAS, ALEJANDRA PAOLA	Mujer	2
VELAZQUEZ, EDUARDO	Hombre	9
REYES R, DIEGO	Hombre	1
CARVALLO-BARRIENTOS, RUBEN ALFONSO	Hombre	3
LLANOS-GUERRERO, PABLO SEBASTIAN	Hombre	1
NOCETI, RODRIGO	Hombre	1
VERA-ARIAS, MARCELA ALEJANDRA	Mujer	1
ECHEVERRIA PEREZ, RICARDO A.	Hombre	1
GALLARDO-OVANDO, AMALIA BEATRIZ	Mujer	5
CARDENAS, CESAR A.	Hombre	5
RUIZ PEREIRA, SEBASTIAN FELIPE	Hombre	2
ARAVENA, PAOLA	Mujer	5
PANGUE, ANDREA	Mujer	1
NEEDHAM, VANESA	Mujer	1
MUNOZ, CARMEN	Mujer	1
REYES-ARRIAGADA, RONNIE	Hombre	2
RILES, K.	Hombre	4
HARTASANCHEZ, DIEGO A.	Hombre	1
BRASO-VIVES, MARINA	Mujer	1
CUBILLOS-SANTANDER, LUIS ANTONIO	Hombre	1
OLIVERA-NAPPA, ALVARO	Hombre	1
LAVIN-SEPULVEDA, PARIS LEONARDO	Hombre	1
MARTINIC, MATEO B.	Hombre	51
GARCIA-OTEIZA, SAMUEL ALEJANDRO	Hombre	25
CONTRERAS-VILLA, SERGIO EDUARDO	Hombre	1
ALTAMIRANO-OYARZUN, TOMAS ALBERTO	Hombre	6
PALACIOS-SUBIABRE, MAURICIO ALEJANDRO	Hombre	22
MAC LEAN, CLAUDIA	Mujer	8
DROGUETT-CARO, DANIELA	Mujer	2
GALLARDO, PABLO	Hombre	15
ANDRADE, IVAN	Hombre	17
CARVAJAL, DANNY EDUARDO	Hombre	1
CARDENAS, C.	Hombre	3
SANCHEZ-JARDON, LAURA	Mujer	9
ACEVEDO-RAMIREZ, JORGE ANTONIO	Hombre	3
YDE, JACOB C.	Hombre	1
VASQUEZ-SALFATE, RODRIGO ALFONSO	Hombre	9
MONTIEL-SAN MARTIN, AMERICO MANUEL	Hombre	35
ASCENCIO OJEDA, PAOLA BEATRIZ	Mujer	6
SEGUIC ZERAN, ESTELA	Mujer	2
SOTO-CASTRO, XIMENA	Mujer	1
MELLA, DANIEL	Hombre	1
SANTANA, YARITZA	-	1
SEGUEL-RIVERA, ENRIQUE	Hombre	1
BAHAMONDES-AGUILAR, NELSON	Hombre	1
CHRISTIE, DUNCAN	Hombre	3
SALOMON, ANNE K.	Mujer	1
MENDEZ SALINAS, EMILIANO	Hombre	1
PALMA-CANDIA, OSKARINA	-	3
NAVARRO, I.	-	1
TAUCARE-RIOS, ANDRES ORLANDO	Hombre	1
LINDSAY, CAROLINA B.	Mujer	1
SALVADOR, JACOBO	Hombre	1
VILLA, ISRAEL	Hombre	1
GONZALEZ B, MARIA A.	Mujer	1
LLANCALAHUEN, MIGUEL, V	-	1
QUILODRAN-OYARZO, WALTER SEBASTIAN	Hombre	1
TOLEDO-AGUILAR, CARLA	Mujer	1
FIGUEROA, TANIA	Mujer	6
KORBEE, NATHALIE	Mujer	1
SOTO-SANCHEZ, DIEGO ENRIQUE	Hombre	18
VAN DER VEER, RENE	Hombre	9
MUTSCHKE, ERIKA	Mujer	13
MIRANDA-CERPA, ALEJANDRO	Hombre	3
RODRIGUEZ-PROVOSTE, JUAN PABLO	Hombre	21
LOPEZ-VALENZUELA, MARIA	Mujer	1
ESPINOSA-PARRILLA, YOLANDA	Mujer	13
MANRIQUEZ FIGUEROA, MANUEL JESUS	Hombre	1
VELASQUEZ, MARCEL	Hombre	3
IVAN ANDRADE, A.	-	2
PRIETO-IGLESIAS, TEMISTOCLES ALFREDO	Hombre	18
RAUTENBERGER, RALF	Hombre	3
HERNANDEZ-GARCIA, MARCELA TERESA	Mujer	2
TORRES-GUTIERREZ, MAURICIO ANDRES	Hombre	2
MENDEZ, FABIO	Hombre	18
GARCIA-RAMALLO, EVA	-	1
SANDVIG, ERIK M.	Hombre	4
KAZMIERCZAK, MARTIN	Hombre	1
MORELLO REPETTO, FLAVIA	Mujer	51
MANSILLA-GONZALEZ, HECTOR DANIEL	Hombre	1
LEWIS, LILY R.	Mujer	3
BERCHEZ, FLAVIO	Hombre	2
TORRES-ELGUETA, JIMENA ANDREA	Mujer	5
BARRIA-PAILLAMAN, MARICELA ALEJANDRA	Mujer	1
CARVAJAL, MARIOM A.	-	21
OJEDA VILLARROEL, JAIME	-	58
VALLEJOS HERNANDEZ, JORGE	Hombre	1
WIGSTROM MANSILLA, EDUARDO	Hombre	1
OLIVARES GARATE, TAMARA	Mujer	1
RIQUELME-DEL RIO, BRENDA OLIVA	Mujer	1
ANDERSON, CHRISTOPHER B.	Hombre	24
OYARZUN-ARAVENA, ANDREA MARIA	Mujer	8
FONSECA, NELIA E.	Mujer	1
MERNILD, SEBASTIAN H.	Hombre	30
ELPHICK, CHRIS S.	Hombre	1
DIAZ-LORCA, ANGIE DOMINIQUE	Mujer	2
PASCUAL, A.	-	1
ETCHEVERRY ARENTSEN, SOLANGE	Mujer	1
