Autor	Género	Total de Artículos
WOLFF, M	Hombre	1
SLACHEVSKY, A	Mujer	1
GUTIERREZ, FELIPE, I	-	1
CALIXTO, ANDREA	Mujer	11
LOPES DOS SANTOS, ADRIANA	Mujer	9
BURDICK, CATHERINE	Mujer	8
PEREZ-SILVA, RODRIGO	Hombre	10
MINZER, SIMONA	Mujer	3
GUTIERREZ-GAMBOA, GASTON	Hombre	29
IRETA SANCHEZ, JUAN MARTIN	Hombre	2
MILLAN-TOLEDO, CRISTIAN	Hombre	1
MADARIAGA, ALDO	Hombre	11
SAEZ-OLIVARES, SEBASTIAN	Hombre	1
RETAMAL, IGNACIO N.	Hombre	1
MUNOZ-MEDEL, MATIAS	Hombre	1
ROIG, FIDEL ALEJANDRO	Hombre	45
CELLS-MORALES, CARLOS	Hombre	1
RAMIREZ, OSCAR	Hombre	1
SEELMAN, D.	-	1
VICENCIO, EMILIANO	Hombre	5
CORTES, BASTIAN I.	Hombre	8
ALVEAR, CARLOS	Hombre	2
ASTORGA, C.	Mujer	1
SALAZAR, CHRISTIAN	Hombre	3
ARIAS-CARRASCO, RAUL	Hombre	7
SANHUEZA-DURAN, FRANCISCO	Hombre	2
ZUAZUA, FRANCISCO	Hombre	5
COVACEVICH, ALEJANDRA	Mujer	2
ISLER-SOTO, CARLOS AUGUSTO LUIS	Hombre	3
NICHOLSON, CHRISTOPHER	Hombre	16
STEFONI, CAROLINA	Mujer	5
PINTO, MAURICIO	Hombre	1
CASADO BARRAGAN, CLAUDIO	Hombre	3
GALEAZZI, LORENA	Mujer	1
FERNANDEZ-HUERTA, LINCOYAN	-	1
ABARCA, JUAN	Hombre	1
ARAYA, IGNACIO	Hombre	18
RIFFO, MARIA A.	Mujer	1
SILVA, AQUILES Y.	Hombre	1
YANES, AQUILES	Hombre	1
GUIXE, C.	-	1
RUBILAR, MIGUEL A.	Hombre	1
GERONIMO-OLVERA, CRISTIAN	Hombre	5
KUMAR, NITIN	-	1
CONTRERAS-MONTILLA, OSMARY	-	1
GERONIMO, C.	-	1
ALFARO-AYLLON, FERNANDO DANIEL	Hombre	24
ARNET-CALLEALTA, VIRGINIA	Mujer	4
CARRASCO SOTO, SEBASTIAN	Hombre	1
ARRAU, SYLVIA	Mujer	1
CASTRO-SAAVEDRA, SEBASTIAN	Hombre	4
ANTONIO LOPEZ, MARCO	Hombre	3
ARZENO, LUCAS	Hombre	1
MAZZACHIODI, LILY RIOS	Mujer	1
MALDONADO, IGNACIO	Hombre	1
HERNANDEZ-VARELA, PABLO	Hombre	4
MURRAY-MCCLURE, NIGEL PETER	Hombre	24
SANTOS, L. S.	Hombre	1
ORTIZ-TACCHI, CAROLINA	Mujer	1
VIZOSO, PAULA	Mujer	5
MOLINA, CLAUDIO	Hombre	29
MALDONADO-RIQUELME, CARLOS	Hombre	1
FERNANDEZ-PURATICH, H.	Hombre	2
ACEVEDO, R.	Hombre	3
ARRAZOLA, MACARENA S.	Mujer	10
VENEGAS-GONZALEZ, ALEJANDRO	Hombre	19
PAYA-GONZALEZ, ERNESTO	Hombre	1
ESCANDON, MARCELA	Mujer	2
SOTO-SANCHEZ, JOHANA	Mujer	5
LUKE WISEMAN, R.	-	1
RAMIREZ ORELLANA, MANUEL	Hombre	1
PEREZ-RUEDA, ERNESTO	Hombre	9
ATRIA CURI, JORGE ANDRES	Hombre	2
MORALES, NARKIS S.	-	7
BLANCO, ESTELA	Mujer	10
BUENO BUKER, DANIEL	Hombre	1
CASTILLO OYARCE, CRISTOBAL	-	1
FONCEA, CATALINA	Mujer	1
JUNOD LOPEZ, PABLO ANTONIO	Hombre	1
FERNANDEZ, IGNACIO C.	Hombre	12
SALAZAR, FREDY	Hombre	1
ARAVENA, ANGELICA	Mujer	1
AREVALO, FABIOLA	Mujer	2
BUSTOS, C.	-	1
PALUDI, MARIANA, I	Mujer	5
TAPIA MUNOZ, THAMARA	Mujer	1
PINO, NICOLAS	Hombre	1
LATIN, CLAUDIA	Mujer	1
CORTES, GUILLERMO	Hombre	1
JIMENEZ, CHRISTIAN E.	Hombre	1
CHIRGWIN, CATHERINE	Mujer	1
BERHE, ASMERET A.	Hombre	4
BOWKER, MATTHEW A.	Hombre	4
SAEZ-NAVARRETE, C.	Hombre	1
LABRADOR, L.	Hombre	3
BERGMANN, C. A.	Hombre	2
ROJAS-RIVERA, D.	Hombre	8
MANQUE, P. A.	Hombre	17
FERRADA, EVANDRO	Hombre	3
NASSIF, MELISSA	Mujer	15
