Autor	Género	Total de Artículos
GRINSPUN SIGUELNITZKY, NOEMI	Mujer	1
ALLENDE, P.	Hombre	1
GRINSPUN, NOEMI	Mujer	7
CLUNES SQUELLA, MARIA JOSE	Mujer	1
CONTRERAS SAN JUAN, JOSE MAURICIO	Hombre	1
MORALES AYALA, VERONICA	Mujer	1
VALDEBENITO, JENNIFER	Mujer	1
NEIRA-ALBORNOZ, ANGELO	Hombre	3
DOMINGUEZ-VERA, VALENTINA	Mujer	2
SUAZO, MARIA J.	Mujer	1
SILVA-SATLOV, IVAN	Hombre	1
MASIAS, DAISY	Mujer	1
GOMEZ, KELLY	Mujer	1
ZUNIGA HERRERA, MARCELO	Hombre	1
CORNEJO, ISABEL	Mujer	1
AZOCAR DONOSO, PATRICIO	Hombre	2
SALDIAS LIZAMA, NICOLAS DAVID	Hombre	1
GONZALEZ ORB, MARCELO	Hombre	3
CARO ORELLANA, DANIEL SAMMY	Hombre	1
GUZMAN GONZALEZ, DANIELA ALEJANDRA	Mujer	1
JEREZ PENA, SEBASTIAN	Hombre	1
LOBOS GONZALEZ, MANUEL	Hombre	1
SUAREZ-ROZAS, CRISTIAN	Hombre	3
ALVAREZ-BRAVO, PAULO	Hombre	1
BARRIA HERRERA, PAMELA	Mujer	1
CORDOVA-LEPE, FERNANDO	Hombre	2
FRIAS LASERRE, DANIEL ALFREDO	Hombre	1
PENA-SANDOVAL, CESAR	Hombre	1
REISENEGGER, A.	Hombre	33
MARIMAN, JUAN J.	Hombre	8
CABRERA-VILLEGAS, JAVIER	Hombre	2
MEDINA, DAVID	Hombre	1
AYALE-PEREZ, TERESA	Mujer	6
ALFARO SILVA, ANDREA	Mujer	2
FRIAS-LASSERRE, DANIEL	Hombre	12
LECAROS ALVARADO, ALBERTO	Hombre	2
SANDOVAL, GINO	Hombre	2
COVARRUBIAS-ESCUDERO, FELIPE	Hombre	1
SIMPSON, SEBASTIAN	Hombre	2
CORNEJO, TOMAS	Hombre	6
POLO MOLINA, FERNANDA	Mujer	1
ACUNA-ROBERTSON, XIMENA CECILIA	Mujer	3
RODRIGUEZ, FERNANDO	Hombre	1
GARRIDO, C.	Mujer	5
URIBE-JORQUERA, PAULA LETICIA	Mujer	1
MARIO CASANOVA, ANDRES	Hombre	1
DRUKER-IBANEZ, SOFIA	Mujer	5
BARRIENTOS-POBLETE, LORENA JULIETA	Mujer	12
AJENS, ANDRES	Hombre	1
AGUILERA, ARIEL	Hombre	3
RODRIGUEZ MORENO, LUIS	Hombre	1
CORTES, LUIS	Hombre	1
VICTORIA POLANCO, MARIA	Mujer	1
ELENA RETAMAL, MARIA	Mujer	1
GUERRA, KARINA	Mujer	1
FARFAN, SEBASTIAN	Hombre	1
ORTEGA SAENZ, FERNANDA	Mujer	5
SALINAS URREJOLA, ISIDORA AMPARO	Mujer	1
RETAMAL HERNANDEZ, CHRISTIAN ALEJANDRO	Hombre	1
PEREZ ESPINOZA, MARIA JOSE	Mujer	1
UZCATEGUI SANCHEZ, CAROLINA	Mujer	1
SOLANO SOLANO, JAVIER ALEJANDRO	Hombre	1
FRANCO GOMEZ, MARIA DEL CARMEN	Mujer	1
BERRIOS GUAJARDO, VICTOR LUIS	Hombre	1
CRUZ-MONTECINOS, CARLOS	Hombre	1
MUNOZ-RAMIREZ, CARLOS P.	Hombre	10
ROJAS-PARDO, CECILIA	Mujer	1
REBOLLEDO-ARAYA, SOLEDAD	Mujer	2
MIARKA, BIANCA	Mujer	1
MADRID ZAN, ALEJANDRO MARCO	Hombre	1
LORCA-PONCE, ENRIQUE	Hombre	1
LARREA, FELIPE	Hombre	1
SALAS GONZALEZ, MARCELA ALEJANDRA	Mujer	1
FRIAS-LASERRE, DANIEL	Hombre	1
ORTIZ-LIRA, HECTOR	Hombre	3
CASTILLO, F.	Mujer	1
FELIPE-BIANCHETTI-SAAVEDRA, ANDRES	Hombre	1
IRARRAZAVAL-IRARRAZAVAL, FELIPE	Hombre	3
SERRANO, DANIELA	Mujer	2
CACERES-JENSEN, LIZETHLY	-	22
HERNANDEZ-RAMOS, JOSE	Hombre	6
MENARD-POUPIN, ANDRE	Hombre	1
JOO-NAGATA, JORGE	Hombre	12
BAHAMONDES-PADILLA, V. E.	-	1
FAZZI, CATERINA	Mujer	1
CLAUDIO CORTES-PICAZO, LUIS	Hombre	1
GODOY-OLAVE, DIEGO	Hombre	1
GUTIERREZ, PAULINA	Mujer	1
CARLOS, HERNANDEZ T.	-	1
HERNÁNDEZ T, CARLOS	Hombre	1
ALVAREZ-RUF, JOEL	Hombre	5
NOVA, DAVID	Hombre	1
PIZARRO CONTRERAS, NOEMI	Mujer	1
SCHAPHEER, CONSTANZA	Mujer	6
VERA SANCHEZ, ALEJANDRO	Hombre	21
VERGARA, PAULA	Mujer	1
CHIAPPA, E.	Mujer	1
MADRID-ROJAS, MATIAS	Hombre	3
HERRERA, VALENTINA	Mujer	1
PINA, RICARDO	Hombre	5
HENRIQUEZ-PISKULICH, PATRICIA	Mujer	4
VERA, FERNANDA	Mujer	1
ESTUPINAN SERRANO, MARY LUZ	Mujer	2
MARIO, ANDRES	Hombre	1
SALAZAR-GONZALEZ, RICARDO ANDRES	Hombre	2
DE LA FUENTE-CANCINO, CARLOS IGNACIO	Hombre	1
CASTILLO-NARA, ANTONIO ROSAMEL	Hombre	8
BAHAMONDES ACEVEDO, V. VALENTINA	-	1
MOLINA-SOTOMAYOR, EDGARDO S.	Hombre	22
MICHEL SALAZAR, JOSE	Hombre	1
LOPEZ, ALFREDO	Hombre	2
CASTANEDA-PEZO, PATRICIA GEORGINA	Mujer	1
ROJAS, ALEJANDRA	Mujer	1
FLORES-PRADO, L.	Hombre	27
GUERRA-BASTIAS, ROMULO	-	4
SAAVEDRA-OLAVARRIA, JORGE	Hombre	1
ELGUETA ROSASI, MARIA FRANCISCA	Mujer	1
PALIVLA GONZALEZ, EIUC EDUARDO	-	1
VILDOSOLA, X.	-	1
ESCOBAR GUIC, DINA	Mujer	1
CASTRO-CASTILLO, VICENTE EMANUEL	Hombre	13
ADAMO-QUINTELA, DORA ADELA	Mujer	2
IBACETA, AISSA	-	1
VERGARA, EVELYN	Mujer	1
CONTRERAS-GONZALEZ, MAURICIO OSVALDO	Hombre	6
RODRIGUEZ-BECERRA, JORGE	Hombre	20
PARRA-RIVERO, JOSELYN	Mujer	1
ASTROZA CORREA, CLAUDIA	Mujer	1
ORTEGA, FERNANDA	Mujer	12
FAZZI GOMEZ, CATERINA	Mujer	1
BAHAMONDE-PEREZ, CECILIA EUGENIA	Mujer	5
CASTRO-LOIZA, NATALIA	Mujer	1
PAVEZ OJEDA, JORGE	Hombre	2
RAMIREZ, ISABEL	Mujer	2
IBANEZ-SALGADO, NOLFA	-	2
DIAZ-ARCE, TATIANA	Mujer	1
GONZALEZ, CHRISTIAN	Hombre	61
GONZALEZ, CRISTHY	-	1
RIVERA-HUTINEL, A.	Hombre	4
BELTRAMI-BOISSET, MARCIAL ERNESTO	Hombre	5
CORTES PICAZO, LUIS CLAUDIO	Hombre	4
VENEROS RUIZ-TAGLE, DIANA ANTONIA	Mujer	1
MATAMALA, JORGE	Hombre	1
SANTANDER-ZAPATA, FRANCISCO JAVIER	Hombre	2
GALAZ, C.	Mujer	1
GONZALEZ-NAVARRETE, JAVIER	Hombre	1
BARRERA-SALAS, LUIS HUMBERTO	Hombre	10
BARRERA GARCIA, ROBERTO CARLOS	Hombre	1
REISENEGGER-VON OEPEN, TASSILO ANDREAS	Hombre	4
PENALOZA, R.	-	1
DANIEL, FRIAS L.	-	1
FRÍAS L, DANIEL	Hombre	1
DIB-VENTURELLI, CLAUDIO OMAR	Hombre	1
VERA-AGUILAR, ALEJANDRO PATRICIO	Hombre	1
