Autor	Género	Total de Artículos
MARQUET, PA	Hombre	2
ROZZI, R	Hombre	1
OLEA, A	Hombre	1
KRAUSKOPF, M	Hombre	2
LAGOS, JL	Hombre	1
ESCOBAR-AGUIRRE, SEBASTIAN	Hombre	2
BERNASCONI, ANDRES	Hombre	6
ARANGUIZ, PABLO	Hombre	5
GALLEGOS, J.	Hombre	1
MELLA-RAIPAN, JAIME ALBERTO	Hombre	1
ARAYA-CASTILLO, LUIS	Hombre	59
PEREZ MASSAD, IGNACIO	Hombre	2
TAPIA-TAPIA, RODRIGO ANDRES	Hombre	1
ACUNA-CASTILLO, CLAUDIO	Hombre	1
FUENTES, DERIE	-	2
IBANEZ, CHRISTIAN M.	Hombre	57
WALDISPERG, MELANY	Mujer	1
TORRES, FELIPE I.	Hombre	7
ALARCON, MARCELO	Hombre	3
NAHUELHUAL, LAURA	Mujer	4
TORRES, ROMINA	Mujer	28
RODRIGUEZ-TZOMPANTZI, OMAR	Hombre	2
PEREZ-ARREDONDO, CAROLINA	Mujer	6
ZUNIGA, CAROL	Mujer	1
GONZALEZ, SUSANA	Mujer	1
ZUNIGA TEJOS, ALEX	Hombre	1
ARAYA-CONTRERAS, TIARE	-	2
VEAS, RHONDA	Mujer	1
BITTNER, MAURICIO	Hombre	3
CARDENAS-FIGUEROA, ARTURO	Hombre	2
MARTINS, JANSON	-	1
BENAVIDES, JULIO	Hombre	35
ATRIA, PABLO J.	Hombre	1
CHAVEZ, JESSICA	Mujer	1
GONZALEZ, CARLOS M.	Hombre	1
HIDALGO-ROSA, YOAN	Hombre	11
HIDALGO-FRANCO, CHRISTIAN ANDRES	Hombre	12
CARRASCO, TOMAS	Hombre	1
DELGADO, NACARID	-	1
GARCIA-ALMANZA, YADIRIS ESMITH	-	4
ISLA, ADOLFO	Hombre	1
MADARIAGA, ALDO	Hombre	1
ANZIANI-OSTUNI, GIOVANNA	Mujer	6
MEZA, A.	Hombre	14
ROJAS-POBLETE, MACARENA	Mujer	4
CONTRERAS, PAULA	Mujer	1
MIRANDA-FUENTES, CLAUDIA	Mujer	34
VEGA VEGA, PAULA	Mujer	3
BALTER, ADRIANA	Mujer	1
VELIZ-CAMPOS, MAURICIO	Hombre	3
TISSERA, PATRICIA	Mujer	52
PAZ ZUNIGA, MARIA	Mujer	1
CARRENO-GONZALEZ, ALEXANDER MARCELO	Hombre	33
FERNANDEZ, KAMILA	Mujer	2
SAEZ-CORTEZ, FELIPE	Hombre	2
CAMPOS, MATIAS	Hombre	2
SERRANO DEL POZO, IGNACIO	Hombre	5
CAPPELLI, CLAUDIO	Hombre	1
MALDONADO, RODRIGO	Hombre	1
LAGOS-SUAREZ, NELSON ALEJANDRO	Hombre	10
BELTRAN-LEIVA, MARIA J.	Mujer	10
FUENZALIDA, I.	-	1
BLANCO, M. F.	-	2
MEYNARD, ANDRES	Hombre	20
ZAMORA, J.	Hombre	1
REININGER, TALY	Mujer	5
CASTILLO, KAREN	Mujer	1
CASTRO-SEVERYN, JUAN	Hombre	7
PARDO-ESTE, CORAL	Mujer	14
SULBARAN, YOELVIS	-	1
GARIAZZO, VALENTINA	Mujer	2
DUARTE, MAURICIO	Hombre	9
ARENAS-HENRIQUEZ, GABRIEL	Hombre	2
ARRIAGADA-ACEVEDO, GABRIEL ALEJANDRO	Hombre	1
SOTO, JORGE A.	Hombre	13
SAID ALAMOS-MUSRE, A.	-	1
RODAS, PAULA I.	Mujer	21
GUERRA, MAGNO CUNHA	Hombre	1
GAXIOLA-ALCANTAR, AURORA	Mujer	1
RUPERTHUZ, MARIANO	Hombre	4
ZOCCALI, E.	-	1
NUNEZ-LILLO, GERARDO	Hombre	3
BALLADARES, CRISTOBAL	-	2
ANGUITA-SALINAS, CONSUELO	Mujer	2
NUNEZ, MATIAS	Hombre	1
PARRO-GRECO, FRANCISCO JAVIER	Hombre	1
ROJAS-HUCKS, SYLVIA	Mujer	3
GUTLEB, ARNO C.	Hombre	1
ROJAS-AYALA, B.	Mujer	12
REYES, CAMILO	Hombre	7
HERRADA-HIDALGO, NADIA	Mujer	1
BRANDAN-SIQUES, ENRIQUE HECTOR	Hombre	2
TAPIA-CAMMAS, D.	-	1
LEON, GENLY	-	1
CAUTIVO, KELLY	Mujer	1
ANGEL GONZALEZ, MIGUEL	Hombre	1
DIAZ, MAXIMO	-	2
ALBA, ARTURO	Hombre	3
DE LUCA, NATALIA	Mujer	2
OSSES, MARICARMEN	-	2
SANTOS, JOHANA	Mujer	3
AGUAYOO, DANIEL	Hombre	1
BMZZONE, MARIA E.	Mujer	1
RIOS, IGNACIO	Hombre	1
VELOSO-ALARCON, MARIO E.	Hombre	1
MOENA, DANIEL	Hombre	7
CEA-NETTIG, XIMENA	Mujer	9
POBLETE NUNEZ, XIMENA	Mujer	1
PINTO, MAURICIO	Hombre	3
FUENTES-ALBURQUENQUE, SEBASTIAN	Hombre	1
FUENTES-VALENZUELA, MARCIA	Mujer	3
DELFINO, GISELA	Mujer	3
LEBUY, SAULO	Hombre	1
GONZALEZ, FELIPE	Hombre	1
ARAYA, IGNACIO	Hombre	6
MARTINEZ, JIMENA	Mujer	1
DE KERVOR, GENEVIEVE	Mujer	1
MORENO, NICOLAS	Hombre	1
ROSAS-MALDONADO, MARITZA	Mujer	8
AZUA-BUSTOS, ARMANDO	Hombre	5
ACUNA, GUILLERMO	Hombre	1
RAMIREZ LOPEZ, LEONARDO JUAN	Hombre	1
VILLARROEL, CARLOS A.	Hombre	1
BORRERO-DE ACUNA, JOSE M.	Hombre	4
SILVA, ANDRES	Hombre	1
OLGUIN-ARIAS, VIVIENNE	Mujer	1
DAVIS, SERGIO	Hombre	48
SIMEONE, A.	-	1
LIZANA, RICARDO	Hombre	1
GUTIERREZ-ESPINOZA, HECTOR	Hombre	10
MARTINEZ-DIAZ, PABLO ALBERTO	Hombre	17
VALENCIA-HERRERA, IGNACIO	Hombre	1
CENA-AHUMADA, EDUARDO	Hombre	1
LBARRA-KARMY, RODRIGO	Hombre	1
REGUITTI, A.	Mujer	30
PUMO, M. L.	-	2
DE LA MAZA, LUCAS	Hombre	1
BENBENISHTY, RAMI	Hombre	43
SOZA, ANDREA	Mujer	3
RABANAL-LEON, WALTER A.	Hombre	15
MEISEL, LEE	Hombre	12
VARGAS-CHACOFF, LUIS HUMBERTO	Hombre	1
SANTOS, JUAN CARLOS	Hombre	19
PARRAGUEZ, DIEGO	Hombre	1
MEDEIROS, SEBASTIAN	Hombre	1
LANGER, ALVARO, I	Hombre	3
EBERHARD, JUAN	Hombre	2
SILVA-SANZANA, CHRISTIAN	Hombre	6
PARRA-ROJAS, JUAN PABLO	Hombre	8
