Autor	Género	Total de Artículos
RUIZ-BAIER, R.	Hombre	39
UGARTE OLEA, MARCO SANDRO ANTONIO	Hombre	2
RIQUELME-URIBE, DANIEL	Hombre	2
BRITO, CIRO JOSE	Hombre	1
PARISI FERNANDEZ, ANTONINO	Hombre	1
CHILENO TRUJILLO, OSCAR	Hombre	1
CONTRERAS COLIMAN, SOFIA	Mujer	2
FUENTES ASTUDILLO, VICTORIA	Mujer	2
UTRERAS MARDONES, CAROLINA	Mujer	1
ACEVEDO QUIJANO, JONAS	Hombre	1
VASQUEZ BURGOS, KARINA	Mujer	1
GAJARDO MORALES, MARIA GABRIELA	Mujer	1
PLAZA VALDES, AMANDA MACARENA	Mujer	1
RIQUELME MATAMALA, DANIEL ALEJANDRO	Hombre	1
SANDOVAL SOTO, DAMARIZ SHALOMM	Mujer	1
SANCHEZ-SABATE, RUBEN	Hombre	2
RIVERA, MARIO A.	Hombre	1
IVANOVIC, DANIZA M.	-	2
VENEGAS MORTECINOS, ALEXANDRA	Mujer	1
ZAPATA RODRIGUEZ, VALENTINA	Mujer	1
LOPEZ FONTANILLA, MIGUEL	Hombre	1
MAUDIER VASQUEZ, MATIAS	Hombre	1
DONOSO-ACEITUNO, ARNALDO ENRIQUE	Hombre	1
LAGOMARSINO MONTOYA, MARIO	Hombre	10
ESTAY SEPULVEDA, JUAN GUILLERMO	Hombre	24
PARADA ULLOA, MARCO	Hombre	10
ARIAS, ALAIN	Hombre	36
RODRIGUEZ-FERNANDEZ, ALEJANDRA	Mujer	2
FERRADA MUNOZ, MONICA	Mujer	1
MOYANO, FRANCISCO J.	Hombre	1
PARADA ULLOA, MARCOS	Hombre	1
BAEZA CABELLO, CLAUDIA	Mujer	1
PAVEZ-ADASME, GUSTAVO	Hombre	24
PALMA-TRARO, FELIPE HERNAN	Hombre	1
MERINO, M.	Hombre	1
VAZQUEZ-PRIETO, SEVERO	Hombre	1
PARADA ULLOA, MARCOS	Hombre	1
BRAVO-SEPULVEDA, MANUEL ALEJANDRO	Hombre	6
BENAVIDES, SERGIO	Hombre	8
SARAVIA-VALENZUELA, DIEGO	Hombre	9
RAQUEL VASQUEZ, KARINA	Mujer	1
MANCILLA GUZMAN, CARLOS ANGEL	Hombre	1
MUNOZ CARDENAS, VICTOR DANIEL	Hombre	1
OBREQUE JARA, JESSE ANDRES	Hombre	1
PARADA U, MARCOS	Hombre	1
TARRILLO, JOSE	Hombre	1
VASQUEZ BURGOS, KARINA	Mujer	1
FERNANDEZ-HERNANDEZ, MONICA	Mujer	1
RETAMAL-SALGADO, JORGE ANDRES	Hombre	8
NOEM-GALVEZ CONTRERAS, EIMMY	-	1
PARADA ULLOA, MARCOS	Hombre	1
GELABERT SANTANE, R. C.	Hombre	2
MARTINEZ, OSCAR	Hombre	1
SALAZAR-JIMENEZ, RODRIGO ARTURO	Hombre	1
MARTINEZ-LEDESMA, MIGUEL	Hombre	1
GELABERT, RAMON	Hombre	1
RIVAS, YESSICA	-	3
PARADA ULLOA, MARCOS	Hombre	1
SALAZAR CAYULEO, HECTOR H.	Hombre	1
VILLALOBOS, CARLOS ULISES	Hombre	2
FUENTES-LILLO, EDUARDO	Hombre	3
CURIQUEO, ALDO	Hombre	3
TRONCOSO-CASTRO, JOSE MAX	Hombre	1
