Autor	Género	Total de Artículos
KULJIS, R	Hombre	2
VALDIVIA-LAHSEN, NELSON ALEJANDRO	Hombre	11
GUZMAN-SANDOVAL, JONATHAN A.	Hombre	1
STRAHSBURGER, ERWIN	Hombre	6
ROSS, CESAR	Hombre	1
URRUTIA, CYNTHIA	Mujer	1
HERRERA, GUSTAVO	Hombre	3
FLORES-ALFONSO, DANIEL	Hombre	2
LLAIQUE, HENRRY	-	1
VILLALOBOS, MICHAEL	Hombre	2
CAMPOS, PATRICIO	Hombre	1
FUENTES, FRANCISCO F.	Hombre	11
ARAYA, IGNACIO	Hombre	15
PEREZ, KEVIN	Hombre	10
CARTES, FRANCISCO	Hombre	2
TAUCARE, FELIPE	Hombre	1
JARA, BELEN	-	1
TORO, NORMAN	Hombre	61
HERRERA, VENECIA	-	7
VARAS, VIVIANA	Mujer	1
ROJO, CYNTHIA	Mujer	1
OVANDO SANTANA, CRISTIAN	Hombre	6
BUSTOS, EDUARDO	Hombre	1
MUNOZ, JORGE	Hombre	1
RUIZ DE GAMBOA, MARGARITA	Mujer	8
GONZALEZ, BOSCO	-	1
HERNANDEZ-SARAVIA, LUCAS PATRICIO	Hombre	1
BENITES, JULIO	Hombre	82
SOBERG-TAPIA, OSCAR	Hombre	1
RAMOS, MARYAN	Hombre	2
SCHWEDHELM, EDZARD	Hombre	1
PUEBLA, MARIELA	Mujer	2
CARMONA, ERICO	Hombre	10
TIJARO-ROJAS, R.	Mujer	4
ANDERSON, MAIRA	Mujer	2
MUNOZ, AVELINO	Hombre	1
CORRAL, CRISTOBAL	Hombre	15
RAMIREZ PAVELIC, MONICA	Mujer	5
LOPEZ SAN FRANCISCO, EVELYN	Mujer	1
GUERRERO-CASTILLA, ANGELICA	Mujer	10
CARRASCO BELTRAN, HERNALDO	-	1
VILCHES FUENTES, HUGO	Hombre	1
TAPIA, SUZY	Mujer	1
VALENZUELA-CALDERON, C.	-	1
ROJO, DIEGO	Hombre	4
RIQUELME BREVIS, HERNAN	Hombre	7
IBANEZ, CRISTIAN	Hombre	1
SUREDA, JOAQUIN	Hombre	1
MORENO-SERNA, VIVIANA	Mujer	3
CONCHA-CISTERNAS, YENY	-	3
CASTILLO ROJAS, WILSON	Hombre	10
MARIN ALANIZ, JAIR	Hombre	1
GUZMAN, GUILLERMO L.	Hombre	23
VALDIVIA, O.	-	1
MOYA, CLAUDIO E.	Hombre	4
OYARZUN, MAURICIO	Hombre	3
GONZALEZ-SILVA, CARLOS	Hombre	9
BRAVO, FELIPE	Hombre	10
CRUZ-VEGA, GONZALO	Hombre	1
ESPINOZA, MICHELLE	Mujer	1
TEJOS, R.	Hombre	10
ORELLANA URTUBIA, LUIS ALBERTO	Hombre	1
GARCIA-BARRERA, FRANCISCO	Hombre	1
LOPEZ, JUAN	Hombre	1
QUEZADA, JUAN	Hombre	1
SJOBERG TAPIA, OSCAR	Hombre	1
NAVARRO-RETAMAL, CARLOS	Hombre	1
MOLINA-PENAFIEL, DIEGO SEBASTIAN	Hombre	4
FIGUEROA CERNA, CAROLINA	Mujer	1
SILVA TORREALBA, BENJAMIN	Hombre	1
FIERRO-MONDACA, OCTAVIO ARIEL	Hombre	1
ARELLANO-ESCUDERO, NELSON	Hombre	1
AYALA, JOSE	Hombre	8
VERA, ALDO	Hombre	2
DIAZ-VIDAL, GABRIELA A.	Mujer	3
MIGUEL FONSECA, JOSE	Hombre	2
AYAVIRE, FERNANDO	Hombre	2
ORTIZ, MIRKO	Hombre	1
ANGEL MANSILLA, MIGUEL	Hombre	54
VELEZ CARO, CONSTANZA	Mujer	4
ARAVIRE-FLORES, ROBERTO	Hombre	14
VIGUERAS, PATRICIA	Mujer	5
BUC-CALDERON, PEDRO	Hombre	72
PENA, EDUARDO	Hombre	18
VERA-PUERTO, ISMAEL	Hombre	4
VIANCOS, PATRICIO	Hombre	2
LEIVA GOMEZ, SANDRA	Mujer	3
VIGUERAS CHERRES, PATRICIA CECILIA	Mujer	1
PARRA CALDERON, MICHEL GERARDO	Hombre	1
RODRIGUEZ-PONCE, JUAN	Hombre	1
FIGUEROA CERNA, CAROLINA	Mujer	1
ANASTASIOU, GIORGOS	-	4
GONZALEZ-PINTO, KARINA	Mujer	1
GUERRERO, ANGELICA	Mujer	1
RIOS-GARCIA, DAVID NATANAEL	Hombre	29
FIGUEROA-SEPULVEDA, SUSANA	Mujer	2
PONCE, CRISTOBAL	-	1
LOBOS, C.	Hombre	1
LOVERA-COPA, JORGE ALFREDO	Hombre	1
ROMERO, RAUL	Hombre	1
LUENEBURG, NICOLE	Mujer	1
VALLEJOS, CARMEN	Mujer	1
MEDINA Q, FERNANDO	Hombre	1
FARINA M., FRANCISCO	Hombre	1
INOSTROSA-PSIJAS, ALONSO	Hombre	5
PONCE, RAUL	Hombre	2
FIGUEROA CERNA, CAROLINA	Mujer	6
SILVA TORREALBA, BENJAMIN	Hombre	1
ALVAREZ, MARIANO	Hombre	5
PINONES RIVERA, CARLOS	Hombre	2
SANTANDER-PULGAR, EDGARDO	Hombre	4
SALINAS-CISTERNAS, PAULA ANDREA	Mujer	4
OYARZUN JEREZ, DIEGO P.	Hombre	2
GARRIDO, JOEL	Hombre	1
JULIAN, DASTEN	Hombre	2
CARRASCO-MANZANO, ALDO	Hombre	1
LEIVA, SANDRA	Mujer	14
OYANADER, MARIO A.	Hombre	1
DURAN OJEDA, GERARDO	Hombre	16
PABLO TISI, JOSE	Hombre	1
VELEZ, CONSTANZA	Mujer	1
CATALAN-GAETE, MARCELO AQUILES	Hombre	9
FIGUEROA-ZUNIGA, MARCOS ANTONIO	Hombre	1
ARANCIBIA CAMPOS, RODRIGO	Hombre	1
CACERES, J.	Hombre	1
MANSILLA AGUERO, MIGUEL ANGEL	Hombre	1
COMELIN FORNES, ANDREA	Mujer	1
MARDONES CHARLONE, PABLO	Hombre	1
HENRIQUEZ GUTIERREZ, ISMAEL	Hombre	2
GUZMAN MARUSIC, ALVARO	Hombre	1
QUINTANA LARA, MARCELA	Mujer	2
MANSILLA AGUEERO, MIGUEL ANGEL	Hombre	2
LEIVA GOMEZ, SANDRA	Mujer	3
GALVEZ-AHUMADA, EDELMIRA DELFINA	Mujer	1
CASTRO MENDEZ, NELSON	Hombre	1
SUAREZ CRETTON, XIMENA	Mujer	1
SOTO ESPINOZA, VICTOR	Hombre	1
FUENTES-FLORES, RODRIGO IGNACIO	Hombre	1
BARRAZA, JORGE	Hombre	2
CABRERA, MONICA	Mujer	1
INOSTROZA-RIVERA, RICARDO	Hombre	9
GARCIA, FRANCISCO	Hombre	1
GUNDERMANN KROLL, HANS	Hombre	1
ARANDA BUSTAMANTE, GILBERTO	Hombre	1
MORAGA MAMANI, RUBEN	Hombre	1
