Autor	Género	Total de Artículos
ARAYA, JUAN	Hombre	1
ASTUDILLO, DAN	-	1
FERTILIO, BARBARA	Mujer	1
MORA, MA. SOLEDAD	-	1
BADINEZ, NICOLE	Mujer	1
CONTRERAS, VALERIA	Mujer	1
MORAGA MUNOZ, DANIEL	Hombre	1
CARRENO-ZILLMANN, GABRIEL	Hombre	1
RADA-CHAPARRO, VIVIANA	Mujer	1
SALDARRIAGA-CORDOBA, MONICA MARIA	Mujer	7
LLANOS, LORENA	Mujer	2
ERNST-MARTINEZ, SANTIAGO NORBERTO	Hombre	1
CASTRO-SANCHEZ, RODRIGO ANDRES	Hombre	2
OBREQUE, VICTOR	Hombre	1
ROJAS, MABEL	Mujer	1
NAHUM, M.	-	1
MATUS-BAEZA, FRANCISCO JAVIER	Hombre	2
RADA, VIVIANA	Mujer	1
ILLANES, GABRIELA	Mujer	1
ESPINOZA-PEREZ, CLAUDIA	Mujer	1
ESCARATE-CORTES, PATRICIA	Mujer	1
ILLANES-HERRERO, JULIO	Hombre	1
LEITCHLE, JORGE	Hombre	1
VENEGAS-FAUNDEZ, FELIPE ANDRES	Hombre	1
AHUMADA-MANIA, FREDERICK	Hombre	1
GONZALEZ-LEIVA, HERNAN ALFREDO	Hombre	1
GAJARDO-OYARZO, JUANA	Mujer	1
ESPINOSA M, CARLA	Mujer	1
MORAGA, DANIEL	Hombre	1
SOTO, JEANNETTE	Mujer	1
BRIONES S, FLAVIO	Hombre	1
CÁCERES D, TAMARA	Mujer	1
JARPA F, MARCIA	Mujer	1
FLAVIO BRIONES, S.	-	1
TAMARA CÁCERES, D.	-	1
MARCIA JARPA, F.	-	1
DONOSO, MARÍA LUISA	Mujer	1
GUERRERO-JIMÉNEZ, CLAUDIA JIMENA	Mujer	1
CARREÑO-ZILLMANN, G.	-	1
NÚÑEZ, CLAUDIA ANDREA	Mujer	1
CARREÑO, GABRIEL	Hombre	1
HERRERA, MA VICTORIA	-	1
MORAGA, DANIEL	Hombre	2
RAMIREZ, L. A.	Mujer	1
SALDARRIAGA-CÓRDOBA, MÓNICA	Mujer	1
VENEGAS, FELIPE	-	1
PIZARRO-SOBARZO, FRANCISCO	-	1
GUERRERO-JIMENEZ, CLAUDIA JIMENA	Mujer	2
ANDREA NUNEZ, CLAUDIA	-	1
