Autor	Género	Total de Artículos
VALENZUELA, P	Hombre	1
RUZ, FELIPE ACUNA	Hombre	3
LE, BK	-	1
MENA-VASQUEZ, JUAN	Hombre	1
PEREZ-ARREDONDO, CAROLINA	Mujer	1
VERDUGO, VICTOR	Hombre	13
VERSCHAE, JOSE	Hombre	2
SOSSA, DAVID	Hombre	13
HIDALGO-FRANCO, CHRISTIAN ANDRES	Hombre	8
VILLASENOR, TANIA	Mujer	4
MELA CONTRERAS, JOSE	Hombre	3
MARIN, CESAR	Hombre	15
ARRIAGADA-ACEVEDO, GABRIEL ALEJANDRO	Hombre	13
CANDIA, ALEJANDRO A.	Hombre	4
ARANCIBIA, DUXAN	Hombre	1
XAVIER, A.	Mujer	3
PAZ, ADOLFO A.	Hombre	1
SAN-BLAS, ERNESTO	Hombre	5
VIGUIER, BENOIT	Hombre	6
SEREY, A.	Mujer	1
NGUYEN, BT	-	1
PUYOL WILSON, CAROLINA	Mujer	1
NAVARRO, FEDERICO	Hombre	13
FIGUEROA, JAIME	Hombre	5
CONTRERAS-SOTO, RODRIGO, I	Hombre	21
MESA, K.	Mujer	4
MALDONADO-RIQUELME, CARLOS	Hombre	1
VENEGAS-GONZALEZ, ALEJANDRO	Hombre	5
POBLETE, CARLOS	Hombre	1
PEREZ-AROS, PEDRO	Hombre	30
CORREA, JOSE	Hombre	14
PINERO-FELICIANGELI, LAURA	Mujer	1
BUCAREY, VICTOR	Hombre	9
NGUYEN, BT	-	1
GSCHWENDER, ANTONIO	Hombre	3
BARCELO, MATIAS	Hombre	1
DONOSO, SEBASTIAN	Hombre	4
RIVEROS-BURGOS, C.	Hombre	4
JANNAS-VELA, SEBASTIAN	Hombre	6
FLORES, CHRISTOPHER	Hombre	2
MARTINEZ-GOMEZ, MANUEL	Hombre	1
MULLER-SEPULVEDA, ANDREA JULIETA	Mujer	4
ROJAS, HECTOR ANDRES	Hombre	1
CANALES, MANUEL	Hombre	2
MARTINEZ, DAVID	Hombre	1
SALAS, DAVID	Hombre	13
PEREZ, CARLOS	Hombre	10
SCHILLING, SARA	Mujer	2
VALENCIA, ELIECER	-	3
PALOMO-VELEZ, GONZALO	Hombre	5
SANCHEZ BAYON, A.	-	1
RODRIGUEZ-SOTO, MARIA DE LOS ANGELES	Mujer	2
GIACONI, VALENTINA	Mujer	7
FIGUEIREDO, ANA	Mujer	5
JADUE ROA, DANIELA SOFIA	Mujer	1
VALLADARES-IDE, DENISSE	-	8
LEMOS TEIXEIRA, DAYANE	-	14
HENAO-MANRIQUE, DUVAN ALBERTO	-	4
VILLAVICENCIO, NATALIA A.	Mujer	2
GUAMAN, ROBERT	Hombre	1
OLGUIN, J.	-	1
JUARROS-BASTERRETXEA, JOEL	Hombre	2
PEREZ-FUENTEALBA, SET MADIAN	-	7
CANALES, ANDREA	Mujer	1
BURRONE, MARIA S.	Mujer	14
LE, BA KHIET	Hombre	4
GALVEZ, WALDO	Hombre	2
GOMEZ-ROJAS, DAVID MAXIMILIANO	Hombre	10
JULLIAN, D.	Hombre	1
QUININAO, C.	-	6
TASSARA, SANTIAGO	Hombre	3
NAVARRETE, JAIRO A.	Hombre	3
GONZALEZ-GUARDA, ERWIN	Hombre	1
MUNOZ, GONZALO	Hombre	15
QUIROZ, LORETO	Mujer	1
D&#39;ESPESSAILLES-TAPIA, AMANDA	Mujer	5
