Autor	Género	Total de Artículos
RODRIGUEZ, ARTURO	Hombre	1
VASQUEZ, MANUEL VICENTE	Hombre	1
REYES, D. A.	-	1
FAVI, GLORIA	Mujer	1
ANTOINE-FAUNDEZ, CRISTIAN DAVID	Hombre	2
FREIXAS SEPULVEDA, ALEJANDRA	Mujer	1
SCHALK, ANA E.	Mujer	1
AGUIRRE AZÓCAR, DANIEL	Hombre	1
PINTO, PAULINA MARTINEZ	Mujer	1
ANTOINE, CRISTIAN	Hombre	1
SEPÚLVEDA, ALEJANDRA FREIXAS	Mujer	1
AVEIRO-RÓBALO, TELMO RAÚL	Hombre	1
PAREDES-GONZÁLEZ, X.	-	1
RECALDE-HELLMAN, C.	-	1
BARBOZA-MOLINAS, E.	-	1
CARDOZO, P.	-	1
OJEDA, B.	-	1
ORTEGA, E.	-	1
