Autor	Género	Total de Artículos
CARRASCO, CLAUDIA	Mujer	24
VERDEJO, DIEGO	Hombre	1
VALENZUELA, SOLEDAD	Mujer	1
TAPIA-VENEGAS, ESTELA	Mujer	4
VALLE, CARLOS	Hombre	28
MUJICA JOHNSON, FELIPE NICOLAS	Hombre	2
FERNANDEZ URIBE, SERGIO	Hombre	1
KOCH, TOMAS	Hombre	15
SOTO, JORGE A.	Hombre	5
ORELLANA ARDUIZ, NELLY DEL CARMEN	Mujer	9
ALLIMANT, RONALD DURAN	Hombre	8
EDUARDO ORTIZ-LOPEZ, JUAN	Hombre	1
SALINAS ARAYA, ADAN	Hombre	1
RAMIREZ-ALIAGA, JOSE M.	Hombre	7
MARTINEZ-DIAZ, PABLO ALBERTO	Hombre	1
JOHNSON, FRANKLIN	Hombre	83
BAEZ, CAROLINA	Mujer	2
ESPINOZA, OSCAR	Hombre	17
LEGUIA, MARCELO	Hombre	3
GONZALEZ SAN MARTIN, PATRICIA	Mujer	1
MADRID, BENJAMIN	Hombre	1
ROJAS GARCIA, TIARA	Mujer	1
FLORES CASTILLO, FRANCIS	Hombre	1
GAETE CELIS, MARIA ISABEL	Mujer	1
OSORIO-SALGADO, FELIPE ALBERTO	Hombre	1
ARIAS KRAUSE, JUAN IGNACIO	Hombre	2
CAROCA, JAIME	Hombre	1
BRUNO, MARIO A.	Hombre	7
GONZALEZ, CAROLINA	Mujer	1
MESSENET, FRANCISCO	Hombre	1
DEL CARMEN ORELLANA-ARDUIZ, NELLY	Mujer	2
ROJAS, MARIA J.	Mujer	5
MARTINEZ BECERRA, PABLO RODRIGO	Hombre	1
CLARK LAZCANO, SONIA	Mujer	1
RUBIO, JOSE MIGUEL	Hombre	6
GASCON-MARTIN, FELIPE	Hombre	1
SALAS, CLAUDIO ALEJANDRO	Hombre	1
ACUNA COLLADO, VIOLETA ROSA	Mujer	1
SOTO-SANCHEZ, JOHANA	Mujer	18
MUNOZ REYES, JOSE ANTONIO	Hombre	38
ESCOBAR PULGAR, SEBASTIAN	Hombre	1
GALLARDO JAQUE, ALEJANDRO	Hombre	3
CASTRO VALDEBENITO, HUGO	Hombre	1
SAAVEDRA AVILA, JUAN HUGO	Hombre	1
ERCILLA MORENO, RENE ARIEL	Hombre	1
CARRASCO BELTRAN, HERNALDO	-	5
SEPULVEDA RIVEROS, MARCELA	Mujer	1
RODRIGUEZ-ROJAS, FERNANDA	Mujer	16
DE LA CERDA, CECILIA	Mujer	4
PEREZ GUERRERO, CRISTIAN	Hombre	1
PAVEZ MENA, JAVIERA	Mujer	1
LOPEZ-FUENZALIDA, ANTONIO	Hombre	5
GONZALEZ, JOSE	Hombre	2
CAVIERES-FERNANDEZ, EDUARDO	Hombre	19
GONZALEZ-ESPINOZA, MANUEL	Hombre	4
CARRASCO RODRIGUEZ, ANIBAL	Hombre	1
MONTENEGRO V, E.	-	1
GONZALEZ C, J.	-	1
RODRIGUEZ JARA, MIGUEL ALEJANDRO	Hombre	1
BARRAZA-GOMEZ, F.	Hombre	2
MOLINA-TRINCADO, VERONICA ANDREA	Mujer	39
ROJAS, BRAULIO	Hombre	8
BAHAMONDE, PAULINA A.	Mujer	13
TRONCOSO, MACARENA	Mujer	2
PINTO MEZA, DANIELA	Mujer	3
NASCIMENTO DOS SANTOS, DAIANA	Mujer	11
RAMIREZ-HERRERA, ORIANA	Mujer	5
MANDUJANO BUSTAMANTE, FERNANDO	Hombre	6
MORAGA TOLEDO, SYLVIA	Mujer	1
GARCIA-MORA, MIRNA LORENA	Mujer	1
LOPEZ, DANIEL A.	Hombre	10
ESTAY SEPULVEDA, JUAN GUILLERMO	Hombre	1
ARIAS, JUAN IGNACIO	Hombre	4
JARA FERNANDEZ, MAURICIO	Hombre	7
LLANOS SIERRA, NELSON	Hombre	5
MANCILLA GONZALEZ, PABLO	Hombre	1
CACERES MILNES, ANDRES	Hombre	2
FRANCOIS, JEAN P.	Hombre	6
TORO SANTIBANEZ, GISSELE ANGELINE	-	1
MARCHANT LETELIER, FRANCISCA	Mujer	1
CORTES-TORO, ENRIQUE M.	Hombre	11
PAVEZ, JAVIERA	Mujer	1
ORELLANA, NELLY	Mujer	1
MACHADO GOYANO MAC-KAY, ANA PAULA	Mujer	1
SEGOVIA LACOSTE, PABLO	Hombre	1
LIRA-CERDA, JUAN P.	Hombre	1
MEZA, VERONICA	Mujer	2
RIVERA, DANIELA	Mujer	1
SOTO, EVA	-	1
CERDA, JAVIER	Hombre	1
VELASCO CORTES, AUGUSTO	Hombre	1
CANEPA CASTILLO, PAOLO IGNACIO	Hombre	1
SAAVEDRA-PIMENTEL, FREDDY ALEJANDRO	Hombre	7
ROJAS-RUBIO, IGNACIO	Hombre	4
ROJAS-RIOS, MARIA JACQUELINE	Mujer	5
PASTEN-VALENZUELA, VERONICA PATRICIA	Mujer	5
LEIVA NUNEZ, JAIME PATRICIO	Hombre	3
UGALDE MEZA, LASTENIA	-	2
CASTRO VALDEBENITO, HUGO J.	Hombre	5
CASTRO VALDEBENITO, HUGO J.	Hombre	1
SANCHEZ-SEGURA, XIMENA DEL CARMEN	Mujer	15
GARCES, GONZALO	Hombre	1
SALCEDO-CASTRO, JULIO	Hombre	12
ARDUIZ, NELLY ORELLANA	Mujer	1
JOHNSON, FELIPE MUJICA	Hombre	1
PAZ VIDAL, VICTORIA	Mujer	1
FIGUEROA R, BARBARA	Mujer	1
GONZALEZ M, LISETTE	Mujer	1
JERIA J, ALEJANDRA	Mujer	1
BOLADOS, PAOLA	Mujer	2
FERRETTO SALINAS, GIULIO	Hombre	1
MENDEZ, LORENA	Mujer	2
CORYALAN-QUIROZ, ALEJANDRO	Hombre	1
RODRIGUEZ MANCILLA, HECTOR MARCELO	Hombre	2
GONZALEZ GONZALEZ, DANIUSKA	-	19
LAVERGNE, CELINE	Mujer	17
GUTIERREZ ECHEVERRIA, JEAN P.	Hombre	1
MARTINEZ SOTELO, CAROLINA	Mujer	1
OLIVARES SALINAS, GUIDO	Hombre	1
HUIRIMILLA THIZNAU, ALVARO	Hombre	1
MORALES PINA, EDDIE	Hombre	3
ARAVENA CUEVAS, MARCOS	Hombre	2
ROJAS MIRA, CLAUDIA	Mujer	3
CID, VALESKA	Mujer	3
ORTIZ-GUTIERREZ, R. M.	-	1
CAMUS, JUAN	Hombre	7
FLORES, SUSANA	Mujer	6
GOMEZ LEYTON, JUAN CARLOS	Hombre	1
CARVAJAL-ARAVENA, PATRICIO HERNAN	Hombre	4
LILLO, CAMILO	Hombre	4
FERNANDEZ, NICOLAS	Hombre	1
VIANCOS, PATRICIO	Hombre	3
ESPINOZA DIAZ, OSCAR GERMAN	Hombre	1
PENDOLA, PATRICIA	Mujer	1
TEJO, MAURICIO	Hombre	6
GALEA-ALARCON, JUAN	Hombre	1
GONZALO SALDANA-ALVAREZ, JUAN	Hombre	1
VILUGRON-ARAVENA, FABIOLA	Mujer	16
LOEBELL, RICARDO	Hombre	3
FERNANDEZ URIBE, SERGIO	Hombre	2
CONUECAR, SOFIA	Mujer	2
GUERRA, ALVARO	Hombre	1
SALINAS, DANISA	-	1
RODRIGUEZ JARA, MIGUEL	Hombre	1
ZAMORANO, JORGE	Hombre	2
VALDES-RIVAS, FELIPE ANDRES	Hombre	1
VALENZUELA, NOHELIA	-	7
ANABALON, KAREN	Mujer	1
ARRIAZA-ARDILES, E.	Hombre	5
GUERRERO GONZALEZ, MARIA JOSE	Mujer	1
CALDERON VARGAS, JAVIER IGNACIO	Hombre	1
ARACENA, A.	Hombre	2
CONTRERAS LOPEZ, MANUEL	Hombre	25
GALLARDO, MARA	Mujer	1
GUTIERREZ, DIEGO	Hombre	1
JARA, MATIAS	Hombre	1
POLO, P.	Hombre	18
LEVIPAN, HECTOR A.	Hombre	9
GONZALEZ SOTO, PATRICIO	Hombre	1
RODRIGUEZ PASTENE-VICENCIO, FABIANA	Mujer	1
MAXIMILIANO TELLO, ANDRES	Hombre	1
DIAZ-FLEMING, G.	-	2
DALMAZZO-BERMEJO, ENZO	Hombre	1
ESPINOZA-BRITO, LUIS	Hombre	1
YUING ALFARO, TUILLANG	-	1
MANUEL GARCIA-MANSO, JUAN	Hombre	1
MARDONES-TARE, CLAUDIA	Mujer	1
GALDAMES-MALIQUEO, SERGIO	Hombre	1
LOPEZ, DANIEL A.	Hombre	1
MENESES, ALDO S.	Hombre	1
CERPA LOPEZ, JOSE	Hombre	1
GONZALEZ LAGOS, MARIA I.	Mujer	1
ORELLANA, ROBERTO	Hombre	6
VILLALOBOS-PARADA, BORIS	Hombre	2
MOENNE, F.	Mujer	10
MALDONADO CABELLO, VERONICA	Mujer	1
REYES NUNEZ, JUAN PABLO	Hombre	1
GRAY, KELLI	Mujer	1
CARRASCO-POZO, CATALINA	Mujer	3
MEZA ALIAGA, MONICA	Mujer	1
HERRERA STYLES, PATRICIA	Mujer	1
ROSALES-NEIRA, OSCAR	Hombre	7
FLORES-AQUEVEQUE, V.	Mujer	1
MUJICA JOHNSON, FELIPE NICOLAS	Hombre	1
ORELLANA ARDUIZ, NELLY DEL CARMEN	Mujer	1
REYES LOBOS, JOSE LUIS	Hombre	1
REYES LOBOS, JOSE LUIS	Hombre	1
LOPEZ, JORGE C.	Hombre	1
FLOREZ, JULY	-	1
JARA FERNANDEZ, MAURICIO	Hombre	1
CONCHA-LOPEZ, ROCIO-FERNANDA	-	1
SANCHEZ GONZALEZ, ELIZABETH	Mujer	1
HERSANT, JEANNE	Mujer	4
PALACIOS, JOSE	Hombre	2
TAPIA-MURUA, SERGIO	Hombre	1
CANDIA-CACERES, ALEXIS	Hombre	30
VILLARROEL GUERRA, MAURICIO ARMANDO	Hombre	1
TRONCOSO FELIPE, NAZARETH ANDREA	-	1
