Autor	Género	Total de Artículos
ALEGRIA-MORAN, RAUL A.	Hombre	6
MACUER-GUZMAN, JOHAN	Hombre	1
PEREZ Z, TANYA	Mujer	1
TORRES CH, FRANCISCO	Hombre	1
ZAMARRENO, RICARDO	Hombre	3
CATALDO, C.	Mujer	1
MARTINEZ-ARAYA, JORGE, I	Hombre	7
RAMIREZ-TAGLE, RODRIGO	Hombre	2
RETAMAL SANDOVAL, MARIA PILAR	Mujer	1
ZAPATA URRUTIA, YESSENIA	Mujer	1
NAVES, RODRIGO	Hombre	2
PENALOZA, OSVALDO	Hombre	1
SOTO-VASQUEZ, MARITZA GABRIELA	Mujer	1
ACOSTA-PATRONI, SANDRA YOLANDA	Mujer	1
CELIS-ROZZI, LUIS CRISTIAN	Hombre	1
PEREZ-SEREY, JAZMIN SARITA	Mujer	1
ACURIO, JESENIA	-	1
SANDOVAL, MARIO	Hombre	1
POZO, CRISTIAN	Hombre	1
TORRES, DANIEL	Hombre	2
FUENZALIDA, ROSARIO	Hombre	1
SARABIA-ALVAREZ, PABLO	Hombre	1
HERMOSILLA-PALMA, FELIPE	Hombre	1
DE PAULA PORTES JUNIOR, MOACYR	Hombre	1
LEIVA, FERNANDO	Hombre	2
TRONCOSO, IGNACIO	Hombre	3
AVENDANO MEDINA, PATRICIO	Hombre	1
ABARCA, ALEJANDRA	Mujer	1
SANDOVAL ZUNIGA, MARIA SOLEDAD	Mujer	1
GODOY, JUAN	Hombre	1
LEIVA, J.	-	1
AMAR, GABRIEL	Hombre	1
MORALES, BERNARDO J.	Hombre	1
MEDINA MONSALVE, GRIMANES	-	1
GARRIDO BASTIAS, CENAIDA	-	1
DE LA HOZ RIQUELME, DANNY	Hombre	1
GARCIA ORTEGA, MAURICIO	Hombre	1
TRONCOSO, IGNACIO T.	Hombre	1
VARGAS, D.	Hombre	1
JORQUERA-ARAYA, JOSE	-	1
AGUAYO, CAMILA	Mujer	1
GARCÍA MARTÍNEZ, FELIPE E.	Hombre	1
SALOMON, CARLOS	Hombre	2
