Autor	Género	Total de Artículos
ORYAN, M	Hombre	1
ALCAYAGA, J	Hombre	1
NEIRA, H	Hombre	38
SIMONETTI, JA	Hombre	1
URZUA, A	Hombre	68
MANZUR, J	Hombre	1
HENRIQUEZ, F	Hombre	7
CARRASCO, F	Hombre	1
SLACHEVSKY, A	Mujer	2
FLORES, C	Hombre	1
VALENZUELA, MT	Mujer	1
PAVEZ, J	Hombre	46
CHANA, P	Hombre	66
GOMBEROFF, M	Hombre	1
ALVAREZ-MIRANDA, EDUARDO	Hombre	1
PROSSER, GABRIEL	Hombre	2
SERICHE, GABRIEL	Hombre	2
IVAN REYES-PARADA, MIGUEL	Hombre	1
MIRANDA, PALOMA	Mujer	1
VIERA, MARCO	Hombre	3
ESPARZA-VILLAMAN, AILEEN	Mujer	1
CARLOS VARGAS-GODOY, JUAN	Hombre	1
CORTES-ARRIAGADA, DIEGO	Hombre	7
GARCIA, KILLEN KO	-	4
BRAVO, SCARLETH	-	5
PARRAGA-ALAVA, JORGE	Hombre	8
HERNANDEZ, D.	-	1
MIRANDA, PABLO	Hombre	7
CARRASCO, SEBASTIAN	Hombre	2
ARAYA-CASTILLO, LUIS	Hombre	1
BARRIENTOS, CLAUDIO	Hombre	1
MERICQ, VERONICA	Mujer	2
MENA-VASQUEZ, JUAN	Hombre	4
PEREZ-MARQUEZ, SEBASTIAN	Hombre	52
SANCHEZ-GUERRERO, GISELLE	Mujer	3
HERNANDEZ, RONNY	Hombre	1
BARRERA-AVALOS, CARLOS	Hombre	22
LEIVA-SALCEDO, ELIAS	Hombre	21
ACUNA-CASTILLO, CLAUDIO	Hombre	49
DOCKENDORFF, CECILIA	Mujer	3
PERELLO, JUAN LUIS	Hombre	1
HEVIA, PABLO	Hombre	1
ROMAN ALVAREZ, EDUARDO	Hombre	1
FUENTES, DERIE	-	2
GOTZ, SHIRLEY	Mujer	1
DUBE, SEBASTIEN	Hombre	3
ROSS, CESAR	Hombre	10
PAILLACAR, CARLOS	Hombre	1
SILVA-LABRA, FRANCISCO ANDRES	Hombre	1
BARRAZA, PAULO	Hombre	1
SHANAVAS, S.	-	1
SAEZ-TONACCA, LUIS	Hombre	10
HERNANDEZ, CRISTIAN E.	Hombre	1
DURAN, ESTEBAN	Hombre	2
ESCANILLA, CLAUDIO	Hombre	3
ROMANOVA, N., V	-	4
JIMENEZ FIGUEROA, ANDRES	Hombre	1
OKSENBERG, S.	Hombre	1
MONTES, CHRISTIAN	Hombre	1
VILLEGAS, C.	-	1
ROJAS, A.	Hombre	1
FABA, S.	Hombre	8
TOLEDO, M. J.	-	1
GUTIERREZ, M. A.	-	1
ZAVALLA, E.	-	1
ROMERO, J.	Hombre	12
VEGA, PATRICK	Hombre	2
TORO-IBACACHE, LENISSETT	-	1
