Autor	Género	Total de Artículos
ROJAS-POBLETE, MACARENA	Mujer	3
VELIZ-CAMPOS, MAURICIO	Hombre	1
ARAYA-QUINTANILLA, FELIPE	Hombre	13
VIDAL, ALEJANDRA	Mujer	2
VELASQUEZ, L.	Hombre	5
MORALES-ACOSTA, GINA	Mujer	2
MORENO DONA, ALBERTO	Hombre	1
MORENO-ALIAGA, MARIA J.	Mujer	1
COFRE, CHRISTIAN	Hombre	1
GUERRERO, SIMON	Hombre	4
MORENO, M.	Mujer	4
ALDEA SANCHEZ, PATRICIA	Mujer	3
SANDOVAL-HEVIA, GABRIELA DANIELA	Mujer	1
BELMAR, CAROLINA	Mujer	2
ESTRADA-CUADROS, MILKO	Hombre	1
OLGUIN, YUSSER	-	2
JUICA, NATALIA E.	Mujer	1
SOLAR, PAULA	Mujer	1
ESPINOZA-CERDA, LORENA	Mujer	1
SEPULVEDA-IRIGOYEN, VALENTINA	Mujer	1
RODRIGUEZ-CUELLAR, NICOLE	Mujer	1
BURGOS-RAMIREZ, CAMILA	Mujer	1
FAUNDEZ-MORA, DANIELA	Mujer	1
FEREZ-VIVES, CARLA	Mujer	1
ARTIGAS S. C, DIEGO	Hombre	4
VERGARA-MURUA, FRANCISCO JOSE	Hombre	3
DEVIS, SINDY	Mujer	4
CORTES ROCO, GUILLERMO	Hombre	1
JOFRE SOTO, YANICE	-	1
MORA TRONCOSO, MARCELO	Hombre	1
GALVEZ MELLA, CLAUDIA	Mujer	1
ESPINOZA CONTRERAS, EDUARDO	Hombre	1
VELIZ VELIZ, CARLOS	Hombre	1
MAUREIRA CID, FERNANDO	Hombre	1
ARENAS-CAMPOS, MARCO ANTONIO	Hombre	1
VELIZ VELIZ, CARLOS	Hombre	1
GALVEZ MELLA, CLAUDIA	Mujer	1
MAUREIRA CID, FERNANDO	Hombre	1
MAUREIRA CID, FERNANDO	Hombre	1
MAUREIRA CID, FERNANDO	Hombre	1
LOPEZ NAVIA, SANTIAGO A.	Hombre	2
GUAJARDO MATURANA, RAUL	Hombre	14
GONZALEZ SAN MARTIN, ANDREA	Mujer	1
GONZALEZ-SANCHEZ, EVELYN ANDREA	Mujer	1
HENRIQUEZ-BARRERA, SOLEDAD PAOLA	Mujer	1
GONZALEZ-DE LA ROSA, LUIS ALFONSO	Hombre	1
MORA, GUIDO C.	Hombre	1
VERGARA, CARLA	Mujer	1
LIZANA, JOSSELYN	Hombre	1
BÓRQUEZ, MABEL	Mujer	1
ONETTO PAVEZ, MAURICIO	Hombre	1
COLOMA ROJAS, CLAUDIO	Hombre	1
DIEGO ARTIGAS, S. C.	-	1
ONETTO PAVEZ, MAURICIO	Hombre	1
GARCÍA, CHRISTIAN	Hombre	1
PELLEGRINO H., CONSTANZA	Mujer	2
ARENAS, MARCO ANTONIO	Hombre	1
CID, FERNANDO MAUREIRA	Hombre	2
MITRE, G.	-	1
PÉREZ CARVAJAL, ALEJANDRO	Hombre	1
LLANES CEDEÑO, EDILBERTO ANTONIO	-	1
CELI ORTEGA, SANTIAGO C.	Hombre	1
PRIETO-HONTORIA, P. L.	-	1
GÓMEZ-GARCÍA, ANTONIO	Hombre	2
CASTILLO, DANIEL	Hombre	1
PAVEZ, MAURICIO ONETTO	Hombre	1
BARRIOS-QUEIPO, ENRIQUE AURELIO	Hombre	1
GALLAR-PÉREZ, YAMIRLIS	-	1
JARRÍN, ANDREA ELIZABETH	Mujer	1
SALAZAR, JOSÉ GABRIEL	Hombre	1
MESTRE, MIGUEL MARTÍNEZ FRESNEDA	Hombre	1
MURÚA, FRANCISCO VERGARA	Hombre	1
ARENAS, MARCO ANTONIO	Hombre	1
PRIETO-HONTORIA, P. L.	-	1
BELMAR, CAROLINA	Mujer	1
QUIROZ, LUCIANA	Mujer	1
MORALES, SEBASTIÁN CEA	Hombre	1
GARRIDO, CRISTIÁN ARAVENA	-	1
PELLEGRINO, CONSTANZA	Mujer	1
BELMAR, CAROLINA	Mujer	1
MARTÍNEZ-VÁZQUEZ, JOSÉ GABRIEL	Hombre	1
HENRIQUEZ, S.	Mujer	1
PABLO CATALAN-CUETO, JUAN	Hombre	1
VELIZ, CARLOS VELIZ	Hombre	1
PRIETO-HONTORIA, PEDRO	Hombre	10
PEÑA-TRONCOSO, SEBASTIÁN	Hombre	1
MARCELO, HADWEH BRICEÑO	Hombre	7
CATALÁN-CUETO, JUAN PABLO	Hombre	1
ARAYA-QUINTANILLA, FELIPE	Hombre	1
CEA, DIEGO	Hombre	1
VELASQUEZ, LUIS	Hombre	1
SEGURA, CAMILA	Mujer	1
GUZMAN, ADOLFO	Hombre	1
DANIEL, CASTILLO	Mujer	1
SOLAR, PAULA	Mujer	1
CORREIA DE LIMA, MARIELZA	-	1
GUZMAN MUNOZ, ADOLFO	Hombre	1
ARAYA-QUINTANILLA, F.	-	1
MIRANDA, FELIPE	Hombre	1
MARTINEZ-LIBANO, JONATHAN	Hombre	1
FERRERO-HERNANDEZ, PALOMA	Mujer	1
MU, ALICIA CONTRERAS	Mujer	1
MARCIAL, DIEGO	Hombre	1
MIRANDA, FELIPE	Hombre	1
FLORES, ELIZABETH	Mujer	2
LARA, RAQUEL VILLALOBOS	Mujer	2
URTUBIA, CAROLINA ESTRELLA MUÑOZ	Mujer	1
SANDOVAL-OBANDO, EDUARDO	Hombre	1
VILLAVICENCIO PINTO, EDUARDO	Hombre	1
PEÑA TRONCOSO, SEBASTIÁN	Hombre	1
PEÑA-TRONCOSO, SEBASTIÁN	Hombre	1
VILLALOBOS, RAQUEL	Mujer	1
KLAGGES, CAROLINA	-	1
WESTERMEIER ABUSLEME, KARLA	-	1
MARTÍNEZ RAMÍREZ, SARA	-	1
VELASCO ALDEA, YANET	-	1
BAHAMONDE RETAMAL, KARINA	-	1
MUNOZ, ADOLFO GUZMAN	-	1
HADWEH-BRICEÑO, MARCELO	-	1
SALAZAR, LUIS MANUEL MARCANO	Hombre	2
PEÑA TRONCOSO, SEBASTIAN	-	1
FILHO, JOSE FERNANDES	-	1
GÁLVEZ, CAROLINA POBLETE	-	1
MATURANA, RAUL GUAJARDO	-	1
NAVIA, S. L.	-	1
DURÁN, VALENTINA	-	1
MARCANO SALAZAR, LUIS MANUEL	Hombre	1
ALDEA-SANCHEZ, P.	-	1
PROANO, VERONICA GABRIELA VACA	Mujer	1
RUEDA, CYNTIA PAULINA LOPEZ	Mujer	1
VEGA, NESTOR ANDRES LLORCA	Hombre	1
CID, ENRIQUE FERRERAS	Hombre	1
TRONCOSO, SEBASTIAN PEÑA	Hombre	1
GUARDIA, JAVIERA	-	1
FERRERO-HERNANDEZ, P.	Mujer	10
PEÑA-TONCOSO, SEBASTIÁN	Hombre	16
RUIZ, NATALIA	Mujer	1
FERRERO‐HERNÁNDEZ, PALOMA	-	1
FERRERO-HERNÁNDEZ, PALOMA	-	1
VACA PROAÑO, VERÓNICA GABRIELA	-	1
LÓPEZ RUEDA, CYNTIA PAULINA	-	1
LLORCA VEGA, NÉSTOR ANDRÉS	-	1
FERRERAS CID, ENRIQUE	-	1
PENA-TRONCOSO, S.	-	1
ESPINOZA-SANCHEZ, LAURA	Mujer	1
HENRÍQUEZ, SOLEDAD	-	1
VELASQUEZ, LUIS	-	1
ONETTO PAVEZ, MAURICIO	Hombre	1
TOLENTINO-TORO, KRISNA	-	1
TRONCOSO, SEBASTIAN PENA	Hombre	2
MIRANDA, DAVID G.	Hombre	1
SILVA-SALSE, ANGELA	Mujer	1
CASTILLO, DANIEL	Hombre	3
PEÑA-TRONCOSO, SEBASTIÁN	-	1
