Autor	Género	Total de Artículos
GOMEZ-PEREZ, LUIS S.	Hombre	10
GIOVAGNOLI-VICUNA, CLAUDIA	Mujer	12
TASSO, CUSTODIO	Hombre	1
ROJAS ESCOBAR, LUPERFINA ELOISA	-	1
PARDO-ORELLANA, C. M.	-	1
MONTECINOS, ANGELA	Mujer	1
DELPIANO, CRISTIAN A.	Hombre	5
ARAYA-JAIME, CRISTIAN	Hombre	9
GUERRERO, NATALIA	Mujer	2
FIRPO, V	Mujer	14
LABAYRU, C.	Hombre	1
ORTIZ, D.	Hombre	3
URRUTIA-VISCARRA, F.	Mujer	2
MUNOZ-VERGARA, DANIA BELEN	Mujer	3
CAMARGO, GEOVANI	-	1
FREIRE CORTES, MARIELA	Mujer	1
ROGERIO, BITTENCOURT	-	1
VANESSA, KLEBER	Hombre	1
CASTRO-CARRASCO, PABLO	Hombre	30
MARIA, DUARTE	Hombre	1
CHACANA-OJEDA, MARCELO	Hombre	2
ARAYA PIZARROA, SEBASTIAN	Hombre	1
DIAS, FABRICIO	Hombre	1
GONZALEZ, INGRID	Mujer	1
NILO-CASTELLON, J. L.	-	1
MILLA, F.	-	1
PALLERO, DIEGO	Hombre	5
ASTUDILLO, O.	Hombre	1
RUTLLANT, J. A.	Hombre	1
ORELLANA MCBRIDE, ALEJANDRO	Hombre	1
TORRES, SOARES	-	1
MACUER-GUZMAN, JOHAN	Hombre	2
JAMETT-DIAZ, FABIOLA	Mujer	1
RODRIGUEZ, PALMENIA	-	2
REVEILLENT, MARION	Mujer	1
IGLESIAS, ROSALIA	Mujer	1
REYES, SAMUEL	Hombre	1
JOSE PERALTA-SCHOLZ, MARIA	Mujer	1
SALGADO-GARCIA, PAULINA	Mujer	1
CASTILLO, JUAN P.	Hombre	1
CHAVEZ, CRISTIAN A.	Hombre	2
CISTERNAS-JAMET, JONATHAN	Hombre	1
LOPEZ-CARABALLO, CARLOS H.	Hombre	12
GRAND, ROBERT J. J.	Hombre	1
MACDONELL, SHELLEY	Mujer	5
LEON-LOBOS, PEDRO MAURICIO	Hombre	1
TAPIA SILVA, HUGO	Hombre	1
GONZALEZ-TEUBER, MARCIA	Mujer	12
PINTO, KATHERINE	Mujer	1
VEJAR ASEM, RODRIGO	Hombre	1
SILVA, VALERIA A.	Mujer	1
SILVA, DARIO	Hombre	1
SAIZ, GUSTAVO	Hombre	5
ROJAS, ARMANDO	Hombre	1
MUNOZ-RIVERA, RODRIGO A.	Hombre	4
JIMENEZ, ELIZABETH	Mujer	1
REVEILLET, MARION	Mujer	2
RODRIGUEZ ROJAS, PALMENIA DE LA CRUZ	-	2
URIBE, ELSA	Mujer	7
STUCKEN, KARINA	Mujer	19
RODRIGUEZ, ANGELA	Mujer	17
ALFARO-KONG, FERMIN MAURICIO	Hombre	44
ARAYA, MICHAEL	Hombre	1
GALLARDO, DAVID A.	Hombre	1
