Autor	Género	Total de Artículos
LARENAS, J	Hombre	3
ARAYA, R	Hombre	1
OLIVARES, M	Hombre	2
FLORES, C	Hombre	1
TAPIA, F	Hombre	1
ATLAS COLLABORATION	Corporación	3
CACERES, RODRIGO	Hombre	1
GONZALEZ, RODRIGO A.	Hombre	2
SIMMONDS, JOCELYN	Mujer	7
HERNANDEZ, YOSSEBANN	-	1
NURUZZAMAN	-	1
FIZA, N.	-	1
YAEGGY, B.	-	34
STRAHSBURGER, ERWIN	Hombre	2
TORRES, ROMINA	Mujer	14
SOSSA, DAVID	Hombre	1
ZAMBRANO, HARVEY A.	Hombre	9
PRIETO, PABLO	Hombre	17
MARTINEZ, JOSE MANUEL	Hombre	11
CATALAN, P.	Hombre	63
HIDALGO VELASQUEZ, YOCELYNE	-	3
PEREZ-JULVE, NICOLAS A.	Hombre	3
FRYDEL, DEREK	Hombre	20
VALLE, CARLOS	Hombre	15
NURUZZAMAN	-	1
ELMISERY, AHMED M.	Hombre	6
KUZNETSOV, ALEKSEY E.	Hombre	59
PENA, C.	Mujer	6
ALVARADO-SEGUEL, P.	Hombre	6
FLORES, RAUL P.	Hombre	24
SANHUEZA, KAREN SCARLETTE	Mujer	1
HENRIQUEZ, JONATAN	-	1
CARRASCO, SAMUEL	Hombre	1
LOPEZ, CLAUDIA	Mujer	34
FERMANDOIS, GASTON A.	Hombre	6
ESPARZA, ROLANDO	Hombre	1
HEVIA, SAMUEL	Hombre	1
DEL CAMPO, VALERIA	Mujer	29
MURILLO, ALEJANDRO A.	Hombre	1
VASQUEZ-PEREZ, LUZ MONICA	Mujer	3
RODRIGUEZ-CASTRO, LAURA	Mujer	4
SILLS-GARRIDO, PABLO	Hombre	1
STEGMAIER, RAUL	Hombre	37
VERA, PATRICIO	Hombre	1
RIVAS, RICARDO	Hombre	1
HERMOSILLA, CRISTOPHER	Hombre	16
OTAROLA-PASTEN, ENRIQUE HOMERO	Hombre	53
NURUZZAMAN	-	1
GANESAN, R.	-	1
MENESES, RODRIGO	Hombre	3
MARTINEZ-MONTES, EDUARDO	Hombre	1
FUENTES-ALBURQUENQUE, SEBASTIAN	Hombre	5
MORA, LUIS A.	Hombre	4
GONZALEZ, FELIPE	Hombre	7
ARAYA, IGNACIO	Hombre	13
OSORIO, MAYRA	Mujer	3
CORREA-BURROWS, P.	Mujer	12
PALLERO, DIEGO	Hombre	1
CHICARDI, E.	Hombre	9
MARTINEZ-OLGUIN, MATIAS FERNANDO	Hombre	1
HERNANDEZ, CATALINA	Mujer	2
RHEINSCHMIDT, UDO	-	1
VALDIVIA LEFORT, PATRICIO	Hombre	1
MACAYA, CONSTANZA C.	Mujer	3
DURAN, ROBERTO E.	Hombre	14
AGUILA-TORRES, PATRICIA	Mujer	2
ROMERO SCHMIDT, JAVIER	Hombre	3
ISLA, PABLO	Hombre	8
MAHER, RAJIV	Hombre	1
RIVERA, SEBASTIAN	Hombre	7
LIZANA, RICARDO	Hombre	16
ROMERO, C.	Hombre	1
GONZALEZ-RODRIGUEZ, LUIS EDUARDO	Hombre	1
QUEVEDO, D.	Hombre	1
AVELLO-FONTALBA, VERONICA	Mujer	3
MOREIRA, A.	Hombre	11
VALENZUELA-ORMENO, MIRYAM PAOLA	Mujer	20
ZAMORANO, NICOLAS	Hombre	1
SOTO-COVASICH, J.	Mujer	2
ZHANG, D. F.	-	1
RIQUELME, FABIAN	Hombre	1
KRELINA, M.	Hombre	14
ASTUDILLO-GARCIA, CARMEN	Mujer	1
AELOIZA, A.	-	1
ECHEVERRIA, C.	-	1
ASTUDILLO, ALAND	-	1
REUTTER-DE LA MAZA, JUAN LORENZO	Hombre	1
VALENZUELA, CAMILO	Hombre	1
RAMIREZ, D.	-	1
FAUNDEZ, MARTIN	Hombre	5
OSTROVIDOV, A., I	-	1
VALDEBENITO, ABEL	Hombre	1
PUEN, ANTONIO	Hombre	4
CORNEJO-GARCIA, IVAN	Hombre	26
JAQUES, ALDONZA	Hombre	29
LIMONGI, M.	Hombre	3
VOURKAS, IOANNIS	Hombre	49
GONZALEZ, I. V.	-	1
CORREA, J. I.	-	3
OSORIO-SALGADO, FELIPE ALBERTO	Hombre	11
ALVIZ-GAZITUA, PABLO	Hombre	4
DIAZ-RIQUELME, PABLO IVAN	Hombre	2
DELPIANO, JOSE	Hombre	4
VALDEBENITO, VICTOR	Hombre	3
CEVALLOS, BENJAMIN	Hombre	4
ALFONSO, I.	-	1
FAJARDO PENA, SANTIAGO	Hombre	2
GARCIA-MELIAN, J.	Hombre	1
DIAZ-CADIZ, MANUEL E.	Hombre	1
GALINDO, GABRIEL E.	Hombre	6
ZANARTU, MATIAS	Hombre	70
REYES, FELIPE	Hombre	1
GOMEZ, JAIME	Hombre	1
SANCHEZ, CLAUDIA J.	Mujer	1
MARIN, DIXON	Hombre	1
BARRERA-MARTINEZ, JAVIERA PAULINA	Mujer	1
MATAMOROS, C.	-	2
FARINAS, ALESSANDRA	Mujer	1
NANCO, LINCO J.	-	2
DIAZ ROBLES, LUIS ALONSO	Hombre	1
BITTNER, GUSTAVO	Hombre	1
MALINOWSKI, MARIUSZ	Hombre	1
ESCALONA, P.	Hombre	16
KAUAK, I	-	2
GODOY BARRERA, PEDRO	Hombre	2
ARENAS, CRISTOPHER	Hombre	2
GATICA, DIEGO	Hombre	2
KNOP, FREDERIK	Hombre	1
MASCARO, PATRICIO	Hombre	1
PALACIOS, PABLO	Hombre	1
CALLENDER, CONSTANZA	Mujer	1
BRAVO-LECHUGA, CLAUDIO IGNACIO	Hombre	1
BARINGER, P.	-	1
KHALIL, S.	Mujer	16
REINA, G.	Hombre	1
ARBOLAEZ, HERNANDEZ	-	1
STUCKEN, KARINA	Mujer	1
CALDERON-CASTILLO, PAULA	Mujer	1
YUAN, RUIJUN	-	1
PALHARINI, RODRIGO C.	Hombre	7
CORRAL, CRISTOBAL	Hombre	7
ARAYA, M.	-	1
REYES-LOBAO TELLO, PABLO RICARDO	Hombre	1
SOTO, MARCELO A.	Hombre	69
SOTOMAYOR, CAMILO G.	Hombre	1
KING, STEPHEN F.	Hombre	1
FORERO, JUAN C.	Hombre	3
RUIZ, GUSTAVO	Hombre	1
MADARIAGA, LEONARDO	Hombre	9
GONZALEZ, LORENA	Mujer	1
SOTO, S.	Hombre	1
PEREZ-IBACACHE, RICARDO	Hombre	7
OLIVARES-QUERO, DANIEL EDUARDO	Hombre	8
EGUREN, JAVIER	Hombre	1
FUICA, FRANCISCO	Hombre	10
SOTO, O.	Hombre	24
ROJAS-ABATTE, FELIPE	Hombre	2
BROOKS, T.	-	5
CUADROS, JHOSMARY	-	3
MARCENARO, BRUNO	Hombre	1
GOMEZ, RENE	Hombre	1
ALFARO-BITTNER, K.	Mujer	13
PALUDI, MARIANA, I	Mujer	1
LYUBOVITSKIJ, V.	Hombre	90
SANTIS, PATRICIO	Hombre	1
PIO, E.	Hombre	11
ASPEE, JUAN	Hombre	1
BARRA-SANHUEZA, BARBARA	Mujer	4
SOLIS, MIGUEL A.	Hombre	6
ARROYUELO-BILLIARDI, DIEGO	Hombre	26
GALLARDO, RODOLFOA A.	Hombre	41
KAKAY, ATTILA	Hombre	1
LANDEROS, PEDRO	Hombre	61
VINNIKOV, DMITRI	Hombre	2
BRICENO, MERCEDES	Mujer	1
PAROT, ALEJANDRO	Hombre	1
PACHECO-SANJUAN, ALEJANDRO	Hombre	7
CEBALLOS-BERMUDEZ, ANDRES	Hombre	2
YEPES, JUAN	Hombre	3
ROJAS-ARRIAGADA, ALVARO	Hombre	1
ESPINOZA, JOSE R. C.	Hombre	2
VIVAS, LEONARDO	Hombre	2
AHUMADA-CORTES, MARITZA ELIZABETH	Mujer	3
VERA-VELIZ, MARIO ANDRES	Hombre	1
GAJARDO, PEDRO	Hombre	38
MUNOZ-NAVARRO, ARIEL ANDRES	Hombre	3
ARANCIBIA, MARIETTE	Mujer	1
TELLO, KAREM	Hombre	8
ORTEGA BLU, RODRIGO	Hombre	6
LOPEZ, GABRIELA	Mujer	2
