Autor	Género	Total de Artículos
BURROWS, R	Mujer	1
DELCAMPO, MR	-	1
DIAZ, CHRISTIAN ARRIAGADA	Hombre	1
DARDAILLON, FRANCISCA	Mujer	1
VALENTINA, FERNANDEZ	-	1
MELISSA, DIAZ	-	1
VERDUGO, MURIEL	Mujer	1
JAVIERA, PORTUS	-	1
WALDO, DIAZ-VASQUEZ	-	1
FRANCISCA PENA, D&#39;ARDAILLON	-	1
FORNES, ROMINA	Mujer	1
GALLEGOS, J.	Hombre	1
ARAYA-CASTILLO, LUIS	Hombre	1
MIMICA, MILENA	Mujer	7
SHANAVAS, S.	-	1
LORETO, MASSARDO	-	1
RODRIGUES, DORNELAS	-	1
GIOVANNI, REZENDE	-	1
ROSELIA, LAISA	-	1
ESPINOZA, SOFIA	Mujer	2
RODRIGUEZ, A.	Mujer	1
MEDINA, DANIEL A.	Hombre	12
SUAREZ, RUDY	Hombre	3
GODOY, MARCOS	Hombre	26
QUIJADA, YANET	-	9
FUENTEALBA AREVALO, FABIOLA	Mujer	1
ESPINOZA ESPINOZA, JONATHAN	Hombre	3
SALAZAR IBACACHE, CAROLINA	Mujer	1
BALL, ERIC	Hombre	1
DEL AGUILA, GABRIELA	Mujer	1
FUENZALIDA, M. J.	Mujer	1
RETAMAL, IGNACIO N.	Hombre	1
JACOBS, R.	Mujer	1
MANSILLA-VIVAR, RODRIGO	Hombre	1
GAYO-HERNANDEZ, EUGENIA MONTSERRAT	Mujer	4
JARA, C.	Mujer	1
PINO MUNOZ, MONICA	Mujer	1
ACEVEDO, KAROL	Hombre	5
ISLER-SOTO, CARLOS AUGUSTO LUIS	Hombre	1
LEILANE, RODRIGO	Hombre	1
KATHERINE WEINBERGER, S.	-	1
ARANGUIZ, SOFIA	Mujer	1
FARIAS, NATALIA	Mujer	1
JESUS VELOZ, JORGE	Hombre	1
FAUNDEZ-CONTRERAS, JENNIFER	Mujer	1
BRANDAN-SIQUES, ENRIQUE HECTOR	Hombre	4
CECILIA PESCE, MARIA	Mujer	1
SALDIVIA, JOSEFINA	Mujer	1
ESPINOZA-MELLADO, PAULA	Mujer	1
MONTINI, FRANCISCA	Mujer	1
VEGA, KARLA	Mujer	1
CHIARELLO, DELIA	Mujer	1
CORNJEO, CECILIA	Mujer	1
SALGADO F, APOLO	-	1
VILLEGAS P, CYNTHIA	Mujer	1
PARRA C, VINCKA	-	1
AROS B, JESSICA	Mujer	1
MANALICH, JAIME	Hombre	2
MARIA MORALES, ANA	Mujer	1
ARAYA, JOSE	Hombre	1
CORNEJO, ISABEL	Mujer	4
LIRA, MATIAS	Hombre	2
FERNANDEZ-HUERTA, LINCOYAN	-	1
VICENCIO, FELIPE	Hombre	9
NAVARRETE, CAMILA	Mujer	3
THIBAUT, KATHERINA	Mujer	1
PASTEN, V.	Mujer	1
HURTADO-TORRES, SEBASTIAN	Hombre	2
COBO-RENDON, RUBIA	-	5
RIVERA-SOTO, JOSE	Hombre	2
VITO, A.	-	1
ARAYA-QUINTANILLA, FELIPE	Hombre	19
SOZA, ANDREA	Mujer	21
SAAVEDRA PEREZ, BORIS OSVALDO	Hombre	1
MARIANO BARTOLI, LUIS	Hombre	1
CEBALLOS, G.	Hombre	2
RODRIGUEZ-LOPEZ, LIEN	Mujer	19
MONTOYA, JAVIER	Hombre	1
GODOY, BENIGNO E.	Hombre	1
LANGER, ALVARO, I	Hombre	9
ESPINOZA, OSCAR	Hombre	1
ALEJANDRA, JUANA	Mujer	1
SARADANGANI, KABIR P.	Hombre	1
MARIN BASTIAS, CAROLINA	Mujer	1
EDUARDO MARTINEZ, DAVID	Hombre	1
GARRIDO MENDEZ, ALEX	Hombre	2
HERNANDEZ, ANDREA	Mujer	2
CARACUEL, RODRIGO	Hombre	1
ESPINOZA, MARIO	Hombre	2
MARTINEZ PERNIA, DAVID	Hombre	1
BURBULIS, IAN	Hombre	11
BRINTRUP, KATE	Mujer	1
ARREDONDO RAMIREZ, CAROLINA	Mujer	1
SALGADO-FERNANDEZ, HORACIO L.	Hombre	2
GUZMAN-OYARZO, DINA	Mujer	2
LOPEZ, MATIAS	Hombre	3
HENRIQUEZ, BERTA	Mujer	4
CARRASCO-WONG, IVO	Hombre	7
VIEIRA, GONCALVES	-	1
BIGNON, EDUARDO A.	Hombre	2
ALBORNOZ, AMELINA	-	2
