Autor	Género	Total de Artículos
PALMA, PATRICIA	Mujer	13
CORVACHO, OSCAR	Hombre	1
LOPEZ-CEPEDA, JOSE F.	Hombre	1
CABRERA-PARDO, JAIME ROBERTO	Hombre	3
VASQUEZ, HECTOR	Hombre	6
ROCA, A.	Hombre	1
SEPULVEDA K, GONZALO	Hombre	2
ESPINOSA, AGUSTIN	Hombre	1
ORDENES, RODRIGO	Hombre	3
ESPINOZA-OLIVA, ROBERTO	Hombre	2
CABRALES GOMEZ Y MARIA, FERNANDO	Hombre	1
RAMIREZ PRADO, MARIA ANGELICA	Mujer	1
GALVEZ CASTEX, PABLO	Hombre	1
VALDES GONZALEZ, GONZALO	Hombre	1
GAYO-HERNANDEZ, EUGENIA MONTSERRAT	Mujer	2
FRISANCHO QUENTA, NORMA	Mujer	1
JIMENEZ VERAMENDI, ANDREA	Mujer	1
ATENAS, BORIS	Hombre	5
GUTIERREZ, MARIA V. ALVARADO	Mujer	1
ADASME, MONICA A. NEIRA	Mujer	1
JOSE, FERREIRA	-	1
LUIS BUSTOS, EMILIO SOTO	Hombre	1
PEREZ-ZAPATA, DANIEL	Hombre	8
CORNEJO-PONCE, LORENA	Mujer	67
MONTEDONICO, MARCIA	Mujer	1
MENDOZA-ARAYA, PATRICIO	Hombre	1
ROJAS-AYALA, B.	Mujer	14
ESPINOZA-NAVARRO O, OMAR	Hombre	57
LAGOS-OLIVOS, C. S.	-	1
PARRA, CLAUDIO	Hombre	10
BENEDITO, VIVIAN	Mujer	1
CAPRILES, JOSE M.	Hombre	17
SIERPE, VICTOR	Hombre	2
COLLAO CAICONTE, PATRICIO	Hombre	1
CARVALLO LBANEZ, JUAN	Hombre	1
FERNANDEZ FUENTES, JORGE	Hombre	1
VALDIVIA-PINTO, RICARDO	Hombre	13
CASTRO CRUZ, CRISTOBAL	-	1
STEFONI, CAROLINA	Mujer	18
DE LUCA, S.	Hombre	2
FRANCOS, M.	Hombre	18
GAVILAN, MIGUEL U.	Hombre	7
CHIAPPA, ROXANA	Mujer	3
MIRALLES CUEVAS, SARA	Mujer	1
LANGER, ALVARO, I	Hombre	2
ARAYA, JUAN	Hombre	2
LARA, FELIPE	Hombre	32
ESPINOZA, OSCAR	Hombre	24
MANCILLA-GAMBOA, JUAN-CLAUDIO	-	1
CARRASCO SOTO, SEBASTIAN	Hombre	1
SALGADO-GARCIA, PAULINA	Mujer	1
SITZIA, LUCA	Hombre	12
MONTT, INDIRA	Mujer	4
LOPEZ-SILVA, PABLO	Hombre	1
RUZ-ZAGAL, RODRIGO DANIEL	Hombre	35
ROJAS PAEZ, LUISA	Mujer	1
LARA E, BERNARDO	Hombre	1
HERNANDEZ-SARAVIA, LUCAS PATRICIO	Hombre	5
VALENZUELA, MARIO	Hombre	1
CABRERA-REINA, A.	Hombre	11
PONCE-CORREA, FELIPE	Hombre	13
VALDEBENITO-TAMBORINO, FELIPE	Hombre	2
GAVILAN, VIVIAN	Mujer	32
SEGOVIA, JOHAN	Hombre	1
AVALOS, BORIS	Hombre	2
VIERA CASTILLO, DANIEL OMAR	Hombre	2
FLORES LOREDO, MARIO ALONSO	Hombre	1
