Autor	Género	Total de Artículos
ALDERETE, J	Hombre	18
FLORES, C	Hombre	1
ICAZA, G	Mujer	10
PALOMO, I	Hombre	156
REVILLOT-NARVAEZ, DAVID	Hombre	1
PEREZ-GALARCE, FRANCISCO	Hombre	2
ALVAREZ-MIRANDA, EDUARDO	Hombre	60
BERNASCONI, ANDRES	Hombre	1
SALINAS-CORNEJO, JOSSELYN	Hombre	7
PENALVER-CRUZ, A.	Mujer	10
ALVAREZ-BACA, J. K.	Mujer	8
ALFARO-TAPIA, A.	Hombre	7
FUENTES-SOLIS, RODRIGO	Hombre	8
BASTIAS, ADRIANA	Mujer	4
HERNANDEZ, D.	-	23
JARA BERMEO, ADRIANA	Mujer	1
LOPEZ-CABANA, ZORAYA E.	-	8
HIDALGO ARAMBURU, PAULO	Hombre	1
WICKETT, NORMAN J.	Hombre	39
GONZALEZ GONZALEZ, JAIME ANDRES	Hombre	1
CONCHA-MEYER, ANIBAL	Hombre	5
ALARCON, MARCELO	Hombre	58
HERNANDEZ, BLANCA	Mujer	2
GUTIERREZ-GAMBOA, GASTON	Hombre	31
JIMENEZ FIGUEROA, ANDRES	Hombre	22
LEON GONZALEZ, BARBARA	Mujer	1
POBLETE GAJARDO, MELISSA	Mujer	1
CACERES-PINTO, MARCELA PATRICIA	Mujer	8
BICHE, J.	-	1
GARCIA-ALMANZA, YADIRIS ESMITH	-	2
FUENTES, MAURICIO	Hombre	1
SALEHI, ALI	-	1
HOSSEINZADEH, MOHAMMAD ALI	Hombre	40
SALGUEIRO, YAMISLEYDI	-	38
HADIIZADEH, HASSAN	Hombre	1
ARAUJO, LETICIA DE ALBUQUERQUE	Mujer	1
ALVAREZ, ALEJANDRA J. H.	Mujer	1
BUSTAMANTE, MIGUEL A. U.	Hombre	1
VIVANCO, S.	Hombre	1
PINCHEIRA, GONZALO	Hombre	21
VELIZ-CAMPOS, MAURICIO	Hombre	8
ZACCONI, FLAVIA	Mujer	6
BUSTOS, DANIEL	Hombre	10
HERRERA, GUSTAVO	Hombre	1
SANTELICES-MOYA, ROMULO	Hombre	1
GUTIERREZ-BAHAMONDES, JIMMY H.	Hombre	11
NUNEZ-VIVANCO, G.	Hombre	1
MARQUEZ-MONTESINOS, J. C.	-	1
RAMIREZ-SANCHEZ, DAVID MAURICIO	Hombre	16
BALLESTA, PAULINA	Mujer	9
FUENTEALBA, ROBERTO	Hombre	4
LEON, TOMAS	Hombre	1
RAMIREZ, CLAUDIO	Hombre	50
FRITZ, RUBEN ALEJANDRO	Hombre	1
TORRES, F. C.	-	1
CASTILLO, C. A.	-	1
MAUREIRA, A.	-	1
FRANCO-CAMPOS, F. A.	-	1
CANETE-SALINAS, PAULO	Hombre	4
NORAMBUENA, MAXIMILIANO	Hombre	1
RODRIGUEZ, CRISTINA	Mujer	2
ANGEL GONZALEZ, MIGUEL	Hombre	2
RAMOS-VEGA, V.	Hombre	2
OBANDO, PATRICIA A.	Mujer	1
SEPULVEDA, CESAR	Hombre	8
NUNEZ, OLINDA	Mujer	1
QUINTEROS CACERES, MARIA ELISA	Mujer	11
RUF, KURT	Hombre	1
JAIN, JALAJ	-	10
OSORIO, MAYRA	Mujer	2
AYALA, ANTONIO	Hombre	1
PINTO-GUTIERREZ, CRISTIAN	Hombre	9
LOBOS, OLGA	Mujer	15
VILLARROEL, CARLOS A.	Hombre	6
GAVILAN, MIGUEL U.	Hombre	1
SOTO, GONZALO	Hombre	1
GONZALEZ, GLORIA	Mujer	1
DAVIS, SERGIO	Hombre	1
PHAM, T	-	1
BRAVO-GAETE, MOISES FELIPE	Hombre	9
MONESHA, S.	-	1
VARGAS-CHACOFF, LUIS HUMBERTO	Hombre	1
POLO, EFRAIN	Hombre	20
IBARRA-ARELLANO, NICOL	Mujer	1
LANGER, ALVARO, I	Hombre	2
ALFARO-AYLLON, FERNANDO DANIEL	Hombre	1
RONDON, MOROS	-	1
SANGRONIS, CERMENO	-	1
BURGOS-EDWARDS, ALBERTO	Hombre	15
BARRIOS-SANMARTIN, JOCELINE	Mujer	4
PINA-CASTRO, FELIPE E.	Hombre	1
NUNEZ-VIVANCO, GABRIEL	Hombre	11
VALLEJOS, GABRIEL A.	Hombre	2
BESOAIN, FELIPE	Hombre	30
RAMOS-TAPIA, IGNACIO	Hombre	1
PARRA-SALDIAS, MARIBEL	Mujer	1
CORONADOL, ROBERTO	Hombre	1
CERDA, ALADINO	Hombre	13
SOLAR, ABRAHAM	Hombre	2
VIDAL, IGNACIO	Hombre	12
JARA, KARLA	Mujer	2
OLIVEIRA, MARISA	Mujer	1
MORA, CAROLINA	Mujer	1
THERIAULT, NICOLAS	Hombre	6
OROSTICA, KAREN	Mujer	3
FIGUEROA, CARLOS R.	Hombre	54
ESTRADA, FELIX	Hombre	10
LOBOS, GUSTAVO A.	Hombre	45
CASTILLO, FELIPE	Hombre	1
GONZALEZ, DANIEL R.	Hombre	33
MOORE-CARRASCO, RODRIGO	Hombre	43
SEPULVEDA, E.	-	6
SCHOTT-VERDUGO, STEPHAN N.	Hombre	9
GAMBETTA-TESSINI, KARLA	Mujer	18
DURAN, ROCIO	-	6
ARAYA, JOSE M.	Hombre	2
MIRABAL, Y.	-	6
SANTOS, L. S.	Hombre	114
LOPEZ-ASTORGA, MIGUEL	Hombre	118
PEREZ, PEDRO	Hombre	1
LARA E, BERNARDO	Hombre	8
DUBOIS-CAMACHO, KAREN	Mujer	1
BRAVO-URETA, BORIS E.	Hombre	42
SANCHEZ-TELLEZ, SOLEDAD VICTORIA	Mujer	1
PLAZA, DAVID	Hombre	11
WEHINGER, SERGIO	Hombre	34
HERNANDEZ-RODRIGUEZ, ERIX W.	-	1
FERNANDEZ-PURATICH, H.	Hombre	9
REBOLLEDO-LEIVA, R.	Hombre	12
SIMIRGIOTIS, MARIO J.	Hombre	4
GONZALEZ-GONZALEZ, ANGELICA	Mujer	10
RUBIO-MELENDEZ, MARIA E.	Mujer	12
BALLESTEROS, GABRIEL, I	Hombre	22
PONCE-CORREA, FELIPE	Hombre	2
FIGUEROA, H.	Hombre	1
SUAZO-GALDAMES, IVAN C.	Hombre	71
PHAM, T	-	1
CERVERA, MANUEL	Hombre	1
GRANDON, NATALIA	Mujer	3
DIAZ HERRERA, CLAUDIO	Hombre	11
TROFIMCHUK, S.	Hombre	54
VALENZUELA-RIFFO, FELIPE	Hombre	23
GRANDON, STEPHANIE	Mujer	2
GONZALEZ-ARAYA, MARCELA	Mujer	36
DOMINGUEZ-SANTOS, DAVID	Hombre	19
RETAMAL-BRAVO, CESAR	Hombre	1
MORALES-NAVARRO, SAMUEL	Hombre	6
DEANA, NAIRA FIGUEIREDO	Mujer	1
FAUNDEZ CASANOVA, CESAR P.	Hombre	1
GONZALEZ-GUTIERREZ, PAULO ALEJANDRO	Hombre	2
RODRIGUEZ, ALEJANDRO F.	Hombre	1
MANCILLA, FERNANDO	Hombre	1
MEDINA PERALTA, S.	-	2
PULGAR, HERNAN	-	1
CRUZAT, CLAUDIO	Hombre	4
MORENO-BRIEVA, FERNANDO	Hombre	1
CANCINO CANCINO, VICTOR EDUARDO	Hombre	3
PEREIRA, M.	Hombre	6
LOPEZ-OLIVARI, RAFAEL	Hombre	3
MOYA-HERNANDEZ, MARIO G.	Hombre	3
