Autor	Género	Total de Artículos
VIERA, MARCO	Hombre	1
CORTES-ARRIAGADA, DIEGO	Hombre	81
ARAYA-CASTILLO, LUIS	Hombre	1
BARRAZA, PAULO	Hombre	1
SANDOVAL, LUIS	Hombre	21
SERRANO DEL POZO, IGNACIO	Hombre	1
MARIOTTI-CELIS, MARIA	Mujer	16
SIVASAMY, RAMESH	Hombre	4
ASTORGA, C.	Mujer	1
RODRIGUEZ-UMANZOR, FERNANDO E.	Hombre	8
THIAM, ABDOULAYE	-	25
ARIAS-CARRASCO, RAUL	Hombre	3
OROZCO, HERNAN	Hombre	11
WRIGHTON-ARANEDA, KERRY	Mujer	14
ALIAGA, JUAN	Hombre	31
GALLEGUILLOS-GUZMAN, SUSAN C.	Mujer	1
DUARTE, M.	Hombre	5
GONZALEZ-CAMUS, JORGE	Hombre	3
ARNET-CALLEALTA, VIRGINIA	Mujer	1
KUSCHEL, KATHERINA	Mujer	12
OSORIO-VEGA, PATRICIO	Hombre	1
MALDONADO-RIQUELME, CARLOS	Hombre	1
CABRERA-REINA, A.	Hombre	16
FIGUEROA, ALEJANDRO	Hombre	2
GONZALEZ, ILEANA	Mujer	2
MAGNA, O.	Hombre	4
MUNOZ-BECERRA, KARINA	Mujer	1
DEHGHAN FIROOZABADI, ALI	Hombre	65
CONTU, MARTINO	Hombre	1
VALENCIA GALVEZ, LORENA	Mujer	6
CAMPOS KAHLER, EDUARDO	Hombre	1
VASQUEZ, JOSE	Hombre	2
MARIN, JUAN F.	Hombre	2
DIAZ, ISAAC	Hombre	2
DURAN, ALICIA	Mujer	1
ORELLANA-PALMA, PATRICIO	Hombre	12
CARRASCO, RAUL	Hombre	1
OROZCO RAMOS, HERNAN	-	1
DURAN SANTIS, MARISOL	Mujer	1
SEPULVEDA, FRANCESCA	Mujer	1
VILLEGAS, PAMELA	Mujer	4
LECAROS ALVARADO, ALBERTO	Hombre	1
LOPEZ, DANIEL A.	Hombre	4
OLAVE, MIGUEL SANHUEZA	Hombre	1
SANDOVAL ALAMOS, EDUARDO	Hombre	3
MONTEJO-SANCHEZ, SAMUEL	Hombre	58
MUNOZ, CHRISTIAN	Hombre	1
POUCHUCQ, LUIS	Hombre	3
VERGARA-MORALES, JORGE	Hombre	6
DURAN, C.	Hombre	1
PEREZ ARANEDA, KARLA	Mujer	2
POBLETE-CASTRO, IGNACIO	Hombre	3
RODRIGUEZ CABELLO, TABATHA PAMELA	Mujer	3
MOYA-BELTRAN, ANA	Mujer	2
GUERRERO, KARLO	Hombre	1
MORENO, M.	Mujer	4
GONZALEZ-ROCHA, G.	Hombre	2
RUBY-FIGUEROA, RENE	Hombre	29
CIFUENTES, NASLA	-	1
SANDOVAL, MARIA P.	Mujer	1
CASTANEDA ZUMAETA, BRAULIO	Hombre	1
AZOCAR FERNANDEZ, PABLO	Hombre	1
SALDIVIA M, ZENOBIO	Hombre	1
MARIN CUEVAS, ERIK	Hombre	1
SALAMANCA OSORIO, FERNANDO	Hombre	1
REYES GONZALEZ, CARLOS ANDRES	Hombre	1
GATICA VILLARROEL, LEONARDO	Hombre	1
HURTADO, C.	Hombre	2
ORTEGA, DANIELA E.	Mujer	1
GONZLEZ-TORO, F.	-	1
GUAJARDO-PARRA, M.	-	1
ARAYA-NAIL, M.	-	1
FARKAS, C.	Hombre	1
PREZ-PANTOJA, D.	-	1
PATRICIO PACHECO, H.	-	1
RAFAEL CORREA, D.	-	1
MIRANDA, E.	-	1
GIM-KRUMM, MINGHAI	-	5
ALFARO-CERDA, PATRICIO JAVIER	Hombre	1
VELIZ-SILVA, DIEGO FELIPE	Hombre	2
PUENTE, LUIS	Hombre	1
FUENTES FLORES, PABLO	Hombre	1
OLIVA H, SEBASTIAN	Hombre	9
HUAICO MALHUE, ANA ISABEL	Mujer	2
PAOLA ACEITUNO, O.	-	2
DA SILVA ALVES, KEYLA MANUELA ALENCAR	Mujer	1
SALDIVIA M, ZENOBIO	Hombre	1
ROJAS MIRA, CLAUDIA	Mujer	4
ARAYA-HERMOSILLA, RODRIGO	Hombre	13
ROA, K.	Mujer	1
KLARIAN VERGARA, JOSE	Hombre	1
TEJO, MAURICIO	Hombre	2
MONTERO-ALEJO, ANA L.	Mujer	11
MATICORENA, EITTY	-	1
ROSALES-VERA, MARCO	Hombre	10
