Autor	Género	Total de Artículos
REPETTO, P	Mujer	1
PALOMO, I	Hombre	1
VELARDE, V	Mujer	1
DUCLOS, J	Hombre	1
ANTONIO LORCA-CARVAJAL, MARCOS	Hombre	1
CALIXTO, ANDREA	Mujer	12
FERNANDEZ, DANIEL	Hombre	1
HERZOG, RUBEN	Hombre	8
MELLA-RAIPAN, JAIME ALBERTO	Hombre	45
LAZO, PAMELA	Mujer	14
PEREZ-MARQUEZ, SEBASTIAN	Hombre	2
BAHAMONDES, CAROLINA	Mujer	2
VIVERO, MARTIN	Hombre	1
NAVARRO-QUEZADA, NIEVES	Mujer	5
ARMANDO TORRES-ROBLES, CRISTIAN	Hombre	1
CARVALLO, VALERIA	Mujer	1
ALARCON, MARCELO	Hombre	1
SOTOMAYOR ZARATE, RAMON	Hombre	1
MELLADO, DIEGO	Hombre	9
HERNANDEZ, BLANCA	Mujer	1
PENALOZA-SANCHO, VALENTIN	Hombre	4
JUJIHARA, GERMAN	Hombre	1
GUEVARA-ALVEZ, PAMELA BEATRIZ	Mujer	1
LOPES, CARDOSO	-	1
CHESNUT, RANDALL M.	Hombre	1
FONSECA, OLIVEIRA	-	1
BARRIOS-GUZMAN, CARMEN	Mujer	1
CORTES, FANNY M.	Mujer	1
PRIETO, PABLO	Hombre	1
ESPINOZA-OLIVA, ROBERTO	Hombre	3
PARDO DIAZ, CAROLINA	Mujer	2
NUNEZ-ACUNA, P.	Mujer	1
MORALES, NAITI A.	-	4
MIRANDA-FUENTES, CLAUDIA	Mujer	11
LEMUS, DIEGO	Hombre	3
MITE VIVAR, MIGUEL ANGEL	Hombre	1
UZUNDAG, M.	Hombre	22
ORTIZ MANSILLA, RODRIGO OSVALDO	Hombre	1
FUENTES SAZO, NICOL ALEJANDRA	Mujer	1
JAMET AGUILAR, ANDRES EDUARDO	Hombre	1
MOYA ARREDONDO, ALBERTO ANIBAL	Hombre	1
GONZALEZ MOYA, MAURICIO ANDRES	Hombre	1
RAMIREZ GUERRA, ALDO AUGUSTO	Hombre	1
MARTINEZ RAMIREZ, PATRICIA HAYDEE	Mujer	1
LABAYRU, C.	Hombre	3
DIAZ, Y.	-	9
PLAZA-PASTEN, GUIDO	Hombre	1
VIDELA, LEONARDO	Hombre	5
GONZALEZ-ADONIS, FRANCISCA	Mujer	3
ANDREA, JISLAINE	-	1
HALES, ANTONIO S.	Hombre	1
CUADRA-STIPETICH, JORGE RODRIGO	Hombre	4
CASTILLO, KAREN	Mujer	23
SANTIBANEZ, NICOLAS	Hombre	1
CARMONA, EMERSON	Hombre	8
CORDEIRO, CRISTIANO	Hombre	1
PINE MORAN, MARCELO	Hombre	1
SAAVEDRA, CAROLINA	Mujer	11
TUDELA, B.	Hombre	6
TORRES-ROBLES, CRISTIAN	Hombre	1
VARGAS, CARLOS A.	Hombre	2
VALENCIA, OSCAR	Hombre	3
PINTE, CHRISTOPHE	Hombre	1
CECHINEL, CRISTIAN	Hombre	2
SANTAMARIA-MIRANDA, ALEJANDRO	Hombre	6
LOPEZ-NAVASL, E.	-	1
HAN, H.	Hombre	1
JIMENEZ, A.	Mujer	3
GOMEZ, JUDITH	Mujer	1
