Autor	Género	Total de Artículos
PETERS RODRIGUEZ, BASTIAN	Hombre	1
SANDOVAL-RAMIREZ, MARCELO	Hombre	2
JIMENEZ, CLAUDIA	Mujer	1
PINTO BALEISAN, CAROLINA	Mujer	5
MORALES-TAPIA, PABLO	Hombre	1
RIVERA-SOTO, JOSE	Hombre	10
VASQUEZ CARROSA, CLAUDIO	Hombre	1
LEAL, CARLA	Mujer	1
LINEROS, MATIAS	Hombre	1
BASTIAS, BAYRON	-	1
ARAVENA, KEVIN	Hombre	1
FIGUEROA, MATIAS	Hombre	1
RODRIFGUEZ, LUIS	Hombre	1
VILLEGAS, BRAT	-	1
HINOJOSA, FRANCISCO	Hombre	1
GUTIERREZ, BRYAN	Hombre	1
GUERRA, AUGUSTO	Hombre	1
BERNALES, ORLANDO	Hombre	1
ROMAN, CLAUDIO	Hombre	1
COLLANTES, SEBASTIAN	Hombre	1
FORERO, JUAN C.	Hombre	2
WEINBORN, ROMY M.	Mujer	3
CORTES, GUILLERMO	Hombre	24
ASPEE, JUAN	Hombre	1
BARRAZA-GOMEZ, F.	Hombre	15
CRISTI-MONTERO, CARLOS	Hombre	7
FARIAS MUNOZ, LILA	Mujer	1
CUELLO RIVEROS, VARINIA	Mujer	1
PALMA, M. A.	Mujer	1
OCARANZA, CLAUDIA	Mujer	1
WEINBERGER, KCHATRIANI	-	1
ESCUDERO QUIROZ, FILIP	Hombre	1
ARAYA-SASSI, CLAUDIO	Hombre	1
ESPINOZA, PAULA	Mujer	1
SOTOMAYOR LOPEZ, FRANCISCO IVAN	Hombre	1
ORELLANA LEPE, GLADYS	Mujer	1
WARNIER MEDINA, ALBERTO	Hombre	1
OLIVARES FERNANDEZ, PEDRO	Hombre	1
FUENZALIDA ALVAREZ, CRISTIAN	Hombre	1
SIERRA-BARRERA, CRISTIAN DAVID	Hombre	1
DIAZ HIDALGO, GERARDO	Hombre	1
DUCLOS, MELANIE	Mujer	1
OYANEDEL, EDUARDO	Hombre	4
TIEMANN, PAULA	Mujer	2
GUAJARDO-MEDRANO, MARCOS	Hombre	1
PONS-VARGAS, GONZALO	Hombre	1
RAMIREZ, CHENDA	-	3
LOPEZ-FUENZALIDA, ANTONIO EDUARDO	Hombre	1
PINTO-PARDO, NICOLAS	Hombre	2
SAN MARTIN, CAROLA AVENDANO	Mujer	1
MARTINEZ-ZELAYA, GONZALO	Hombre	10
MERA-LEMP, MARIA JOSE	Mujer	1
ESPINA BOCIC, PAOLA	Mujer	1
GIBERT GALASSI, JORGE	Hombre	1
ESTRADA-CUADROS, MILKO	Hombre	2
RAMOS-AVASOLA, SERGIO	Hombre	4
BARRAZA GOMEZ, FERNANDO	Hombre	1
CACERES-SEGUEL, CESAR	Hombre	7
CAMPOS-SOTO, RICARDO	Hombre	5
HERRERA, FELIPE	Hombre	7
KOGAN-BOCIAN, MARCELO JAVIER	Hombre	10
CANALES TAPIA, PEDRO	Hombre	1
CACERES SEGUEL, CESAR	Hombre	1
RIVERA, MAITE	Mujer	1
RODRIGUEZ-CANALES, CAROLINA ISABEL	Mujer	3
MORALES, R.	Hombre	1
DIAZ, NATALIA	Mujer	1
ROLDAN, REYNALDO	Hombre	1
YANEZ-MUNOZ, DIEGO ALBERTO	Hombre	1
VALLE, C.	-	1
CAJAS LUNA, BORIS	Hombre	1
AVENDANO, CAROLA	Mujer	1
MUNIZAGA, CRISTIAN	Hombre	1
TEJOS, CONSTANZA	Mujer	1
HENRIQUEZ, RAUL	Hombre	1
GUERRA-VIO, CRISTOBAL ARMANDO	Hombre	1
MENDOZA-MUNOZ, J.	-	1
BARONTI-CORREA, FLAVIO	Hombre	1
ROJAS-HUBE, M.	-	1
MONTESINOS, M.	Hombre	6
MUNOZ-CORREA, LUIS RODRIGO	Hombre	1
STEPHENS, N.	-	1
ASTE-LEIVA, BRUNO	Hombre	1
DELGADO ORMENO, ALEX	Hombre	1
RIVERA LOBOS, PATRICIO	Hombre	1
TAPIA ARANDA, VICTOR	Hombre	1
ARRIAGADA, VALENTINA	Mujer	1
BENEVENTI, ANGELO	Hombre	1
CANEPA, VALENTINA	Mujer	1
PARRAGUEZ, MELISA	Mujer	1
TOLEDO-GONZALEZ, CARLOS	Hombre	1
ALVAREZ, ANA	-	1
ALVAREZ-FERRADAS, CARLA A.	Mujer	1
VALDES BADILLA, PABLO ANTONIO	Hombre	57
MORALES, ROLANDO	Hombre	2
JIMENEZ, MAURO	Hombre	1
PENA, JUAN	Hombre	2
TESTART, ALBA	Mujer	1
DIAZ-RUBIO, FRANCO JAVIER	Hombre	1
DESCALZI, C. A.	Mujer	1
MADARIAGA, PATRICIO	Hombre	1
VIDAL-GAMBOA, CAROLINA	Mujer	11
GIL-MONTENEGRO, PILAR MACARENA	Mujer	3
NEAMAN, ALEXANDER	Hombre	1
CHAVEZ, DAVID	Hombre	1
ARTEAGA, ALVARO	Hombre	1
DYER-HOPWOOD, BRIAN SPENCER	Hombre	2
VALLE-BARRA, CARLA	Mujer	1
CANCINO-ARAYA, CECILIA	Mujer	1
ARAYA, MANUEL A.	Hombre	8
ALISTER-HERDENER, CLAUDIO ANDRES	Hombre	10
ROJAS-CACERES, SANDRA	Mujer	2
GOMEZ, PATRICIO	Hombre	3
GAVILAN, ISMAEL	Hombre	2
PINTO, CAROLINA	Mujer	1
LOPEZ VILLANUEVA, CINDY ROCIO	Mujer	1
PICO GARCIA, HAROLD DAVID	Hombre	1
MOYA, FABIAN	Hombre	1
REYES-LILLO, DANILO	Hombre	3
LARREA-MEZA, SEBASTIAN	Hombre	1
CHAMORRO MALDONADO, MIGUEL	Hombre	3
SANTA-CRUZ, JAVIER	Hombre	5
FERNANDEZ OLGUIN, DANIELA	Mujer	1
GISSI BARBIERI, MAGDALENA	Mujer	1
ROJAS, SONIA A.	Mujer	1
PARRAGUEZ, RAFAEL	Hombre	2
ESCUDERO QUIROZ-AMINAO, FILIP	Hombre	1
TORRES LÓPEZ, TOMÁS	Hombre	1
ASENCIO-O, CAROLINA	Mujer	1
SALAS-G, MARÍA CONSUELO	Mujer	1
LINEROS, MATÍAS I.	Hombre	1
URIBE, GUILLERMO E.	Hombre	1
OLMOS, CÉSAR J.	Hombre	1
ARAVENA NÚÑEZ, PABLO	Hombre	2
NAVARRETE, MARIELY	-	2
CARO, JUAN C	Hombre	1
PRATO, ANGELO	Hombre	1
ITALO, SECCHI	-	1
RIVERA, DANIEL	Hombre	1
SEGURA, KEVIN	Hombre	1
THRAVES, EDGAR	Hombre	1
OJEDA, MARÍA ISABEL	Mujer	1
SILVA ARRIOLA, LISANDRO	-	1
SILVA A, LISANDRO	-	1
GAVILÁN, ISMAEL	Hombre	1
SILVA-HAUN, RODRIGO	Hombre	1
VIERA ÁLVAREZ, CHRISTIAN	Hombre	2
AHUMADA, VÍCTOR	Hombre	1
CABEZAS-FLORES, LORENA	Mujer	2
ASTE LEIVA, BRUNO	Hombre	1
MÉNDEZ ROYO, DANIELA	Mujer	1
CANALES-TAPIA, PEDRO	Hombre	1
TAPIA, PEDRO CANALES	Hombre	3
MUÑOZ LP, CAROLINA	Mujer	1
MORALES S, DEBORAH	Mujer	1
NÚÑEZ R, TATIANA	Mujer	1
DROGUETT, YOEL G.	Hombre	1
GUERRA VIO, CRISTÓBAL	Hombre	1
LOZA-REBOLLEDO, CATALINA	Mujer	1
SALGADO-MIRANDA, BERNARDA	Mujer	1
SÁNCHEZ-VERGARA, JONATHAN	Hombre	1
SARMIENTO-IBACETA, FERNANDA	Mujer	1
LAGOS-TISSIE, DENISSE	-	2
CORDERO-TORRES, KARINA	Mujer	1
VERA VEGA, JAIME	Hombre	1
VIDAL, CRISTIAN	Hombre	1
RODRÍGUEZ, KARLA	Mujer	1
MORALES, GRACE	Mujer	1
BETTA, RAFAELLA	-	1
GALASSI, JORGE GILBERT	Hombre	1
FARÍAS, KATERIN	-	1
LAMPAS, SABRINA	Mujer	1
