id_autor_gs,full_name,country,result_found,first_name,last_name,probability,gender,samples
6m9QuU0AAAAJ,Alejandro Martinez,CL,True,Alejandro,Martinez,1,male,1564
BACpSgMAAAAJ,Cinthya Silva,CL,True,Cinthya,Silva,0.96,female,47
FNJu63oAAAAJ,Gissella López Rivera,CL,True,Gissella,Rivera,1,female,7
NOhW5BsAAAAJ,Francisco Jara-Moroni,CL,True,Francisco,Jara-Moroni,1,male,2108
jFUhGJ4AAAAJ,Marisol Verdugo Paiva,CL,True,Marisol,Verdugo,0.96,female,255
kJYElUgAAAAJ,Carla Gajardo-Poblete,CL,True,Carla,Gajardo-Poblete,0.97,female,673
CTMc-BMAAAAJ,Juan Ormeño,CL,True,Juan,Ormeño,1,male,1749
f2EUDakAAAAJ,María Paz Rodríguez Hopp,CL,True,María,Paz,1,female,108
WeRoc2UAAAAJ,FRANCISCO PIZARRO OBAID,CL,True,Francisco,Pizarro,1,male,2108
22ynv5cAAAAJ,Rodrigo Cordero,CL,True,Rodrigo,Cordero,0.99,male,2771
cX9G2roAAAAJ,Carol Chan,CL,True,Carol,Chan,0.96,female,190
Hhoq2vQAAAAJ,christian e salas,CL,True,Christian,Salas,1,male,86
z9FaQOIAAAAJ,Camilo Riffo,CL,True,Camilo,Riffo,1,male,559
zdCAVjEAAAAJ,Rodrigo Kraemer T.,CL,True,Rodrigo,Kraemer,0.99,male,2771
zijvoVcAAAAJ,Luis Mamani,CL,True,Luis,Mamani,1,male,2313
XW97ScgAAAAJ,Leonardo Alberto Velásquez Castro,CL,True,Leonardo Alberto,Castro,1,male,826
XSjuYDIAAAAJ,José Adrián Paredes,CL,True,José Adrián,Paredes,0.99,male,405
q3RS7sUAAAAJ,Diego A. Mabe Castro,CL,True,Diego Mabe,Castro,0.99,male,1663
njuTWAMAAAAJ,yasna Segura S.,CL,True,Yasna,Segura,0.99,female,217
hX_RXpYAAAAJ,María José Sandoval Muñoz,CL,True,María José,Muñoz,0.77,male,493
uzgIPGEAAAAJ,Julie Santin,CL,True,Julie,Santin,1,female,15
3iPVVA4AAAAJ,pedro Cid-Agüero,CL,True,Pedro,Cid-Agüero,1,male,848
LF5fu2YAAAAJ,Boris Cvitanic Díaz,CL,True,Boris,Díaz,0.99,male,210
Wg1y9G8AAAAJ,Mario Garay A.,CL,True,Mario,Garay,1,male,871
2kS8a2sAAAAJ,Karena Espinoza Saavedra,CL,True,Karena Espinoza,Saavedra,0.87,female,329
KsbNW3IAAAAJ,Melisa Gañan Mora,CL,True,Melisa,Mora,0.98,female,44
qadKpt4AAAAJ,Claudia Estrada Goic,CL,True,Claudia,Estrada,0.97,female,1751
4mYWJ2cAAAAJ,Cristian Parra Garretón,CL,True,Cristian,Parra,1,male,2566
6yh6bS4AAAAJ,Alvaro Gonzalez-Holgado,CL,True,Alvaro,Gonzalez-Holgado,0.99,male,725
3VleXFMAAAAJ,Karen Correa (https://orcid.org/0000-0002-9041-5351),CL,True,Karen,Correa,0.99,female,674
4wojxC0AAAAJ,Camila López Eccher,CL,True,Camila,López,0.98,female,1616
85ZCDXYAAAAJ,Jorge Astudillo Muñoz,CL,True,Jorge,Muñoz,0.99,male,2344
3QAFjsIAAAAJ,Sergio Fuentealba-Urra,CL,True,Sergio,Fuentealba-Urra,1,male,1171
6x1VTYoAAAAJ,"Jean Paul Maidana, PhD",CL,True,Jean Paul,Maidana,1,male,27
9F69pKwAAAAJ,Armin Lüer-Villagra,CL,True,Armin,Lüer-Villagra,1,male,19
7QSZ0_EAAAAJ,Matias Gomez,CL,True,Matias,Gomez,0.99,male,824
902uXNcAAAAJ,Paulo Victor Sousa Lima,CL,True,Paulo Victor,Lima,1,male,1344
PTwIRWQAAAAJ,Cristian Zahn Muñoz,CL,True,Cristian,Muñoz,1,male,2566
NSOjXNoAAAAJ,Guillermo Esteban Laclote-Gutierrez,CL,True,Guillermo Esteban,Laclote-Gutierrez,0.99,male,1282
WRBc52YAAAAJ,Juan Pablo Reyes Barria,CL,True,Juan Pablo Reyes,Barria,1,male,3799
U5D07jQAAAAJ,Carla Sepúlveda Díaz,CL,True,Carla,Díaz,0.97,female,673
v4RIDA8AAAAJ,Mauricio Alejandro Gonzalez Sepulveda,CL,True,Mauricio Alejandro Gonzalez,Sepulveda,1,male,2927
MBpVv9UAAAAJ,Vladia Torres Herrera,CL,True,Torres,Herrera,0.67,female,3
Nji1QHEAAAAJ,Soledad Martínez,CL,True,Soledad,Martínez,0.98,female,360
rBL_tasAAAAJ,Cristian Vidal Barría,CL,True,Cristian Vidal,Barría,1,male,2570
ws7NlEQAAAAJ,Zamir Bugueño-Fuentes,CL,True,Zamir,Bugueño-Fuentes,0.99,male,706
s0HuPMkAAAAJ,Javier Silva-Zurita,CL,True,Javier,Silva-Zurita,1,male,1272
AoaAMSsAAAAJ,Jordan Hernandez-Martinez,CL,True,Martinez,Jordan,0.67,male,3
DZIMqWUAAAAJ,Pablo Rodríguez,CL,True,Pablo,Rodríguez,1,male,2045
Al_EZfkAAAAJ,Nicole Caldichoury,CL,True,Nicole,Caldichoury,0.98,female,833
Yv8msv8AAAAJ,Jovan Kuzmicic,CL,True,Jovan,Kuzmicic,0.93,male,5235
G5oepYkAAAAJ,JAMES STEWART JENKINS FISHER,CL,True,James,Jenkins,0.97,male,36
HpgziLUAAAAJ,BIN YANG .,CL,True,Bin Yang,.,0.75,male,6418
MSWhjR4AAAAJ,Chiara Mazzucchelli,CL,True,Chiara,Mazzucchelli,1,female,7
WYuQqLAAAAAJ,Claudio Ricci,CL,True,Claudio,Ricci,0.99,male,1560
box2RZYAAAAJ,James S. Jenkins,CL,True,James,Jenkins,0.97,male,36
-Vih6DwAAAAJ,Theosamuele Signor,CL,True,Signor,Theosamuele,0.99,male,92
-0IJzukAAAAJ,Gaston Osvaldo Alvear Gomez,CL,True,Gaston Osvaldo,Gomez,0.99,male,313
VLr18d0AAAAJ,Cristian Farias Araneda,CL,True,Cristian,Araneda,1,male,2566
ulc5eR4AAAAJ,Lilian Teresa García Pérez,CL,True,Lilian Teresa,Pérez,0.99,female,300
zH8yvXkAAAAJ,Jorge Belmar Soto,CL,True,Jorge,Soto,0.99,male,2344
ACILFTAAAAAJ,Camilo Briones-Valdivieso,CL,True,Camilo,Briones-Valdivieso,1,male,559
LDwk6YUAAAAJ,HERNAN FELIPE CORTEZ LÓPEZ,CL,True,Hernan Felipe,López,0.99,male,2725
MuJGNaMAAAAJ,Ximena Vial Lecaros,CL,True,Ximena,Lecaros,0.98,female,498
RSDdHQsAAAAJ,Ana Mombiedro,CL,True,Ana,Mombiedro,0.98,female,448
ax19uBgAAAAJ,Sebastián A. Peredo Cárdenas,CL,True,Sebastián,Cárdenas,1,male,409
nTVoi3cAAAAJ,Yerko Ortiz,CL,True,Yerko,Ortiz,1,male,101
u_gjTz8AAAAJ,Gabriel Sotomayor,CL,True,Gabriel,Sotomayor,1,male,736
tiwJPEAAAAAJ,Miguel Reyes Almarza,CL,True,Miguel Reyes,Almarza,0.99,male,1060
yh-UZDwAAAAJ,Marcela Zúñiga Reyes,CL,True,Marcela,Reyes,0.98,female,1002
Gjjpj3oAAAAJ,FRANCISCA VALENTINA BENÍTEZ PEREIRA,CL,True,Francisca Valentina,Pereira,0.97,female,1824
HryLKOQAAAAJ,MARIA JOSE CADAGAN PEREZ,CL,True,Maria Jose,Perez,0.98,female,476
J1j-qEYAAAAJ,Francisco Diaz Klaassen,CL,True,Francisco,Diaz,1,male,2108
U8G4i88AAAAJ,Camilla Eldridge,CL,True,Camilla,Eldridge,0.99,female,14389
0ZTIlx8AAAAJ,Rocío Garcés Ferrer,CL,True,Rocío,Ferrer,1,female,63
7V3ud64AAAAJ,Suman Saha,CL,True,Suman,Saha,0.75,male,6301
6OCZWwcAAAAJ,Luciano Sáez Fuentealba,CL,True,Luciano,Fuentealba,1,male,127
4jxeo-wAAAAJ,Erick Carreño,CL,True,Erick,Carreño,1,male,225
R7AqUXwAAAAJ,MARIA CONSUELO FIGUEROA GARAVAGNO,CL,True,Maria Consuelo,Figueroa,1,female,7
Qqth0dIAAAAJ,Alba Martinez-Ruiz,CL,True,Martinez,Alba,0.67,male,3
4eRIGAMAAAAJ,Simón Rodríguez Espinoza,CL,True,Simón,Espinoza,1,male,29
qv61TlIAAAAJ,Luz Maria Trujillo,CL,True,Luz Maria,Trujillo,1,female,30
umU2m0cAAAAJ,Oscar Jaramillo Castro,CL,True,Oscar,Castro,0.99,male,756
ysyaEpkAAAAJ,Javiera Peña Fredes,CL,True,Javiera,Fredes,0.98,female,927
fUHqhXcAAAAJ,ANA SOFIA LEON LINCE,CL,True,Ana Sofia,Leon,0.99,female,754
3l4cREgAAAAJ,CLAUDIO RODRIGO MARTINEZ GUZMAN,CL,True,Claudio Rodrigo Martinez,Guzman,0.99,male,4334
y4PB3P8AAAAJ,Trisha Bhowmik,CL,True,Trisha,Bhowmik,0.98,female,3194
Pg5yHG4AAAAJ,arghajit jana,CL,True,Arghajit,Jana,1,male,5
1SWjcC0AAAAJ,INIGO DE LA MAZA GAZMURI,CL,True,Inigo,de la Maza,0.99,male,172
NfaA-HUAAAAJ,ROLORD SEVERE (0000-0002-7682-1310),CL,True,Coooo-Oooz-?g?z-Ieio?,Rolord Severe,0,unknown,0
Rs3fd90AAAAJ,Rolando Reyes,CL,True,Rolando,Reyes,0.99,male,143
U2Y6nOEAAAAJ,Claudia Figueredo,CL,True,Claudia,Figueredo,0.97,female,1751
M2F36kYAAAAJ,Amaury Alejandro Farías Cea,CL,True,Alejandro,Cea,1,male,1564
aozOf2UAAAAJ,Pilar Cisternas-Salcedo,CL,True,Pilar,Cisternas-Salcedo,0.99,female,305
bUbpyscAAAAJ,Nicolás Santiago Lefin Hinojosa,CL,True,Nicolás Santiago,Hinojosa,1,male,541
wlpfUGMAAAAJ,Liomnis Osorio Laurencio,CL,True,Laurencio,Osorio,1,male,32
PIQIj-MAAAAJ,Isabel Méndez,CL,True,Isabel,Méndez,0.99,female,432
TuVUC4IAAAAJ,Camilo Matus-Olivares,CL,True,Camilo,Matus-Olivares,1,male,559
ukCs3TEAAAAJ,Gustavo Troncoso-Tejada,CL,True,Gustavo,Troncoso-Tejada,1,male,555
-Hf1z_wAAAAJ,LORENA ANDREA FIERRO PEREZ,CL,True,Lorena Andrea,Perez,0.97,female,1900
I40UntkAAAAJ,Oscar Aguayo Benzan,CL,True,Oscar,Aguayo,0.99,male,756
LGhiaJcAAAAJ,Ana Bustamante-Mora,CL,True,Ana,Bustamante-Mora,0.98,female,448
tSg7wIoAAAAJ,Hugo Molinares,CL,True,Hugo,Molinares,0.99,male,452
trZe4IEAAAAJ,Nicolás Vera Álvarez,CL,True,Nicolás Vera,Álvarez,0.99,male,400
vydPnhsAAAAJ,PAOLO MACAYA VITALI,CL,True,Paolo,Macaya,0.99,male,74
Pd_Hu94AAAAJ,Benjamin Leyton,CL,True,Benjamin,Leyton,0.99,male,336
uoDtujgAAAAJ,LEONOR MARICELA RIQUELME SEGURA,CL,True,Leonor Maricela,Segura,0.99,female,92
VBRyoHUAAAAJ,Paz Cárcamo Fincheira,CL,True,Paz,Fincheira,0.99,female,167
ZXQw56QAAAAJ,Daniel Henríquez Fernández,CL,True,Daniel,Fernández,1,male,1613
wLAy6GUAAAAJ,Paola Arroyo-Vargas,CL,True,Paola,Arroyo-Vargas,0.98,female,854
NUmCAUIAAAAJ,Ítalo Javier Alí Diez,CL,True,Javier,Diez,1,male,1272
pF1c7jIAAAAJ,Wilson Torres Berni (ORCID: 0000-0001-7375-7299),CL,True,Wilson Berni,Torres,0.94,male,99
EfqQlVQAAAAJ,Rodrigo F. Arellano A.,CL,True,Rodrigo,Arellano,0.99,male,2771
PSz98JcAAAAJ,PATRICIO ANDRES MENA MALET,CL,True,Patricio Andres,Mena,1,male,2383
3ObB95AAAAAJ,Cristián E. Pesce G.,CL,True,Cristián,Pesce,0.99,male,188
4R0zhLEAAAAJ,Carlos Cortés-Albayay,CL,True,Carlos,Cortés-Albayay,1,male,2782
FVVJSK4AAAAJ,"Ramírez, A.M.R.",CL,True,,,,,
Xi_l0-8AAAAJ,felipe pezo,CL,True,Felipe,Pezo,1,male,2439
Bvc93fcAAAAJ,IGNACIO ANDRES JOFRE FERNANDEZ,CL,True,Ignacio Andres,Fernandez,1,male,1850
