idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Muon reconstruction performance of the ATLAS detector in proton–proton collision data at  s =13 TeV,"G Aad, B Abbott, J Abdallah, B Abeloos, R Aben, M Abolins, OS AbouZeid, ...","The European Physical Journal C 76 (5), 1-30, 2016",4320*,2016
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Performance of pile-up mitigation techniques for jets in  p p collisions at  s = 8  TeV using the ATLAS detector,"G Aad, B Abbott, J Abdallah, R Aben, M Abolins, OS AbouZeid, ...","The European Physical Journal C 76 (11), 1-36, 2016",3994*,2016
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Performance of the ATLAS trigger system in 2015,"M Aaboud, G Aad, B Abbott, J Abdallah, B Abeloos, R Aben, OS AbouZeid, ...","The European Physical Journal C 77 (5), 1-53, 2017",3790,2017
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Improved luminosity determination in pp collisions at  using the ATLAS detector at the LHC,"G Aad, T Abajyan, B Abbott, J Abdallah, S Abdel Khalek, AA Abdelalim, ...","The European Physical Journal C 73 (8), 1-39, 2013",2813*,2013
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Electron efficiency measurements with the ATLAS detector using 2012 LHC proton-proton collision data,Atlas Collaboration,"arXiv preprint arXiv:1612.01456, 2016",2087,2016
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Topological cell clustering in the ATLAS calorimeters and its performance in LHC Run 1,"G Aad, B Abbott, J Abdallah, R Aben, M Abolins, OS AbouZeid, ...","The European Physical Journal C 77 (7), 1-73, 2017",1987,2017
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC,"G Aad, T Abajyan, B Abbott, J Abdallah, SA Khalek, R Aben, B Abi, ...","Physics Letters B 726 (1-3), 88-119, 2013",1909*,2013
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Search for the  decay of the Standard Model Higgs boson in associated  production with the ATLAS detector,ATLAS collaboration,"arXiv preprint arXiv:1409.6212, 2014",1881*,2014
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Combined Measurement of the Higgs Boson Mass in  Collisions at  and 8 TeV with the ATLAS and CMS Experiments,"G Aad, B Abbott, J Abdallah, R Aben, M Abolins, OS AbouZeid, ...","Physical review letters 114 (19), 191803, 2015",1878,2015
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Jet energy measurement and its systematic uncertainty in proton–proton collisions at  s = 7  TeV with the ATLAS detector,"G Aad, T Abajyan, B Abbott, J Abdallah, S Abdel Khalek, R Aben, B Abi, ...","The European Physical Journal C 75 (1), 1-101, 2015",1728,2015
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Search for new phenomena in final states with an energetic jet and large missing transverse momentum in pp collisions at  s = 8 TeV with the ATLAS detector,"G Aad, B Abbott, J Abdallah, S Abdel Khalek, R Aben, B Abi, M Abolins, ...","The European Physical Journal C 75 (7), 1-43, 2015",1693*,2015
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Measurement of the muon reconstruction performance of the ATLAS detector using 2011 and 2012 LHC proton–proton collision data,"G Aad, B Abbott, J Abdallah, S Abdel Khalek, R Aben, B Abi, M Abolins, ...","The European Physical Journal C 74 (11), 1-34, 2014",1631,2014
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Jet energy scale measurements and their systematic uncertainties in proton-proton collisions at  with the ATLAS detector,"M Aaboud, G Aad, B Abbott, J Abdallah, B Abeloos, SH Abidi, ...","Physical Review D 96 (7), 072002, 2017",1598,2017
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,"G Aad, T Abajyan, B Abbott, J Abdallah, SA Khalek, R Aben, B Abi, ...","The European Physical Journal C 74 (7), 1-38, 2014",1577,2014
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Electron and photon energy calibration with the ATLAS detector using LHC Run 1 data,"G Aad, B Abbott, J Abdallah, S Abdel Khalek, R Aben, B Abi, M Abolins, ...","The European Physical Journal C 74 (10), 1-48, 2014",1508,2014
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Search for resonances in diphoton events at s = 13  TeV with the ATLAS detector,"M Aaboud, G Aad, B Abbott, J Abdallah, B Abeloos, R Aben, OS AbouZeid, ...","Journal of High Energy Physics 2016 (9), 1-50, 2016",1454*,2016
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Performance of missing transverse momentum reconstruction with the ATLAS detector using proton-proton collisions at  = 13 TeV,Atlas Collaboration,"arXiv preprint arXiv:1802.08168, 2018",1292,2018
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Measurement of the Z/γ * boson transverse momentum distribution in pp collisions at s = 7  TeV with the ATLAS detector,"G Aad, B Abbott, J Abdallah, S Abdel Khalek, R Aben, B Abi, M Abolins, ...","Journal of High Energy Physics 2014 (9), 1-47, 2014",1291,2014
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Performance of jet substructure techniques for large-R jets in proton-proton collisions at  TeV using the ATLAS detector,"G Aad, T Abajyan, B Abbott, J Abdallah, S Abdel Khalek, AA Abdelalim, ...","Journal of High Energy Physics 2013 (9), 1-83, 2013",1098*,2013
8XKXZJUAAAAJ,adolfoi,Giovanna Cottin,Universidad Adolfo Ibañez,,,Performance of b-jet identification in the ATLAS experiment,Atlas Collaboration,"Journal of instrumentation 11 (04), P04008, 2016",1054,2016
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,VISTA Variables in the Via Lactea (VVV): The public ESO near-IR variability survey of the Milky Way,"D Minniti, PW Lucas, JP Emerson, RK Saito, M Hempel, P Pietrukowicz, ...","New Astronomy 15 (5), 433-443, 2010",862,2010
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,The ACS Virgo Cluster survey. XIII. SBF distance catalog and the three-dimensional structure of the Virgo Cluster,"S Mei, JP Blakeslee, P Côté, JL Tonry, MJ West, L Ferrarese, A Jordán, ...","The Astrophysical Journal 655 (1), 144, 2007",697,2007
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,The ACS Virgo Cluster Survey. VI. Isophotal analysis and the structure of early-type galaxies,"L Ferrarese, P Côté, A Jordán, EW Peng, JP Blakeslee, S Piatek, S Mei, ...","The Astrophysical Journal Supplement Series 164 (2), 334, 2006",623,2006
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,Jul. 2006,"P Côté, S Piatek, L Ferrarese, A Jordán, D Merritt, EW Peng, M Hasegan, ...","The ACS Virgo Cluster Survey. VIII. The Nuclei of Early-Type Galaxies. ApJS …, 0",518,
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,CfA3: 185 type Ia supernova light curves from the CfA,"M Hicken, P Challis, S Jha, RP Kirshner, T Matheson, M Modjaz, A Rest, ...","The Astrophysical Journal 700 (1), 331, 2009",516,2009
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,The ACS Fornax cluster survey. V. Measurement and recalibration of surface brightness fluctuations and a precise value of the Fornax–Virgo relative distance,"JP Blakeslee, A Jordán, S Mei, P Côté, L Ferrarese, L Infante, EW Peng, ...","The Astrophysical Journal 694 (1), 556, 2009",462,2009
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,The ACS Virgo Cluster Survey. IX. The color distributions of globular cluster systems in early-type galaxies,"EW Peng, A Jordán, P Côté, JP Blakeslee, L Ferrarese, S Mei, MJ West, ...","The Astrophysical Journal 639 (1), 95, 2006",451,2006
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,"A fundamental relation between compact stellar nuclei, supermassive black holes, and their host galaxies","L Ferrarese, P Côté, E Dalla Bontà, EW Peng, D Merritt, A Jordán, ...","The Astrophysical Journal 644 (1), L21, 2006",438,2006
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,VVV DR1: The first data release of the Milky Way bulge and southern plane from the near-infrared ESO public survey VISTA variables in the Vía Láctea,"RK Saito, M Hempel, D Minniti, PW Lucas, M Rejkuba, I Toledo, ...","Astronomy & Astrophysics 537, A107, 2012",402,2012
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,Flows of gas through a protoplanetary gap,"S Casassus, G van der Plas, WRF Dent, E Fomalont, J Hagelberg, ...","Nature 493 (7431), 191-194, 2013",392,2013
OKfYDv0AAAAJ,adolfoi,Andrés Jordán,Universidad Adolfo Ibáñez,,,The next generation Virgo Cluster survey (NGVS). I. Introduction to the survey,"L Ferrarese, P Cote, JC Cuillandre, SDJ Gwyn, EW Peng, LA MacArthur, ...","The Astrophysical Journal Supplement Series 200 (1), 4, 2012",388,2012
