idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,Toward understanding massive star formation,"H Zinnecker, HW Yorke","Annu. Rev. Astron. Astrophys. 45, 481-563, 2007",1500,2007
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,On the formation of massive stars,"IA Bonnell, MR Bate, H Zinnecker","Monthly Notices of the Royal Astronomical Society 298 (1), 93-102, 1998",884,1998
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,A systematic approach for young binaries in Taurus,"C Leinert, H Zinnecker, N Weitzel, J Christou, ST Ridgway, R Jameson, ...","Astronomy and Astrophysics 278, 129-149, 1993",558,1993
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,The origin of T Tauri X-ray emission: new insights from the Chandra Orion Ultradeep Project,"T Preibisch, YC Kim, F Favata, ED Feigelson, E Flaccomio, K Getman, ...","The Astrophysical Journal Supplement Series 160 (2), 401, 2005",522,2005
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,Visual binaries among pre-main sequence stars,"B Reipurth, H Zinnecker","Astronomy and Astrophysics 278, 81-108, 1993",483,1993
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,Exploring the full stellar population of the Upper Scorpius OB association,"T Preibisch, AGA Brown, T Bridges, E Guenther, H Zinnecker","The Astronomical Journal 124 (1), 404, 2002",391,2002
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,The origin of massive O-type field stars-II. Field O stars as runaways,"WJ De Wit, L Testi, F Palla, H Zinnecker","Astronomy & Astrophysics 437 (1), 247-255, 2005",360,2005
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,The history of low-mass star formation in the upper Scorpius OB association,"T Preibisch, H Zinnecker","The Astronomical Journal 117 (5), 2381, 1999",353,1999
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,A spectroscopic survey on the multiplicity of high-mass stars,"R Chini, VH Hoffmeister, A Nasseri, O Stahl, H Zinnecker","Monthly Notices of the Royal Astronomical Society 424 (3), 1925-1929, 2012",350,2012
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,Southern massive stars at high angular resolution: observational campaign and companion detection,"H Sana, JB Le Bouquin, S Lacour, JP Berger, G Duvert, L Gauchet, ...","The Astrophysical Journal Supplement Series 215 (1), 15, 2014",322,2014
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,The birth of high-mass stars: Accretion and/or mergers?,"J Bally, H Zinnecker","The Astronomical Journal 129 (5), 2281, 2005",305,2005
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,The formation of free-floating brown dwarves and planetary-mass objects by photo-erosion of prestellar cores,"AP Whitworth, H Zinnecker","Astronomy & Astrophysics 427 (1), 299-306, 2004",223,2004
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,"Astrophysics and Space Science Library, Vol. 327, The Initial Mass Function 50 Years Later","G Chabrier, E Corbelli, F Palla, H Zinnecker","The Initial Mass Function: from Salpeter 1955 to 2005, 41, 2005",221,2005
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,The primordial binary population-I. A near-infrared adaptive optics search for close visual companions to A star members of Scorpius OB2,"MBN Kouwenhoven, AGA Brown, H Zinnecker, L Kaper, SFP Zwart","Astronomy & Astrophysics 430 (1), 137-154, 2005",215,2005
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,"Early science with SOFIA, the stratospheric observatory for infrared astronomy","ET Young, EE Becklin, PM Marcum, TL Roellig, JM De Buizer, TL Herter, ...","The Astrophysical Journal Letters 749 (2), L17, 2012",212,2012
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,Discovery of a molecular hydrogen jet near IC 348,"MJ McCaughrean, JT Rayner, H Zinnecker","The Astrophysical Journal 436, L189-L192, 1994",203,1994
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,Multiplicity of the massive stars in the Orion Nebula cluster,"T Preibisch, Y Balega, KH Hofmann, G Weigelt, H Zinnecker","New Astronomy 4 (7), 531-542, 1999",201,1999
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,X-ray emission from Herbig Ae/Be stars: a ROSAT survey,"H Zinnecker, T Preibisch","Astronomy and Astrophysics 292, 152-164, 1994",196,1994
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,New weak-line T Tauri stars in Taurus-Auriga.,"R Wichmann, J Krautter, J Schmitt, R Neuhäuser, JM Alcala, H Zinnecker, ...","Astronomy and Astrophysics 312, 439-454, 1996",193,1996
5_igyE0AAAAJ,autonoma,Hans Zinnecker,Universidad Autónoma de Chile,,,X-ray properties of the young stellar and substellar objects in the IC 348 cluster: the Chandra view,"T Preibisch, H Zinnecker","The Astronomical Journal 123 (3), 1613, 2002",190,2002
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,"Simple coumarins and analogues in medicinal chemistry: occurrence, synthesis and biological activity","F Borges, F Roleira, N Milhazes, L Santana, E Uriarte","Current medicinal chemistry 12 (8), 887-916, 2005",1064,2005
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Chromone: a valid scaffold in medicinal chemistry,"A Gaspar, MJ Matos, J Garrido, E Uriarte, F Borges","Chemical reviews 114 (9), 4960-4992, 2014",567,2014
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Medicinal chemistry and bioinformatics-current trends in drugs discovery with networks topological indices,"H Gonzalez-Diaz, S Vilar, L Santana, E Uriarte","Current topics in medicinal chemistry 7 (10), 1015-1029, 2007",348,2007
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Recent advances on the role of topological indices in drug discovery research,"E Estrada, E Uriarte","Current Medicinal Chemistry 8 (13), 1573-1588, 2001",325,2001
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,"Proteomics, networks and connectivity indices","H González‐Díaz, Y González‐Díaz, L Santana, FM Ubeira, E Uriarte","Proteomics 8 (4), 750-778, 2008",302,2008
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Effects of cis‐resveratrol on inflammatory murine macrophages: antioxidant activity and down‐regulation of inflammatory genes,"J Leiro, E Alvarez, JA Arranz, R Laguna, E Uriarte, F Orallo","Journal of leukocyte biology 75 (6), 1156-1165, 2004",245,2004
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,A novel approach for the virtual screening and rational design of anticancer compounds,"E Estrada, E Uriarte, A Montero, M Teijeira, L Santana, E De Clercq","Journal of medicinal chemistry 43 (10), 1975-1985, 2000",225,2000
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Antioxidant and pro-oxidant effects of polyphenolic compounds and structure-activity relationship evidence,"EG Yordi, EM Pérez, MJ Matos, EU Villares","Nutrition, well-being and health 2, 23-48, 2012",209,2012
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,"Furocoumarins in medicinal chemistry. Synthesis, natural occurrence and biological activity","L Santana, E Uriarte, F Roleira, N Milhazes, F Borges","Current medicinal chemistry 11 (24), 3239-3261, 2004",206,2004
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,"A QSAR model for in silico screening of MAO-A inhibitors. Prediction, synthesis, and biological assay of novel coumarins","L Santana, E Uriarte, H González-Díaz, G Zagotto, R Soto-Otero, ...","Journal of medicinal chemistry 49 (3), 1149-1156, 2006",187,2006
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,"Design, synthesis, and vasorelaxant and platelet antiaggregatory activities of coumarin–resveratrol hybrids","S Vilar, E Quezada, L Santana, E Uriarte, M Yánez, N Fraiz, C Alcaide, ...","Bioorganic & Medicinal Chemistry Letters 16 (2), 257-261, 2006",184,2006
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Coumarins—an important class of phytochemicals,"MJ Matos, L Santana, E Uriarte, OA Abreu, E Molina, EG Yordi","Phytochemicals-isolation, characterisation and role in human health 25, 533-538, 2015",173,2015
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Drug—drug interaction through molecular structure similarity analysis,"S Vilar, R Harpaz, E Uriarte, L Santana, R Rabadan, C Friedman","Journal of the American Medical Informatics Association 19 (6), 1066-1074, 2012",167,2012
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Similarity-based modeling in large-scale prediction of drug-drug interactions,"S Vilar, E Uriarte, L Santana, T Lorberbaum, G Hripcsak, C Friedman, ...","Nature protocols 9 (9), 2147-2163, 2014",156,2014
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Hesperidin as a neuroprotective agent: a review of animal and clinical evidence,"M Hajialyani, M Hosein Farzaei, J Echeverría, SM Nabavi, E Uriarte, ...","Molecules 24 (3), 648, 2019",154,2019
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Synthesis and study of a series of 3-arylcoumarins as potent and selective monoamine oxidase B inhibitors,"MJ Matos, C Teran, Y Perez-Castillo, E Uriarte, L Santana, D Vina","Journal of medicinal chemistry 54 (20), 7127-7137, 2011",151,2011
r5p8NjYAAAAJ,autonoma,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",,,Coumarin as attractive casein kinase 2 (CK2) inhibitor scaffold: an integrate approach to elucidate the putative binding motif and explain structure–activity relationships,"A Chilin, R Battistutta, A Bortolato, G Cozza, S Zanatta, G Poletto, ...","Journal of medicinal chemistry 51 (4), 752-759, 2008",151,2008
