idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,A new classification system for all-ceramic and ceramic-like restorative materials.,"S Gracis, VP Thompson, JL Ferencz, NRFA Silva, EA Bonfante","International Journal of prosthodontics 28 (3), 2015",570,2015
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,Basin-wide variations in Amazon forest structure and function are mediated by both soils and climate,"CA Quesada, OL Phillips, M Schwarz, CI Czimczik, TR Baker, S Patiño, ...","Biogeosciences 9 (6), 2203-2246, 2012",570,2012
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,Monolithic CAD/CAM lithium disilicate versus veneered Y-TZP crowns: comparison of failure modes and reliability after fatigue.,"PC Guess, RA Zavanelli, NRFA Silva, EA Bonfante, PG Coelho, ...","International Journal of Prosthodontics, 2010",452,2010
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,All-ceramic systems: laboratory and clinical performance,"PC Guess, S Schultheis, EA Bonfante, PG Coelho, JL Ferencz, ...","Dental clinics 55 (2), 333-352, 2011",434,2011
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,Performance of dental ceramics: challenges for improvements,"ED Rekow, N Silva, PG Coelho, Y Zhang, P Guess, VP Thompson","Journal of dental research 90 (8), 937-952, 2011",427,2011
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,"Basin-wide variations in foliar properties of Amazonian forest: phylogeny, soils and climate","NM Fyllas, S Patiño, TR Baker, G Bielefeld Nardoto, LA Martinelli, ...","Biogeosciences 6 (11), 2677-2708, 2009",352,2009
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,Adhesive permeability affects coupling of resin cements that utilise self-etching primers to dentine,"RM Carvalho, TA Pegoraro, FR Tay, LF Pegoraro, N Silva, DH Pashley","Journal of dentistry 32 (1), 55-65, 2004",292,2004
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,Cements and adhesives for all-ceramic restorations,"AP Manso, NRFA Silva, EA Bonfante, TA Pegoraro, RA Dias, ...","Dental Clinics 55 (2), 311-332, 2011",257,2011
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,Fatigue testing of two porcelain–zirconia all-ceramic crown systems,"PG Coelho, NR Silva, EA Bonfante, PC Guess, ED Rekow, VP Thompson","Dental materials 25 (9), 1122-1127, 2009",226,2009
I3GzTsgAAAAJ,pucv,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",,,"Water masses in the Humboldt Current System: Properties, distribution, and the nitrate deficit as a chemical water mass tracer for Equatorial Subsurface Water off Chile","N Silva, N Rojas, A Fedele","Deep Sea Research Part II: Topical Studies in Oceanography 56 (16), 1004-1020, 2009",211,2009
