idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Harvest of empire: A history of Latinos in America,J Gonzalez,"Penguin, 2011",1062,2011
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,"Albiglutide and cardiovascular outcomes in patients with type 2 diabetes and cardiovascular disease (Harmony Outcomes): a double-blind, randomised placebo-controlled trial","AF Hernandez, JB Green, S Janmohamed, RB D'Agostino Sr, CB Granger, ...","The Lancet 392 (10157), 1519-1529, 2018",978,2018
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,"Phase II Trial of Bicalutamide in Patients with Androgen Receptor–Positive, Estrogen Receptor–Negative Metastatic Breast CancerBicalutamide in AR (+) ER/PgR (−) Metastatic …","A Gucalp, S Tolaney, SJ Isakoff, JN Ingle, MC Liu, LA Carey, K Blackwell, ...","Clinical cancer research 19 (19), 5505-5512, 2013",678,2013
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,A quantitative analysis of NSAID-induced small bowel pathology by capsule enteroscopy,"L Maiden, B Thjodleifsson, A Theodors, J Gonzalez, I Bjarnason","Gastroenterology 128 (5), 1172-1178, 2005",579,2005
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Long-term angiographic and clinical outcome after percutaneous transluminal coronary angioplasty and intracoronary radiation therapy in humans,"JA Condado, R Waksman, O Gurdiel, R Espinosa, J Gonzalez, B Burger, ...","Circulation 96 (3), 727-732, 1997",505,1997
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,R-ESHAP as salvage therapy for patients with relapsed or refractory diffuse large B-cell lymphoma: the influence of prior exposure to rituximab on outcome. A GEL/TAMO study.,"A Martín, E Conde, M Arnan, MA Canales, G Deben, JM Sancho, ...","haematologica, 2008",205,2008
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Early diagnosis of pancreatic cancer: neutrophil gelatinase-associated lipocalin as a marker of pancreatic intraepithelial neoplasia,"N Moniaux, S Chakraborty, M Yalniz, J Gonzalez, VK Shostrom, ...","British journal of cancer 98 (9), 1540-1547, 2008",202,2008
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Pensar la música desde América Latina: Problemas e interrogantes: Problemas e Interrogantes,JP González,"Ediciones Universidad Alberto Hurtado, 2013",177,2013
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Dialysis outcomes in Colombia (DOC) study: a comparison of patient survival on peritoneal dialysis vs hemodialysis in Colombia,"M Sanabria, J Munoz, C Trillos, G Hernandez, C Latorre, CS Díaz, ...","Kidney International 73, S165-S172, 2008",150,2008
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,"Historia social de la música popular en Chile, 1950-1970","JP González, O Ohlsen, C ROLLE CRUZ",,136,2018
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,"Musicología popular en América Latina: síntesis de sus logros, problemas y desafíos","R González, J Pablo","Revista musical chilena 55 (195), 38-64, 2001",129,2001
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Human sperm penetration into zona‐free hamster oocytes as a test to evaluate the sperm fertilizing ability,"C Barros, J Gonzalez, E Herrera, E Bustos‐Obregon","Andrologia 11 (3), 197-210, 1979",124,1979
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Ultimate bearing capacity of rock masses based on the modified Hoek–Brown criterion,"A Serrano, C Olalla, J Gonzalez","International Journal of Rock Mechanics and Mining Sciences 37 (6), 1013-1018, 2000",107,2000
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,"Evaluation of volatiles from ripening papaya (Carica papaya L., var. Maradol roja)","K Almora, JA Pino, M Hernández, C Duarte, J González, E Roncal","Food Chemistry 86 (1), 127-130, 2004",100,2004
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Broth medium for the successful culture of the fish pathogen Piscirickettsia salmonis,"AJ Yañez, K Valenzuela, H Silva, J Retamales, A Romero, R Enriquez, ...","Diseases of aquatic organisms 97 (3), 197-205, 2012",90,2012
GB57rNQAAAAJ,uahurtado,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,,,Mineralogical and chemical modifications in soils affected by a forest fire in the Mediterranean area,"T Iglesias, V Cala, J Gonzalez","Science of the Total Environment 204 (1), 89-96, 1997",90,1997
