idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Safety and efficacy of the intravenous infusion of umbilical cord mesenchymal stem cells in patients with heart failure: a phase 1/2 randomized controlled trial (RIMECARD trial …,"J Bartolucci, FJ Verdugo, PL González, RE Larrea, E Abarzua, C Goset, ...","Circulation research 121 (10), 1192-1204, 2017",267,2017
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Expression of human cytokines dramatically improves reconstitution of specific human-blood lineage cells in humanized mice,"Q Chen, M Khoury, J Chen","Proceedings of the National Academy of Sciences 106 (51), 21783-21788, 2009",259,2009
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Efficient new cationic liposome formulation for systemic delivery of small interfering RNA silencing tumor necrosis factor α in experimental arthritis,"M Khoury, P Louis‐Plence, V Escriou, D Noel, C Largeau, C Cantos, ...","Arthritis & Rheumatism 54 (6), 1867-1877, 2006",210,2006
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Current status of cell-based therapies for respiratory virus infections: applicability to COVID-19,"M Khoury, J Cuenca, FF Cruz, FE Figueroa, PRM Rocco, DJ Weiss","European respiratory journal 55 (6), 2020",195,2020
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Mesenchymal stem cell treatment for autoimmune diseases: a critical review,"FE Figueroa, F Carrión, S Villanueva, M Khoury","Biological research 45 (3), 269-277, 2012",194,2012
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Antimicrobial activity of mesenchymal stem cells: current status and new perspectives of antimicrobial peptide-based therapies,"F Alcayaga-Miranda, J Cuenca, M Khoury","Frontiers in immunology 8, 339, 2017",188,2017
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Mesenchymal stem cells repress Th17 molecular program through the PD-1 pathway,"P Luz-Crawford, D Noël, X Fernandez, M Khoury, F Figueroa, F Carrión, ...","Public Library of Science 7 (9), e45272, 2012",179,2012
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Mesenchymal stem cell-derived exosomes from different sources selectively promote neuritic outgrowth,"MA Lopez-Verrilli, A Caviedes, A Cabrera, S Sandoval, U Wyneken, ...","Neuroscience 320, 129-139, 2016",174,2016
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Umbilical cord-derived mesenchymal stromal cells (MSCs) for knee osteoarthritis: repeated MSC dosing is superior to a single MSC dose and to hyaluronic acid in a controlled …,"J Matas, M Orrego, D Amenabar, C Infante, R Tapia-Limonchi, MI Cadiz, ...","Stem cells translational medicine 8 (3), 215-224, 2019",166,2019
z-hPEtoAAAAJ,uandes,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",,,Innate immune system and preeclampsia,"A Perez-Sepulveda, MJ Torres, M Khoury, SE Illanes","Frontiers in immunology 5, 244, 2014",135,2014
