idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,Segregación residencial en las principales ciudades chilenas: Tendencias de las tres últimas décadas y posibles cursos de acción,"F Sabatini, G Cáceres, J Cerda","Eure 27 (82), 21-42, 2001",1045,2001
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,La segregación social del espacio en las ciudades de América Latina,F Sabatini,"Serie Azul 35 (2003), 59-70, 2003",610,2003
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,"La segregación, los guetos y la integración social urbana: mitos y claves","F Sabatini, I Brain","EURE (Santiago) 34 (103), 5-26, 2008",388,2008
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,"Reforma de los mercados de suelo en Santiago, Chile: efectos sobre los precios de la tierra y la segregación residencial",F Sabatini,"Eure (Santiago) 26 (77), 49-80, 2000",375,2000
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,"Gated communities and the poor in Santiago, Chile: Functional and symbolic integration in a context of aggressive capitalist colonization of lower‐class areas","F Sabatini, R Salcedo","Housing Policy Debate 18 (3), 577-606, 2007",196,2007
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,Conflictos ambientales y desarrollo sustentable de las regiones urbanas,F Sabatini,"Revista EURE-Revista de Estudios Urbano Regionales 23 (68), 1997",176,1997
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,Entre el Estado y el mercado: resonancias geográficas y sustentabilidad social en Santiago de Chile,"F Sabatini, F Arenas","EURE (Santiago) 26 (79), 95-113, 2000",143,2000
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,The social spatial segregation in the cities of Latin America,F Sabatini,"Inter-American Development Bank, 1-44, 2006",136,2006
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,Conflictos ambientales: entre la globalización y la sociedad civil,"F Sabatini, C Sepúlveda","Centro de Investigación y Planificación del Medio Ambiente, 1997",136,1997
VgRSHRIAAAAJ,ubiobio,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",,,Tendencias de la segregación residencial urbana en Latinoamérica: reflexiones a partir del caso de Santiago de Chile,F Sabatini,"Pontificia Universidad Católica de Chile, 1999",120,1999
