idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Dietary advanced glycation end products and their role in health and disease,"J Uribarri, MD del Castillo, MP de la Maza, R Filip, A Gugliucci, ...","Advances in Nutrition 6 (4), 461-473, 2015",273,2015
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Advanced glycation and endothelial functions: a link towards vascular complications in diabetes,"A Rojas, MA Morales","Life Sciences 76 (7), 715-730, 2004",210,2004
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Regulation of endothelial nitric oxide synthase expression by albumin-derived advanced glycosylation end products,"A Rojas, S Romay, D González, B Herrera, R Delgado, K Otero","Circulation Research 86 (3), e50-e54, 2000",189,2000
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Fueling inflammation at tumor microenvironment: the role of multiligand/RAGE axis,"A Rojas, H Figueroa, E Morales","Carcinogenesis 31 (3), 334-341, 2010",161,2010
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Is ozone pre-conditioning effect linked to Nrf2/EpRE activation pathway in vivo? A preliminary result,"L Re, G Martínez-Sánchez, M Bordicchia, G Malcangi, A Pocognoli, ...","European Journal of Pharmacology 742, 158-162, 2014",115,2014
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Triggering of peritoneal macrophages with IFN-α/β attenuates the expression of inducible nitric oxide synthase through a decrease in NF-κB activation,"E López-Collazo, S Hortelano, A Rojas, L Boscá","The Journal of Immunology 160 (6), 2889-2895, 1998",92,1998
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,The receptor for advanced glycation end-products: a complex signaling scenario for a promiscuous receptor,"A Rojas, F Delgado-López, I González, R Pérez-Castro, J Romero, ...","Cellular Signalling 25 (3), 609-614, 2013",87,2013
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Oxidative stress at the vascular wall. Mechanistic and pharmacological aspects,"A Rojas, H Figueroa, L Re, MA Morales","Archives of Medical Research 37 (4), 436-448, 2006",86,2006
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Effects of phycocyanin extract on tumor necrosis factor-α and nitrite levels in serum of mice treated with endotoxin,"C Romay, R Delgado, D Remirez, R Gonzalez, A Rojas","Arzneimittelforschung 51 (09), 733-736, 2001",85,2001
JGTUORMAAAAJ,ucm,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",,,Chlorogenic acid inhibits human platelet activation and thrombus formation,"E Fuentes, J Caballero, M Alarcon, A Rojas, I Palomo","PloS ONE 9 (3), e90699, 2014",84,2014
