idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,"Sloan digital sky survey IV: Mapping the Milky Way, nearby galaxies, and the distant universe","MR Blanton, MA Bershady, B Abolfathi, FD Albareti, CA Prieto, A Almeida, ...","The Astronomical Journal 154 (1), 28, 2017",1170,2017
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,The fourteenth data release of the Sloan Digital Sky Survey: First spectroscopic data from the extended Baryon Oscillation Spectroscopic Survey and from the second phase of the …,"B Abolfathi, DS Aguado, G Aguilar, CA Prieto, A Almeida, TT Ananna, ...","The Astrophysical Journal Supplement Series 235 (2), 42, 2018",941,2018
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,The 16th data release of the sloan digital sky surveys: first release from the APOGEE-2 southern survey and full release of eBOSS spectra,"R Ahumada, CA Prieto, A Almeida, F Anders, SF Anderson, BH Andrews, ...","The Astrophysical Journal Supplement Series 249 (1), 3, 2020",679,2020
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,The 13th data release of the Sloan Digital Sky Survey: First spectroscopic data from the SDSS-IV survey mapping nearby galaxies at Apache Point Observatory,"FD Albareti, CA Prieto, A Almeida, F Anders, S Anderson, BH Andrews, ...","The Astrophysical Journal Supplement Series 233 (2), 25, 2017",454,2017
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,"The fifteenth data release of the Sloan Digital Sky Surveys: first release of MaNGA-derived quantities, data visualization tools, and stellar library","DS Aguado, R Ahumada, A Almeida, SF Anderson, BH Andrews, ...","The Astrophysical Journal Supplement Series 240 (2), 23, 2019",345,2019
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,APOGEE data releases 13 and 14: data and analysis,"JA Holtzman, S Hasselquist, M Shetrone, K Cunha, CA Prieto, ...","The Astronomical Journal 156 (3), 125, 2018",220,2018
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,The APOGEE-2 survey of the orion star-forming complex. II. Six-dimensional structure,"M Kounkel, K Covey, G Suárez, C Román-Zúñiga, J Hernandez, ...","The Astronomical Journal 156 (3), 84, 2018",214,2018
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,"The origin of accreted stellar halo populations in the Milky Way using APOGEE, Gaia, and the EAGLE simulations","JT Mackereth, RP Schiavon, J Pfeffer, CR Hayes, J Bovy, B Anguiano, ...","Monthly Notices of the Royal Astronomical Society 482 (3), 3426-3442, 2019",186,2019
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,The Sloan Digital Sky Survey reverberation mapping project: Hα and Hβ reverberation measurements from first-year spectroscopy and photometry,"CJ Grier, JR Trump, Y Shen, K Horne, K Kinemuchi, ID McGreer, ...","The Astrophysical Journal 851 (1), 21, 2017",173,2017
IP0KMQwAAAAJ,ucn,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),,,The second APOKASC catalog: the empirical approach,"MH Pinsonneault, YP Elsworth, J Tayar, A Serenelli, D Stello, J Zinn, ...","The Astrophysical Journal Supplement Series 239 (2), 32, 2018",171,2018
