idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,"Escherichia coli that Cause Diarrhea: Enterotoxigenic, Enteropathogenic, Enteroinvasive, Enterohemorrhagic, and Enteroadherent",MM Levine,"Journal of infectious Diseases 155 (3), 377-389, 1987",1672,1987
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Patterns of adherence of diarrheagenic Escherichia coli to HEp-2 cells.,"JP Nataro, JB Kaper, ROY Robins-Browne, V Prado, P Vial, MM Levine","The Pediatric infectious disease journal 6 (9), 829-831, 1987",747,1987
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,"Characterization of Enteroadherent-Aggregative Escherichia coli, a Putative Agent of Diarrheal Disease","PA Vial, R Robins-Browne, H Lior, V Prado, JB Kaper, JP Nataro, ...","Journal of Infectious Diseases 158 (1), 70-79, 1988",426,1988
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,"A Sensitive and Specific DNA Probe to Identify Enteroaggregative Escherichia coli, a Recently Discovered Diarrheal Pathogen","B Baudry, SJ Savarino, P Vial, JB Kaper, MM Levine","Journal of Infectious Diseases 161 (6), 1249-1251, 1990",399,1990
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Seroprevalence of Helicobacter pylori in Chile: Vegetables May Serve as One Route of Transmission,"RJ Hopkins, PA Vial, C Ferreccio, J Ovalle, P Prado, V Sotomayor, ...","Journal of Infectious Diseases 168 (1), 222-226, 1993",373,1993
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Evaluation of a novel antigen-based rapid detection test for the diagnosis of SARS-CoV-2 in respiratory samples,"L Porte, P Legarraga, V Vollrath, X Aguilera, JM Munita, R Araos, ...","International Journal of Infectious Diseases 99, 328-333, 2020",311,2020
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Trace mineral balance during acute diarrhea in infants,"C Castillo-Duran, P Vial, R Uauy","The Journal of pediatrics 113 (3), 452-457, 1988",233,1988
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Use of DNA probes and HEp-2 cell adherence assay to detect diarrheagenic Escherichia coli,"MM Levine, V Prado, R Robins-Browne, H Lior, JB Kaper, SL Moseley, ...","The Journal of infectious diseases 158 (1), 224-228, 1988",216,1988
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Prospective evaluation of household contacts of persons with hantavirus cardiopulmonary syndrome in Chile,"M Ferrés, P Vial, C Marco, L Yanez, P Godoy, C Castillo, B Hjelle, ...","The Journal of infectious diseases 195 (11), 1563-1571, 2007",175,2007
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,"Human hantavirus infections: epidemiology, clinical features, pathogenesis and immunology","T Manigold, P Vial","Swiss Society of Internal Medicine, Swiss Society of Infectiology and Swiss …, 2014",170,2014
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Studies with enteroaggregative Escherichia coli in the gnotobiotic piglet gastroenteritis model,"S Tzipori, J Montanaro, RM Robins-Browne, P Vial, R Gibson, MM Levine","Infection and immunity 60 (12), 5302-5306, 1992",154,1992
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,T84 cells in culture as a model for enteroaggregative Escherichia coli pathogenesis,"JP Nataro, S Hicks, AD Phillips, PA Vial, CL Sears","Infection and Immunity 64 (11), 4761-4768, 1996",150,1996
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Comparison of two assay methods for patterns of adherence to HEp-2 cells of Escherichia coli from patients with diarrhea,"PA Vial, JJ Mathewson, HL DuPont, L Guers, MM Levine","Journal of Clinical Microbiology 28 (5), 882-885, 1990",144,1990
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Diagnosis and treatment of new world hantavirus infections,"GJ Mertz, B Hjelle, M Crowley, G Iwamoto, V Tomicic, PA Vial","Current opinion in infectious diseases 19 (5), 437-442, 2006",133,2006
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,"Person-to-person household and nosocomial transmission of Andes hantavirus, Southern Chile, 2011","C Martinez-Valdebenito, M Calvo, C Vial, R Mansilla, C Marco, RE Palma, ...","Emerging infectious diseases 20 (10), 1629, 2014",99,2014
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Accuracy of invasive and noninvasive tests to diagnose Helicobacter pylori infection after antibiotic treatment.,"A Volcán, R Giancaspero, M Arrese, C Figueroa, V Vollrath, M Schultz, ...","American Journal of Gastroenterology (Springer Nature) 92 (8), 1997",95,1997
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Peridomestic small mammals associated with confirmed cases of human hantavirus disease in southcentral Chile,"F Torres-Pérez, J Navarrete-Droguett, R Aldunate, TL Yates, GJ Mertz, ...","The American journal of tropical medicine and hygiene 70 (3), 305-309, 2004",92,2004
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Incubation period of hantavirus cardiopulmonary syndrome,"PA Vial, F Valdivieso, G Mertz, C Castillo, E Belmar, I Delgado, M Tapia, ...","Emerging infectious diseases 12 (8), 1271, 2006",85,2006
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,Morphological studies on fimbriae expressed by Vibrio cholerae 01,"RH Hall, PA Vial, JB Kaper, JJ Mekalanos, MM Levine","Microbial pathogenesis 4 (4), 257-265, 1988",83,1988
9xWEVqwAAAAJ,udd,Pablo Vial,Universidad del Desarrollo,,,"Ecology, genetic diversity, and phylogeographic structure of Andes virus in humans and rodents in Chile","RA Medina, F Torres-Perez, H Galeno, M Navarrete, PA Vial, RE Palma, ...","Journal of Virology 83 (6), 2446-2459, 2009",81,2009
y3s1KhIAAAAJ,udd,Jose M. Munita,Associate Professor // MICROB-R  // Clinica Alemana - UDD (jmunita@alemana.cl),,,Mechanisms of antibiotic resistance. Microbiol Spectr. 2016; 4,"JM Munita, CA Arias","VMBF-0016-2015, 0",1937*,
y3s1KhIAAAAJ,udd,Jose M. Munita,Associate Professor // MICROB-R  // Clinica Alemana - UDD (jmunita@alemana.cl),,,Mechanisms of antibiotic resistance in enterococci,"WR Miller, JM Munita, CA Arias","Expert review of anti-infective therapy 12 (10), 1221-1236, 2014",514,2014
